TLOAD6,TLOAD6_RE
0.3075,0.1682
0.3074,0.1174
0.0275,2.1977
0.0244,0.0244
0.029,1.4576
0.3129,0.1892
0.4494,0.0082
0.421,0.2119
0.0839,0.1588
0.3016,0.065
0.1344,0.0508
0.2117,0.2833
0.1005,0.4095
0.1972,0.1823
0.2579,0.0234
0.2927,0.3137
0.1948,0.1031
0.2289,0.2788
0.2792,0.1565
0.2524,0.0175
0.3799,0.07
0.3914,0.0609
0.4641,0.0559
0.5269,0.01
0.5425,0.0314
0.5227,0.0711
0.6074,0.0561
0.6355,0.0532
0.2047,0.0452
0.2781,0.0437
0.3311,0.0113
0.3365,0.0021
0.3849,0.0375
0.4473,0.028
0.509,0.0636
1.0464,0.3373
0.0244,0.0244
0.1273,0.0894
0.2146,0.0065
0.2555,0.0078
0.2944,0.086
0.4205,0.0364
0.5197,0.0406
0.5413,0.0284
0.5479,0.0155
0.5997,0.0798
1.0592,0.3641
0.1273,0.0991
0.135,0.016
0.2521,0.0191
0.4636,0.0366
0.4387,0.0349
0.5323,1.0396
0.4632,0.0111
0.5201,0.0439
0.5425,0.035
0.5324,0.0564
0.5355,0.0364
0.5377,0.2148
0.6963,0.02
0.7642,0.043
0.2556,0.0582
0.3868,0.0354
0.3933,0.0126
0.4662,0.034
0.5449,0.02
0.6518,0.0539
0.6074,0.0763
0.4113,0.1022
0.33,0.003
0.4783,0.0577
0.523,0.0158
0.5099,0.0249
0.4189,0.3215
0.2935,0.0226
0.2822,0.0814
0.068,0.1574
0.2498,0.0301
0.2428,0.1153
0.279,0.0501
0.36,0.0175
0.426,0.0644
0.4131,0.0264
0.3793,0.0361
0.4439,0.0333
0.4806,0.0378
0.4849,0.0389
0.4908,0.0584
0.4716,0.0376
0.518,0.0247
0.57,0.0539
0.2458,0.0586
0.2047,0.0376
0.2304,0.0096
0.2682,0.0059
0.3543,0.038
0.4139,0.0399
0.4007,0.0889
0.3845,0.0196
0.472,0.0616
0.4829,0.027
0.5209,0.0625
0.5082,0.0568
0.5066,0.0442
0.5533,0.0377
0.6052,0.0489
0.5866,0.0788
0.573,0.0316
0.6074,0.1108
0.271,0.0018
0.2771,0.0233
0.2619,0.0676
0.2782,0.0417
0.4029,0.0161
0.3845,0.0106
0.4229,0.0282
0.4911,0.0547
0.4835,0.0021
0.4849,0.0269
0.4662,0.0071
0.5166,0.0704
0.5787,0.0349
0.5732,0.0145
0.6052,0.0421
0.6052,0.0489
0.2304,0.0277
0.2458,0.0254
0.2773,4.0E-4
0.2707,0.0318
0.2658,0.0219
0.403,0.0287
0.4484,0.0866
0.4791,0.0196
0.4726,0.0333
0.5038,0.0185
0.5364,0.0655
0.1273,0.0521
0.2261,0.0191
0.2504,0.0395
0.2693,0.0264
0.2648,0.0764
0.3312,0.1481
0.4205,0.0097
0.4539,0.0092
0.4829,0.0472
