TLOAD18,TLOAD18_RE
0.2802,0.0515
0.2962,0.0575
0.0486,2.6541
0.013,0.013
0.0675,1.6575
0.3096,0.0755
0.4637,0.0037
0.4046,0.1537
0.1,0.6416
0.3509,0.6238
0.2165,0.1798
0.2881,0.2111
0.1538,0.1845
0.099,0.1361
0.3107,1.2336
0.2722,0.1499
0.2243,0.1017
0.2881,0.0382
0.3208,0.2771
0.2806,0.0347
0.4072,0.0844
0.4012,0.0364
0.4785,0.0368
0.5126,0.09
0.5441,0.0547
0.5126,0.1021
0.6207,0.0707
0.638,0.08
0.2087,0.0151
0.3088,0.1176
0.3604,0.005
0.366,0.052
0.3795,0.055
0.3882,0.2188
0.4861,0.1134
1.4871,0.7945
0.013,0.013
0.1609,0.257
0.2189,0.0197
0.2701,0.0485
0.3292,0.0192
0.4398,2.0E-4
0.5318,0.0233
0.5589,0.0132
0.5441,0.0448
0.6106,0.0549
1.4871,0.7982
0.1597,0.1037
0.1597,0.2219
0.2717,0.0709
0.4643,0.0233
0.4298,0.0398
0.5441,0.0577
0.4795,0.0226
0.5441,0.0296
0.5441,0.0301
0.5339,0.0554
0.5955,0.0502
0.5509,0.234
0.7007,0.1065
1.0018,0.2452
0.2835,0.0702
0.3798,0.0645
0.3751,0.1677
0.4621,0.0715
0.5441,0.0317
0.6725,0.0277
0.6207,0.055
0.4314,0.0477
0.3513,0.1504
0.4575,0.0144
0.5285,0.0211
0.5106,0.0502
0.3299,0.0601
0.3322,0.0362
0.3243,0.0384
0.1009,0.0381
0.2608,0.0799
0.241,0.0139
0.2851,0.0544
0.3624,0.0757
0.45,0.0409
0.3799,0.1184
0.3798,0.0759
0.4553,0.0405
0.4785,0.0144
0.4861,0.0677
0.4804,0.1016
0.4643,0.0853
0.5249,0.0106
0.5535,0.0574
0.2526,0.0832
0.2247,0.0075
0.2542,0.0887
0.2821,0.0115
0.3604,0.005
0.3796,0.0671
0.4219,0.0241
0.3701,0.0991
0.484,0.0027
0.484,0.0493
0.518,0.089
0.5126,0.0029
0.5441,0.0301
0.5441,0.1105
0.6207,0.0785
0.5974,0.0492
0.5495,0.0468
0.6207,0.1057
0.2568,0.0942
0.2865,0.011
0.2755,0.0234
0.2881,0.0406
0.4194,0.0097
0.373,0.0726
0.3983,0.0915
0.484,0.105
0.4735,0.0556
0.4861,0.0376
0.4643,0.0355
0.516,0.0854
0.5644,0.0264
0.6151,0.0638
0.6106,0.0248
0.6207,0.0806
0.2417,0.0441
0.2545,0.0192
0.2821,0.0243
0.2835,0.018
0.2715,0.0844
0.4155,0.0372
0.4631,0.0166
0.4785,0.0363
0.484,0.0256
0.5106,0.0284
0.5441,0.0539
0.1609,0.2236
0.2269,0.0303
0.266,0.1083
0.2815,0.0092
0.2998,0.0163
0.3624,0.0825
0.4156,0.0186
0.4748,0.0216
0.4763,0.0395
0.5019,0.046
0.6207,0.036
0.6207,0.0574
0.5657,0.0499
0.3207,0.0845
0.3569,0.0473
0.3798,0.0894
0.4785,8.0E-4
0.58,0.0396
0.5495,0.0324
0.9858,0.2428
0.1113,0.0091
0.3568,0.0307
0.4031,0.0359
0.6593,0.0068
0.5372,0.0608
0.484,0.0788
0.5948,0.0027
0.6106,0.015
0.1371,0.2362
0.3405,0.0581
0.3528,0.0028
0.3624,0.0585
0.4301,0.1021
0.3798,0.087
0.4113,0.0659
0.4535,0.0576
0.4617,0.0692
0.5339,0.0765
0.5372,0.0472
0.6142,0.0856
0.3511,0.047
0.4155,0.0212
0.4479,0.0505
0.4572,0.0622
0.4679,0.0948
0.5469,0.0926
0.6177,0.0846
0.1184,0.0034
0.3589,0.0748
0.4861,0.0702
0.1932,0.1272
0.2064,0.1248
0.2709,0.2003
0.2253,0.0806
0.3362,0.0149
0.3389,0.032
0.3402,1.5521
0.519,0.1031
1.37,1.7971
0.5854,0.006
0.3405,0.023
0.2087,0.001
0.2865,0.0195
0.2087,0.0109
0.2881,0.0303
0.2655,0.0607
0.0976,0.1805
0.1552,0.2097
0.1552,0.1731
0.372,0.0746
0.5441,0.0765
0.1023,0.8333
0.0923,0.7188
0.1124,0.7834
0.2881,0.1262
0.3268,0.0248
0.3357,0.1349
0.4715,0.0328
0.3562,0.0443
0.3277,0.0046
0.5417,0.1784
0.3184,0.0089
0.3201,0.043
0.3432,0.3472
0.1915,0.2492
0.0976,0.6858
0.4016,0.0332
0.5521,0.746
0.1156,0.6102
0.2166,0.3049
0.5808,0.9608
0.2922,0.3459
0.4524,0.1321
0.3236,0.1726
0.2892,0.019
0.347,1.7344
0.4011,0.5176
0.6575,0.1135
0.2908,0.0082
0.4465,0.2469
0.2825,0.1172
0.3504,0.5927
