TLOAD14,TLOAD14_RE
0.2252,0.0209
0.2353,0.0448
0.0091,0.0091
0.2938,0.0257
0.0091,0.0091
0.045,10.25
0.1734,0.0242
0.2783,0.2078
0.2539,0.0646
0.2938,0.0257
0.2546,0.1012
0.2465,0.0427
0.3228,0.0777
0.2938,0.0257
0.3111,0.2253
0.3153,0.2917
0.147,1.6157
0.0822,0.6776
0.4049,0.0047
0.4032,0.0735
0.373,0.1248
0.1001,11.5125
0.0889,0.103
0.1118,0.2272
0.28,0.1304
0.1934,0.3684
0.0772,0.6883
0.2531,0.0177
0.2271,0.1094
0.0759,0.7329
0.0759,1.2793
0.0759,1.0852
0.0759,0.8787
0.3487,0.0641
0.2938,0.2938
0.0657,0.4247
0.1128,0.0334
0.1129,0.0264
0.2318,0.2201
0.2999,0.1533
0.1048,0.23
0.1756,0.2392
0.2465,0.1281
0.2306,0.0172
0.2465,0.0292
0.2938,0.6741
0.2055,0.071
0.0759,0.4375
0.0772,0.6426
0.0711,2.5373
0.1051,0.5663
0.0874,0.2891
0.1188,0.5819
0.2938,3.8402
0.0759,0.5585
0.0225,9.7143
0.0091,3.7895
0.0091,0.4348
0.2938,13.9898
0.0091,0.0091
0.0091,0.0091
0.2465,0.0271
0.2465,0.0556
0.1734,0.0103
0.1673,0.0542
0.1707,0.0012
0.2819,0.223
0.2532,0.1204
0.2938,0.0257
0.1469,0.1344
0.1866,0.0169
0.2377,0.5286
0.0759,0.4375
0.3255,0.0112
0.2938,0.0257
0.2926,0.0267
0.1354,0.0964
0.16,0.3083
0.166,0.1891
0.2938,0.7478
0.1873,0.0064
0.2938,0.5561
0.188,0.1626
0.2286,0.0507
0.1861,0.0491
0.1924,0.0148
0.1193,0.4857
0.2938,0.0257
0.1019,0.3047
0.0091,0.0091
0.4751,0.1455
0.3393,0.1556
0.3367,0.3079
0.3833,3.8396
0.3763,0.0858
0.1188,0.3084
0.1124,0.3591
0.2008,0.001
0.1985,0.075
0.2938,0.0257
0.195,0.6724
0.2938,0.0257
0.1425,0.1026
0.2461,0.3503
0.1442,0.0569
0.1634,0.1355
0.1344,0.0737
0.1139,1.1946
0.1293,0.1224
0.1808,0.1543
0.3921,0.0733
0.396,0.0287
0.2938,0.0257
0.3516,0.0742
0.3531,0.1021
0.3308,0.0586
0.1539,0.1951
0.1931,0.0633
0.1894,0.0084
0.2938,0.0257
0.1015,0.4848
0.2927,1.3605
0.1337,0.7546
0.1321,0.7997
0.2938,2.2608
1.2631,1.0049
0.5928,0.0486
0.5928,0.0544
0.5928,0.024
0.1507,0.4818
0.237,0.0595
0.1691,0.0088
0.5503,0.0342
0.2938,0.3338
0.3636,0.0076
0.2363,0.4802
0.1603,0.0362
0.2938,0.0257
0.1647,0.0836
0.0383,10.2647
0.0653,18.2059
0.6496,0.0471
0.7088,0.1348
0.5928,0.1142
0.5971,0.0853
0.2938,0.0257
0.3229,0.0879
