TLOAD8,TLOAD8_RE
0.2112,0.0508
0.2136,0.0335
0.0148,0.0148
0.2677,0.2677
0.0148,0.0148
0.0644,1.8
0.052,0.5029
0.2212,0.1883
0.2216,0.1744
0.2673,0.5076
0.1983,0.1254
0.2011,0.1349
0.1451,0.0758
0.2673,0.7025
0.2993,0.0888
0.2986,3.0E-4
0.1116,3.5182
0.0558,2.2254
0.3704,0.0341
0.3982,0.0424
0.3657,0.0919
0.0655,0.2032
0.0642,0.0629
0.0662,0.003
0.0761,0.1563
0.0913,0.4266
0.0607,0.0033
0.091,0.6338
0.0938,0.4431
0.0493,0.9799
0.0514,1.2348
0.0514,0.8163
0.0514,1.0078
0.3251,0.0296
0.2677,0.2677
0.1698,0.3181
0.167,0.6301
0.1897,0.0769
0.2702,0.0
0.2622,0.0517
0.0628,0.1315
0.052,0.0833
0.061,0.0081
0.0633,0.0343
0.0633,0.0031
0.2673,4.7857
0.0481,0.9876
0.0542,0.0994
0.0532,0.0747
0.0433,2.2556
0.093,0.0915
0.0944,0.0306
0.0943,0.0157
0.2673,3.2028
0.0565,0.2668
0.0198,6.92
0.0148,6.7895
0.0148,6.4
0.2673,98.0
0.0148,0.0148
0.0148,0.0148
0.0552,1.0444
0.0552,0.84
0.163,0.0801
0.1799,0.0798
0.163,0.0213
0.2643,0.0458
0.2664,0.1179
0.2673,0.1207
0.052,0.1765
0.052,0.1685
0.214,0.0974
0.0688,0.7596
0.2756,0.0807
0.2677,0.0037
0.2657,0.0221
0.1232,0.183
0.1558,0.0095
0.1631,0.1398
0.2673,4.6274
0.0579,0.281
0.2673,5.0888
0.0598,0.4005
0.0579,0.2697
0.0466,3.0172
0.049,2.5507
0.0502,0.6902
0.2673,9.5652
0.0483,0.7189
0.0148,0.0148
0.48,0.0643
0.2587,0.4895
0.3321,0.2383
0.3343,0.2229
0.3727,3.9893
0.1304,0.2221
0.1136,0.2938
0.1971,0.0765
0.1987,0.0211
0.2677,0.8236
0.0557,14.0541
0.2673,91.1724
0.0457,9.881
0.0557,15.8788
0.0538,0.2483
0.0562,0.6337
0.0538,0.2144
0.0824,0.4063
0.0978,0.0093
0.1524,0.1375
0.4056,0.1011
0.3998,0.0903
0.2677,0.3786
0.0963,0.1993
0.0716,0.501
0.0716,0.6847
0.1463,0.0266
0.1713,0.1233
0.1681,0.0673
0.2673,1.1644
0.1887,0.5096
0.2602,0.3989
0.2067,0.2717
0.2023,0.2314
0.2673,0.622
0.9462,0.0943
0.5685,0.0019
0.6057,0.0643
0.6057,0.0758
0.1092,0.2581
0.1949,0.0236
0.1544,0.03
0.5255,0.0111
0.2677,0.4123
0.3479,0.0725
0.2088,0.3925
0.1538,0.0564
0.2673,2.6467
0.1592,0.0635
0.0817,28.1786
0.09,32.3333
0.613,0.0259
0.5984,0.0424
0.6057,0.0265
0.6057,0.024
0.2677,0.5903
0.2901,0.0501
0.3059,0.2043
0.285,0.0304
0.5104,0.0226
0.5444,0.21
0.5191,0.0244
0.1188,0.1928
0.0532,0.243
0.0514,0.6215
0.2673,5.2453
0.0689,0.0199
0.0655,0.0283
0.0655,0.2063
0.1022,0.3221
0.1022,0.3256
0.0148,0.0148
0.2677,0.2677
0.2677,0.3984
0.9676,0.306
0.6824,0.061
0.8711,0.111
0.8672,0.232
0.3835,0.4047
0.5621,0.0316
0.5633,0.0171
0.5259,0.2087
0.3698,0.056
0.3804,0.0326
0.3804,0.1441
0.3883,0.0379
0.1176,0.0769
0.134,0.1996
0.1161,0.0301
0.2677,0.48
0.5605,0.0825
0.5774,0.0127
0.5785,0.0263
0.4522,0.0286
0.4522,0.0494
0.2677,0.3926
0.389,0.0138
0.2677,0.159
0.1298,1.0735
0.5015,0.0536
0.15,0.0691
0.1765,0.2198
0.15,0.0302
0.3055,0.0174
0.2721,0.0449
0.2637,8.0E-4
0.2677,0.2677
0.1828,0.3076
0.2549,0.0374
0.215,0.1753
0.4467,0.0203
0.4633,0.0026
0.4588,0.0148
0.4625,0.0308
0.4625,0.0185
0.2677,1.1263
0.3132,0.1704
0.2744,0.0033
0.2708,0.1686
0.3006,0.0167
0.2484,0.0512
0.2544,0.0016
0.3591,0.021
0.2677,0.3603
0.432,0.0395
0.2136,0.057
0.2136,0.0075
0.4452,0.0279
0.4387,0.0661
0.4396,0.0677
0.4949,0.8664
0.4648,0.0177
0.3962,0.0892
0.2727,0.0445
0.2727,0.075
