TLOAD20,TLOAD20_RE
0.2866,0.0646
0.2873,0.0978
0.0486,4.4607
0.0134,0.0134
0.0579,4.1239
0.3051,0.0777
0.4506,0.0116
0.4088,0.1425
0.083,0.671
0.3094,1.0849
0.2458,0.0915
0.2895,0.0589
0.1561,0.2032
0.1117,0.6318
0.2866,1.3188
0.2859,0.1181
0.2233,0.0772
0.2895,0.055
0.2911,0.0939
0.2872,0.0574
0.4163,0.0017
0.4003,0.1025
0.467,0.0177
0.4864,0.157
0.5633,0.018
0.4864,0.1364
0.6411,0.0215
0.6459,0.0804
0.2023,0.11
0.2895,0.0466
0.3683,0.0645
0.3851,0.0736
0.3982,0.0297
0.2643,9.0114
0.4831,0.0864
1.2877,0.7361
0.0134,0.0134
0.1577,0.2282
0.2174,0.1576
0.2737,0.0759
0.301,0.0023
0.4212,0.0503
0.5219,0.0042
0.5573,0.0099
0.5633,0.0
0.6222,0.0639
1.4059,0.7664
0.1577,0.1121
0.157,0.1805
0.2813,0.095
0.4534,0.0556
0.4097,0.0663
0.5573,0.0279
0.4795,0.0671
0.5633,0.0251
0.5633,7.0E-4
0.534,0.043
0.5954,0.0451
0.5676,0.2284
0.6506,0.0978
1.2023,0.4752
0.2878,0.6242
0.3982,0.0535
0.3661,0.0464
0.4523,0.0786
0.5633,0.0059
0.6668,0.0322
0.6451,0.0044
0.4387,0.0076
0.3354,0.0069
0.4584,0.1325
0.4954,0.0313
0.4842,0.095
0.2895,0.0718
0.3135,0.0197
0.2784,0.1054
0.1061,0.2252
0.271,0.1084
0.2396,0.0088
0.2878,0.0935
0.3895,0.0043
0.4506,0.0312
0.3982,0.0584
0.3982,0.0266
0.4506,0.053
0.4687,0.0429
0.4817,0.0699
0.4717,0.0645
0.4551,0.1104
0.5293,0.0278
0.5669,0.0401
0.2316,0.0542
0.2233,0.0198
0.2655,0.1336
0.2878,0.0902
0.3788,0.0158
0.3982,0.0231
0.4105,0.0827
0.3982,0.0309
0.4795,0.0342
0.4795,0.055
0.525,0.0703
0.4879,0.0534
0.5573,0.0436
0.5669,0.0339
0.6411,0.019
0.5784,0.0151
0.5633,0.0217
0.6411,0.0926
0.2703,0.006
0.2895,0.0101
0.2779,0.0201
0.2881,0.0177
0.4166,0.0278
0.3982,0.0035
0.3982,0.0428
0.4795,0.1124
0.4735,0.0783
0.4817,0.0308
0.4551,0.0645
0.5228,0.0784
0.5669,0.0324
0.6321,0.0547
0.6222,0.0556
0.6411,0.0279
0.2291,0.0167
0.2655,0.103
0.2878,3.0E-4
0.2857,0.016
0.2859,0.0315
0.4143,0.0227
0.4631,0.0072
0.4687,0.0439
0.4795,0.0402
0.4857,0.0622
0.5633,0.199
0.1557,0.1508
0.2245,0.0373
0.27,0.1947
0.2857,0.0085
0.2895,0.0585
0.3831,0.0517
0.4105,0.0101
0.461,0.0495
0.466,0.0605
0.4906,0.0795
0.6411,0.0233
0.6411,0.0529
0.5676,0.0226
0.3436,0.0329
0.364,0.008
0.3982,0.0542
0.4687,0.0354
0.5784,0.0438
0.5633,0.0149
0.7929,0.0147
0.1026,0.0534
0.3554,0.0151
0.3982,0.0386
0.6614,0.0189
0.559,0.0032
0.4795,0.0276
0.579,0.0417
0.6222,0.0711
0.1094,0.3229
0.3518,0.0026
0.3637,0.0371
0.388,0.0501
0.4286,0.0363
0.3982,0.034
0.3975,0.0715
0.4485,0.0508
0.4601,0.0506
0.528,0.0612
0.559,0.0169
0.6157,0.1005
0.3455,0.0338
0.4105,0.0215
0.4348,0.0
0.4583,0.0294
0.4628,0.0738
0.5633,0.0545
0.6361,0.043
0.1184,0.3531
0.3863,0.0147
0.4831,0.0702
0.186,0.0814
0.1894,0.0367
0.1598,32.2917
0.1872,0.0127
0.3001,0.0479
0.3172,0.0474
0.3044,1.2767
0.658,0.0748
1.4089,1.6831
0.6133,0.0282
0.2831,0.041
0.2116,0.0332
0.2895,0.0042
0.2116,0.0038
0.2895,0.0052
0.2772,0.1053
0.0981,0.0531
0.143,0.0941
0.143,0.1304
0.3721,0.2898
0.5573,0.011
0.1134,0.6085
0.1077,1.0093
0.1222,0.7681
0.2895,0.1201
0.2965,0.121
0.3135,0.1125
0.422,0.1788
0.3828,0.1848
0.2895,0.0106
0.5388,0.1959
0.2923,0.0356
0.2923,0.0398
0.3261,0.4243
0.1956,0.1352
0.0881,0.7948
0.4033,0.0984
0.5742,0.1695
0.237,0.1971
0.2919,0.458
0.5621,0.2351
0.3635,0.1181
0.4258,0.0023
0.296,0.3811
0.2895,0.0356
0.4529,0.4022
0.417,8.9286
0.6709,0.0861
0.2895,0.0193
0.4921,0.4452
0.2759,0.004
0.3942,1.3325
0.2792,0.186
0.3135,0.0569
0.3773,0.0802
0.5425,0.1326
0.616,0.5135
0.6451,0.699
0.3804,0.1274
0.4734,0.2483
0.4921,0.0295
0.4686,0.0249
0.5737,0.2065
0.3225,0.0248
0.3749,0.1127
0.3179,0.2716
0.5293,0.0956
0.6506,0.0527
0.6411,0.1401
0.4593,0.011
0.6523,0.1083
0.8159,0.3795
0.5579,0.0369
0.5246,0.0728
0.6578,0.2137
0.4122,0.3632
0.6493,0.3913
0.3611,0.0143
0.396,0.135
0.5607,0.0351
1.2562,0.8707
0.518,0.1676
0.4694,0.008
0.6416,0.0795
0.0134,0.0134
0.0134,0.0134
0.2745,0.1681
0.2247,0.2784
0.0134,0.0134
0.1251,0.2277
0.3492,0.0322
0.3777,0.3108
0.0134,0.0134
0.4645,0.084
1.6811,2.0E-4
1.6811,0.003
0.0134,0.0134
0.3788,3.2706
0.1124,0.1308
0.1221,0.4973
0.4683,0.0706
1.6811,0.108
0.2243,0.1113
0.2019,0.3863
0.4203,0.5747
0.0998,0.8113
0.0134,0.0134
0.3282,0.2708
0.0134,0.0134
0.0134,0.0134
1.152,0.5505
0.8349,0.3092
0.0575,7.9844
0.0843,0.686
0.0465,0.6235
0.165,0.0523
0.161,7.6096
0.2908,0.0806
0.2936,0.0367
0.0734,0.8034
0.0714,0.0543
0.0714,0.6045
0.0783,0.5598
0.2824,0.0882
0.4529,0.3017
0.2835,0.1744
0.0846,0.7662
0.1424,0.3909
0.2936,0.2171
0.3005,0.2382
0.2399,0.0536
0.4628,0.2468
0.5669,0.0244
0.4508,0.0891
0.1706,0.039
0.5676,0.0305
0.3446,0.1225
0.1878,0.2843
0.2849,0.1419
0.2106,0.0101
0.2087,0.0535
0.2106,0.0057
0.4968,0.0749
0.2882,0.1446
0.0134,0.0134
0.7653,0.1413
0.021,2.75
0.6466,0.6799
1.6882,1.9618
0.0154,153.0
0.6709,0.0763
0.3556,0.1981
0.3179,0.1526
0.1933,0.0179
0.4149,0.0702
0.0154,50.3333
0.6411,0.1477
0.0154,153.0
0.0619,0.5631
0.0531,26.2857
0.431,0.1224
0.3261,0.0709
0.0134,0.0134
0.3389,0.1764
0.4506,0.011
0.4105,0.0268
0.424,2.0E-4
0.3832,0.0713
0.4105,0.0063
0.0134,0.0134
0.2895,0.2941
0.3008,0.5429
0.0134,0.0134
0.0154,4.9231
0.0134,0.0134
0.2131,7.1648
0.0134,0.0134
0.1403,0.2232
0.1576,0.0135
0.0134,0.0134
0.1251,1.2063
0.1404,0.2083
0.0134,0.0134
0.0594,5.4565
0.1591,0.1631
0.1082,0.655
0.0134,133.0
0.372,0.1389
0.0134,0.0134
0.0134,0.0134
0.0134,0.0134
0.2229,0.2236
0.2895,0.1773
0.0658,0.6127
0.0809,0.2562
0.0658,0.2415
0.3172,0.0155
0.2864,0.0032
0.2872,0.0331
0.2233,0.0465
0.2895,0.1209
0.0966,0.1897
0.2233,0.0276
0.2279,0.0669
0.0966,0.0966
0.1619,0.005
0.2291,0.0164
0.0924,0.0484
0.2291,0.0182
1.7935,0.5765
0.021,3.4681
0.0966,0.1338
0.4969,2.0E-4
0.4817,0.0077
0.4809,0.0651
0.2895,0.0193
0.1597,0.0731
0.0658,1.2768
0.0699,0.5196
0.064,4.1613
0.0658,1.0889
0.0658,0.4398
