TLOAD1,TLOAD1_RE
0.3201,0.1377
0.3175,0.0921
0.0261,3.2787
0.0244,0.0244
0.0261,1.088
0.337,0.1352
0.4463,0.0323
0.4389,0.0637
0.083,0.1433
0.2965,0.001
0.1445,0.0116
0.2222,0.2198
0.0982,0.3329
0.2847,1.727
0.2512,0.0363
0.3221,0.4575
0.217,0.0105
0.2364,0.2128
0.2693,0.1491
0.2667,0.0904
0.3686,0.0406
0.4198,0.0221
0.4561,0.0323
0.5652,0.0782
0.5487,0.0302
0.5556,0.0314
0.6399,0.0206
0.6523,0.1015
0.2104,0.0191
0.2728,0.035
0.3257,0.0272
0.3307,0.1645
0.4041,0.0027
0.4682,0.0097
0.5189,0.0233
0.8821,0.2267
0.0244,0.0244
0.1222,0.1532
0.2194,0.032
0.2609,0.0419
0.2983,0.0889
0.4368,0.0093
0.5205,0.0273
0.5699,2.0E-4
0.5487,0.0165
0.6338,0.0307
0.9173,0.2366
0.1284,0.1307
0.1539,0.0876
0.2609,0.0155
0.4537,0.0163
0.4722,0.0981
0.5315,0.9343
0.4956,0.0135
0.517,0.0571
0.5487,0.0476
0.5594,0.0344
0.5352,0.0169
0.5519,0.164
0.6632,0.0367
0.6662,0.0612
0.2667,0.0743
0.3925,0.009
0.4222,0.1757
0.459,0.019
0.5788,0.0378
0.6523,0.0929
0.6486,0.0086
0.4338,0.0551
0.3572,0.0342
0.4802,0.0591
0.5093,0.0299
0.5158,0.0222
0.2575,0.1913
0.3044,0.0256
0.2816,0.9952
0.0863,0.3421
0.2559,0.0352
0.2534,0.0088
0.293,0.0494
0.3778,0.0076
0.4162,0.1903
0.4244,0.0141
0.3973,0.0127
0.4463,0.0716
0.4862,0.0376
0.4904,0.0611
0.506,0.0362
0.4799,0.0226
0.5308,0.0379
0.5865,0.0302
0.2272,0.0225
0.2129,0.0496
0.2496,0.0509
0.2693,0.0132
0.3501,0.0315
0.423,0.0172
0.4198,0.0143
0.3985,0.0288
0.4616,0.0915
0.4904,0.0491
0.5264,0.0675
0.5064,0.0374
0.4559,0.13
0.5788,0.0165
0.6319,0.0472
0.5865,0.0174
0.5564,0.0357
0.6486,0.0274
0.2735,0.1628
0.2911,0.0017
0.2903,0.1607
0.2853,0.0219
0.4108,0.0
0.4098,0.0047
0.4348,0.01
0.4957,0.001
0.4933,0.0186
0.4904,0.0503
0.4799,0.0071
0.5233,0.0654
0.5865,0.0449
0.5865,0.0525
0.6319,0.0325
0.6084,0.0526
0.2296,0.03
0.2534,0.082
0.2874,0.1003
0.2838,0.0128
0.293,0.0142
0.4252,0.038
0.4506,0.0516
0.4862,0.0266
0.4918,0.0022
0.5189,0.0342
0.5442,0.0177
0.1268,0.0579
0.2449,0.0399
0.2559,0.0127
0.2776,0.017
0.2838,0.018
0.3626,0.07
0.4343,0.0224
0.4823,0.0183
0.4884,0.0588
0.5098,0.0076
0.6406,0.0374
0.6406,0.0658
0.5865,0.0118
0.3313,0.1056
0.3459,0.045
0.4013,0.0048
0.4823,0.0165
0.5865,0.0338
0.5865,0.0093
0.6779,0.1087
0.0935,0.0199
0.3536,0.0294
0.4013,0.0094
0.5096,0.2155
0.5138,0.0921
0.4957,0.0311
0.582,0.0137
0.6032,0.0661
0.0956,0.0839
0.3323,0.0554
0.3394,0.0957
0.3501,0.0679
0.4465,0.0669
0.4098,0.0077
0.4269,0.0253
0.4485,0.0324
0.4668,0.0407
0.5216,0.0629
0.5247,0.0357
0.594,0.4703
0.3712,0.0288
0.4198,0.0076
0.4515,0.0311
0.4438,0.0686
0.4852,0.0445
0.5865,0.0152
0.6425,0.0851
0.1021,0.1114
0.3531,0.0197
0.4957,0.0724
0.0946,0.1343
0.0917,0.0478
0.0331,7.275
0.1227,0.0488
0.3018,0.0967
0.3128,0.0696
0.3293,0.0194
0.9631,1.79
1.1639,0.2448
0.6251,0.0443
0.1197,0.6718
0.2086,0.0225
0.2935,0.0456
0.2086,0.0014
0.2935,0.0051
0.2841,0.0609
0.086,0.1685
0.1248,0.0524
0.1248,0.0032
0.3799,0.0329
0.5397,0.0383
1.0594,0.4968
1.1257,0.3284
0.4657,0.0047
0.2954,0.013
0.2954,0.0483
0.2978,0.1118
0.3813,0.051
0.1946,0.4977
0.2838,0.0448
0.5957,0.1962
0.2838,0.0091
0.2935,0.0295
0.4109,0.3915
0.3086,0.1185
0.2974,8.5627
0.0734,0.8011
0.4918,0.0864
0.2858,0.0461
0.2695,0.1786
0.4523,0.3798
0.3558,0.0763
0.3095,0.247
0.2048,0.2415
0.3039,0.106
0.4653,0.0634
0.2696,0.3587
0.3416,0.521
0.2896,0.0539
0.4152,0.1735
0.318,0.298
0.2183,0.0014
0.2819,0.0788
0.303,0.0059
0.3796,0.0453
0.5259,0.0956
0.4878,0.2241
0.4072,0.0982
0.4223,0.0608
0.4731,0.2247
0.5272,0.021
0.6399,0.0222
0.6401,0.0056
0.303,0.0169
0.3592,0.0685
0.392,0.3425
0.4374,0.014
0.635,0.7232
0.6524,0.0182
0.5405,0.1056
0.7035,0.1144
1.222,0.5689
0.5029,0.0397
0.5064,0.0334
0.6387,0.1442
0.6021,0.0604
0.6486,0.2459
0.3748,0.0879
0.3784,0.033
0.5058,0.0957
0.5635,0.1081
0.5576,0.0625
0.5064,0.3149
0.6075,0.0948
0.0244,0.0244
0.0244,0.0244
0.2054,0.083
0.1819,0.2022
0.0244,0.0244
0.087,0.1027
0.3251,0.2191
0.4402,1.7089
0.0244,0.0244
0.4556,0.0576
1.52,0.4202
1.52,0.1131
0.0244,0.0244
0.2328,0.3003
0.0943,0.2989
0.2227,0.0422
0.4966,0.1379
1.52,0.6262
0.2719,0.2795
0.3166,0.1526
0.5279,0.9288
0.3116,1.258
0.0244,0.0244
0.4053,0.1879
0.0244,0.0244
0.0244,0.0244
0.7226,0.1043
1.2118,0.7039
0.2687,0.4693
0.2359,0.4744
0.1478,0.2322
0.2271,0.0753
0.1907,0.3547
0.2853,0.0906
0.2872,0.1388
0.0396,0.0149
0.0357,0.1398
0.0339,0.1691
0.0441,0.0328
0.2878,0.0898
0.5112,0.0663
0.2792,0.0021
0.0393,0.0391
0.1814,0.0141
0.2742,0.127
0.2947,0.1902
0.4163,0.0834
0.4615,0.065
0.5737,0.0263
0.5256,0.0254
0.1268,0.1108
0.5788,0.0026
0.3045,0.068
0.2084,0.2266
0.2556,0.0051
0.2087,0.0352
0.2062,0.0488
0.207,0.0599
0.513,0.0135
0.2738,0.579
0.0244,243.0
1.1509,0.2386
0.0261,3.8333
0.6457,0.0546
1.52,0.7411
0.0244,243.0
0.6554,0.0628
0.3052,0.0881
0.2642,0.0896
0.1792,0.0843
0.3628,0.0814
0.0244,0.0244
0.6399,0.0219
0.0244,0.0244
0.026,0.375
0.0323,0.6776
0.3619,0.0396
0.227,0.0035
0.0244,0.0244
0.2325,0.1369
0.4298,0.0178
0.4343,0.0289
0.4311,0.0262
0.3613,0.1099
0.4343,0.034
0.0244,0.0244
0.2642,0.0385
0.616,0.0627
0.0244,0.0244
0.0244,0.0244
0.0244,0.0244
0.1012,23.0952
0.0244,0.0244
0.0913,0.1013
0.0962,0.0705
0.0244,0.0244
0.0447,33.3846
0.0906,0.066
0.0244,0.0244
0.0277,3.1343
0.1186,0.0704
0.038,0.064
0.0244,0.0244
0.3667,0.0977
0.0244,0.0244
0.0244,0.0244
0.0244,0.0244
0.1029,0.389
0.2642,0.0385
0.0279,0.0346
0.0384,0.0787
0.0261,0.2585
0.305,0.0721
0.2617,0.0081
0.2584,0.0621
0.2188,0.0589
0.2642,0.0375
0.0893,0.0682
0.2137,0.0143
0.2086,0.0387
0.0863,0.1694
0.1451,0.0176
0.2144,0.0033
0.0626,0.0279
0.2162,0.0141
2.2299,0.4321
0.0261,6.25
0.0893,0.0904
0.4994,0.044
0.4667,0.0666
0.5086,0.0344
0.2762,0.0254
0.1441,0.0244
0.0261,0.305
0.0322,0.2529
0.0261,1.4857
0.0277,0.108
0.0322,0.193
0.0261,1.3727
0.0322,0.0445
0.0261,0.1154
0.0476,0.2
0.0422,0.2978
0.1495,0.0441
0.1779,0.3477
0.0611,0.2546
0.0244,0.0244
0.0277,0.7871
0.0244,0.0244
0.0261,1.3727
0.0277,1.216
0.0261,1.4393
0.0277,54.4
0.0321,3.0125
0.034,0.661
0.0362,0.3164
0.0261,0.0276
0.0277,0.3254
0.0321,0.3375
0.0321,0.1547
0.0321,0.1889
0.0277,0.0736
0.0321,0.7258
0.0362,0.0806
0.0402,0.0801
0.0375,0.1573
0.0456,0.0909
0.0443,0.0654
0.0637,0.184
0.0786,0.5534
0.0479,0.0859
0.0493,0.0853
0.0843,0.2217
0.1001,0.0352
0.1046,0.1803
0.0321,3.1688
0.0277,1.2893
0.0321,0.8663
0.0321,0.6131
0.0321,0.6632
0.0277,0.2366
0.0321,0.2394
0.0321,0.1069
0.0385,0.1738
0.1001,0.1776
0.0917,0.3271
0.0952,0.703
0.0277,54.4
0.0321,6.6429
0.0321,1.3778
0.0261,1.0551
