TLOAD2,TLOAD2_RE
0.3154,0.1258
0.31,0.0896
0.0257,2.5205
0.0223,0.0223
0.0257,3.0156
0.3296,0.1549
0.445,0.0741
0.4384,0.1218
0.0727,0.0268
0.2795,0.0589
0.1538,0.0154
0.2219,0.2521
0.0931,0.2877
0.2904,2.0504
0.2581,0.1155
0.3028,0.0849
0.2178,0.0493
0.2372,0.1882
0.2558,0.1735
0.2421,0.0366
0.3515,0.1462
0.4169,0.0177
0.4544,0.0303
0.5609,0.0874
0.5599,0.017
0.5415,0.0277
0.6251,0.0674
0.6392,0.0453
0.2145,0.1452
0.2527,0.1736
0.3052,0.0829
0.3325,0.1561
0.4045,0.013
0.4535,0.0392
0.5124,0.0328
0.8822,0.1059
0.0223,0.0223
0.1253,0.1213
0.2292,0.0567
0.2439,0.042
0.2771,0.1184
0.4306,0.0025
0.5063,0.0933
0.5604,0.0227
0.5599,0.0215
0.6141,0.0196
0.9055,0.0958
0.1253,0.117
0.1525,0.1458
0.2421,0.0798
0.4544,0.0584
0.4774,0.0924
0.5243,0.9596
0.4878,0.0294
0.5088,0.0776
0.5599,0.0129
0.5436,0.0244
0.5312,0.0299
0.5602,0.1473
0.651,0.111
0.6702,0.1227
0.2421,0.1634
0.3999,0.007
0.4125,0.1571
0.467,0.0469
0.5791,0.0317
0.643,0.0504
0.6341,0.0811
0.4357,0.0171
0.3673,0.1017
0.4788,0.0502
0.5011,0.0772
0.5062,0.0598
0.2247,0.288
0.2859,0.0718
0.2818,0.0874
0.0752,0.3056
0.2401,0.0404
0.2401,0.0099
0.2797,0.0227
0.3789,0.0141
0.4142,0.1626
0.409,0.0336
0.3974,3.0E-4
0.445,0.0461
0.4803,0.0262
0.486,0.0369
0.4933,0.0148
0.4801,0.0033
0.5283,0.0422
0.5919,0.0179
0.2338,0.0081
0.2221,0.0306
0.2392,0.0279
0.2545,0.0752
0.3423,0.0741
0.4045,0.0364
0.4169,0.0733
0.3966,0.0127
0.4598,0.072
0.486,0.014
0.5245,0.0187
0.4989,0.0091
0.4502,0.1709
0.5791,0.035
0.6251,0.0413
0.6014,0.0295
0.5727,0.0232
0.6341,0.0947
0.2621,0.0442
0.2771,0.0264
0.2753,0.0126
0.2688,0.067
0.4103,0.0024
0.409,0.0109
0.429,0.0377
0.4883,0.0787
0.4883,0.0089
0.486,0.0278
0.4801,0.0065
0.5183,0.0163
0.5919,8.0E-4
0.595,0.0278
0.622,0.0112
0.6341,0.0294
0.2366,0.0278
0.2401,0.0248
0.2704,0.0899
0.2695,0.0389
0.2771,0.0348
0.4226,0.0204
0.4518,0.1061
0.4803,0.0252
0.4881,0.0163
0.5124,0.0386
0.5499,0.0332
0.1201,0.2025
0.2344,0.0182
0.2401,0.0765
0.2627,0.055
0.2695,0.0864
0.3743,0.0255
0.4169,0.0332
0.4779,0.0304
0.4928,0.0078
0.5056,0.0553
0.6341,0.0123
0.6341,0.0401
0.5894,0.0134
0.3267,0.0879
0.3599,0.0421
0.4061,0.0465
0.4801,0.0334
0.5919,0.0393
0.5894,0.0359
0.6851,0.1234
0.08,0.1189
0.3653,0.0504
0.4061,0.0326
0.5219,0.1226
0.51,0.0763
0.4883,0.045
0.5795,0.0383
0.622,0.0088
0.0871,0.1181
0.3263,0.0841
0.338,0.1232
0.3489,0.0874
0.4423,0.0445
0.409,0.0126
0.4171,0.0538
0.4489,0.0065
0.4676,0.0412
0.5083,0.0433
0.5167,0.0709
0.6112,0.0
0.3815,0.0495
0.4169,0.0438
0.4458,0.0529
0.4428,0.0603
0.4801,0.0501
0.5894,0.0061
0.6302,0.0046
0.0885,0.2157
0.3507,0.0392
0.4883,0.0586
0.0841,0.0635
0.083,0.0084
0.0295,7.9394
0.1121,0.2204
0.282,0.1157
0.3087,0.2657
0.3271,0.1465
1.1244,2.4011
1.1883,0.3116
0.5963,0.0109
0.0903,1.753
0.2142,0.008
0.2771,0.0478
0.2142,0.0215
0.2797,0.0418
0.2704,0.038
0.076,0.0865
0.117,0.0923
0.117,0.0736
0.3655,0.0444
0.5411,0.0171
1.0095,0.1917
1.0484,0.4612
0.4651,0.0627
0.2797,0.0692
0.2771,0.1107
0.2879,0.172
0.3995,0.0883
0.2111,0.4312
0.2695,0.0623
0.5945,0.067
0.2695,0.0655
0.2771,0.0408
0.3985,0.4842
0.3171,0.1125
0.2972,11.1803
0.0581,0.8447
0.474,0.1791
0.2689,0.1201
0.2466,0.2014
0.4439,0.1373
0.3517,0.0439
0.2915,0.1941
0.1853,0.2765
0.2879,0.0595
0.4568,0.4894
0.2612,0.4009
0.2918,0.5992
0.2752,0.1305
0.4232,0.0992
0.3077,0.7994
0.2035,0.2082
0.3037,0.0172
0.2829,0.0694
0.3656,0.0669
0.5285,0.0097
0.465,0.2586
0.3786,0.0403
0.4289,0.0752
0.4743,0.0322
0.5202,0.0452
0.622,0.0132
0.5937,0.1626
0.2806,0.1145
0.3388,0.1023
0.3844,0.1366
0.4081,0.1641
0.6139,0.6655
0.6221,0.0426
0.5126,0.2001
0.7874,0.1602
1.2645,0.0111
0.4765,0.0479
0.4815,0.0924
0.6433,0.4018
0.5619,0.1386
0.6457,0.515
0.3664,0.0796
0.4007,0.0245
0.4868,0.303
0.5304,0.0964
0.5371,0.0654
0.4704,0.3224
0.6235,0.0244
0.0223,0.0223
0.0223,0.0223
0.2127,0.0061
0.1785,0.033
0.0223,0.0223
0.0821,0.3198
0.336,0.1773
0.4163,0.0174
0.0223,0.0223
0.4453,0.0267
1.4607,0.3334
1.4607,0.0767
0.0223,0.0223
0.2378,0.0896
0.0909,0.3206
0.2172,0.369
0.4865,0.0698
1.4607,0.3283
0.2717,0.1691
0.3167,0.2057
0.496,0.0403
0.301,0.107
0.0223,0.0223
0.3845,0.2129
0.0223,0.0223
0.0223,0.0223
0.7023,0.1601
1.237,0.553
0.3432,9.4634
0.2132,0.3184
0.1287,0.025
0.2193,0.039
0.1833,0.4825
0.2728,0.0824
0.2702,0.0872
0.0344,0.161
0.0334,0.1257
0.0334,0.1347
0.0427,0.0415
0.2704,0.0944
0.5315,0.0779
0.274,0.1905
0.0356,0.0481
0.1794,0.5126
0.2996,0.2771
0.2909,0.3813
0.4106,0.1361
0.4549,0.101
0.5685,0.036
0.531,0.0888
0.1201,0.1409
0.5791,0.0419
0.2887,0.1136
0.2176,0.2808
0.239,0.0671
0.2056,0.0123
0.2036,0.0314
0.2066,0.0482
0.5042,0.1119
0.272,0.0293
0.0223,222.0
1.2209,0.3307
0.0257,4.4681
0.6276,0.1303
1.4462,0.62
0.0223,222.0
0.661,0.0809
0.2955,0.1895
0.2395,0.2821
0.1761,0.0814
0.3636,0.1291
0.0223,0.0223
0.6251,0.0516
0.0223,222.0
0.0187,0.4532
0.036,0.2123
0.3402,0.0074
0.2287,0.1429
0.0223,0.0223
0.2401,0.2677
0.4243,0.0299
0.4169,0.0214
0.4227,0.0539
0.3479,0.1537
0.4204,0.0141
0.0223,0.0223
0.2395,0.1049
0.5837,0.0717
0.0223,0.0223
0.0223,0.0223
0.0223,0.0223
0.0682,0.0354
0.0223,0.0223
0.0861,0.0424
0.0927,0.0956
0.0223,0.0223
0.0439,0.386
0.0841,0.1267
0.0223,0.0223
0.0257,3.6727
0.106,0.0291
0.0396,0.6819
0.0223,0.0223
0.3716,0.0239
0.0223,0.0223
0.0223,0.0223
0.0223,222.0
0.1069,0.3049
0.2371,0.1138
0.0257,0.0321
0.0308,0.0695
0.0257,0.0198
0.2937,0.1172
0.2371,0.0821
0.2371,0.0665
0.2245,0.0195
0.2371,0.144
0.082,0.0212
0.2241,0.0117
0.2168,0.01
0.0793,0.042
0.1388,0.0844
0.2242,0.0697
0.0606,0.0254
0.2245,0.063
2.4682,0.374
0.0257,5.2683
0.082,0.0419
0.4883,0.0904
0.4616,0.0329
0.5073,0.0177
0.2522,0.0574
0.1362,0.0791
0.0257,0.3179
0.0289,0.3248
0.0257,1.3796
0.0257,0.0664
0.0289,0.1766
0.0257,1.1597
0.0289,0.1162
0.0257,0.2297
0.05,0.1843
0.0339,0.2365
0.1328,0.1205
0.1825,0.4519
0.0618,0.2286
0.0223,0.0223
0.0257,0.8357
0.0223,0.0223
0.0257,1.3364
0.0257,1.056
0.0257,1.5196
0.0257,50.4
0.0316,0.975
0.036,0.6133
0.0316,0.1491
0.0257,0.1525
0.0257,0.1577
0.0292,0.3333
0.0316,0.101
0.0316,0.3167
0.0257,0.1199
0.0316,0.7363
0.0316,0.0128
0.031,0.2092
0.0348,0.0087
0.0392,0.1988
0.0404,0.3117
0.0616,0.1099
0.0718,0.3031
0.0498,0.0529
0.0516,0.0178
0.077,0.1667
0.095,0.2258
0.1065,0.1313
0.0316,3.1039
0.0257,0.9179
0.0316,1.2254
0.0292,0.5052
0.0316,0.4495
0.0257,0.1174
0.0316,0.1661
0.0316,0.2794
0.0336,0.0059
0.0879,0.3218
0.0802,0.2207
0.0893,0.2794
0.0257,50.4
0.0316,7.3158
0.0316,1.2254
0.0257,1.3578
0.0316,0.264
0.0368,0.076
0.0348,0.1118
0.0475,0.0371
0.0824,0.2262
0.0797,0.2651
0.0971,0.1958
0.0316,1.0654
0.0316,1.2254
0.0316,0.7081
0.0257,0.0405
0.0316,0.6632
0.0257,0.2212
0.0308,0.1
0.0303,0.0982
0.0375,0.0964
0.0348,0.0741
0.0404,0.1317
0.0818,0.1261
0.054,0.2617
0.0829,0.3076
0.0917,0.4862
0.0915,3.7656
0.1169,0.9747
0.0271,3.371
0.0316,2.2577
0.0316,1.2254
0.0316,0.8372
0.0271,0.5398
0.0289,1.2231
0.0878,0.7918
0.104,0.0105
0.0377,0.0501
0.0257,0.5864
0.036,0.1133
0.425,0.5625
0.0223,0.0223
0.0223,0.0223
0.0223,0.0223
0.078,0.1127
0.0857,0.2849
0.5329,0.0376
0.0223,0.0223
0.0273,0.2817
0.0712,0.1521
0.0289,0.1623
0.0257,0.2328
0.0281,0.3381
0.0289,0.108
0.0257,0.2881
0.0692,0.127
0.0257,2.8358
0.0257,1.8242
0.0289,0.195
0.0257,2.7246
0.0257,1.954
0.0289,0.206
0.0257,2.5694
0.0257,2.2532
0.0289,0.2104
0.0257,1.954
0.2724,0.1941
0.1294,0.1689
0.09,0.3575
0.0257,0.3112
0.0364,0.2297
0.0458,0.1439
0.2827,0.209
0.0257,0.6797
0.0442,0.0792
0.0903,0.1449
0.0257,0.7603
0.1217,0.0667
0.1415,0.0255
0.1362,0.0166
0.0896,51.7059
0.0223,0.0223
0.2833,0.2025
1.4308,0.1453
2.3047,0.3989
0.09,0.264
