TLOAD22,TLOAD22_RE
0.227,0.0031
0.227,0.0237
0.0122,0.0122
0.2924,0.0146
0.0122,0.0122
2.2348,0.3406
0.1036,0.4018
0.2045,0.4007
0.152,0.0361
0.2924,0.0146
0.1565,0.0182
0.1565,0.316
0.1186,0.0435
0.2924,0.0146
0.3316,0.0791
0.3299,0.0585
0.12,1.9777
0.14,0.1523
0.3937,0.1251
0.3887,0.0645
0.4145,0.0409
0.1577,0.3167
0.0756,0.3357
0.0801,0.2457
0.0391,0.6638
0.0416,0.7702
0.0651,0.4403
0.0647,0.5332
0.0429,0.3323
0.0414,0.9809
0.0414,0.5
0.0414,0.5221
0.0414,0.5623
0.3178,0.0197
0.2924,0.0146
0.1514,7.0963
0.1426,7.8025
0.1214,7.5493
0.2463,0.034
0.2807,0.0189
0.0665,0.2269
0.1129,0.0225
0.1143,0.372
0.1215,0.3966
0.1116,0.1723
0.2924,0.0146
0.1553,0.1514
0.054,0.2736
0.0449,0.2201
0.0376,1.8923
0.0698,0.317
0.0698,0.295
0.0775,0.3939
0.2924,0.0146
0.0681,0.2777
0.0222,9.0909
0.0222,10.6842
0.0222,10.1
0.2924,0.0146
0.0122,0.0122
0.0122,0.0122
0.1466,0.1115
0.1553,0.0756
0.1754,0.0956
0.1596,0.0063
0.172,0.0214
0.1993,0.0732
0.193,0.0178
0.2924,0.0146
0.1025,0.2275
0.1111,0.1732
0.1751,0.2507
0.0681,0.5033
0.2924,0.0644
0.2924,0.0146
0.2755,0.0381
0.1466,0.1206
0.1628,0.0085
0.1619,0.0889
0.2924,0.0146
0.1539,0.0052
0.2924,0.0146
0.1626,0.0957
0.1626,0.1342
0.127,0.4334
0.1574,0.1961
0.0874,1.1111
0.2924,0.0146
0.0556,0.1054
0.0122,0.0122
0.5588,0.0504
0.438,0.4782
0.3518,0.2781
0.4211,0.1834
0.3516,0.109
0.1013,0.0788
0.1013,0.1765
0.2234,0.0725
0.2342,1.0155
0.2924,0.0146
0.1237,0.3682
0.2924,0.0146
0.1024,0.1366
0.1282,0.4143
0.1141,0.0035
0.1184,0.0017
0.1184,0.0829
0.0912,0.4096
0.1183,0.2212
0.1553,0.2036
0.3646,0.2017
0.3623,0.1922
0.2924,0.0146
0.2808,0.1
0.2844,0.4992
0.1999,0.0855
0.1467,0.0474
0.1589,0.0456
0.1638,0.0085
0.2924,0.0146
0.1396,0.582
0.3235,5.883
0.1402,0.2003
0.1384,0.1414
0.2924,0.0146
1.1652,0.2997
0.6202,0.0473
0.6202,0.0551
0.6075,0.0574
0.1937,0.0907
0.1412,0.123
0.143,0.0732
0.5768,0.0157
0.2924,0.0146
0.3563,0.0081
0.268,0.3035
0.1544,0.0504
0.2924,0.0146
0.1606,0.0815
0.0795,23.8438
0.0862,26.8065
0.6548,0.0591
0.6441,0.0687
0.6328,0.0867
0.6459,0.0732
0.2924,0.0146
0.3235,0.1103
0.3415,0.0974
0.3437,0.1148
0.6075,0.0371
0.6292,0.0062
0.6068,0.0767
0.0842,0.2681
0.0449,0.0819
0.0449,0.5017
0.2924,0.0146
0.0885,0.3594
0.08,0.1713
0.0861,0.1827
0.0932,0.1888
0.0932,0.2041
0.0122,0.0122
0.2924,0.0146
0.2924,0.0146
1.064,0.3234
0.6787,0.0905
1.0088,0.2927
0.8904,0.1759
0.4863,0.2459
0.5624,0.1378
0.5803,0.0402
0.6043,0.07
0.385,0.0745
0.4001,0.0317
0.3972,0.0224
0.4264,0.0184
0.1304,0.0584
0.1281,0.0792
0.1281,0.0273
0.2924,0.0146
0.6314,0.0412
0.6292,0.0372
0.5865,0.0236
0.4735,0.0425
0.4635,0.0307
0.2924,0.0146
0.3825,0.3272
0.2924,0.0146
0.1039,2.2673
0.5105,0.0177
0.1508,0.01
0.1628,0.1
0.1486,0.0234
0.3015,0.0134
0.2955,0.0652
0.2849,0.0111
0.2924,0.0146
0.0995,0.6198
0.2755,0.0516
