TLOAD20,TLOAD20_RE
0.2176,0.0051
0.222,0.0114
0.011,0.011
0.2894,0.0196
0.011,0.011
1.132,0.3205
0.1738,0.0252
0.3295,0.065
0.222,0.0063
0.2894,0.0196
0.2201,0.0226
0.2163,0.3648
0.1623,0.2022
0.2894,0.0196
0.326,0.0031
0.3238,0.0154
0.1512,0.0314
0.1423,0.0526
0.3888,0.0586
0.3888,0.0776
0.3888,0.0931
0.2178,7.3448
0.0833,0.2757
0.0833,0.1521
0.0718,1.9917
0.0718,2.0295
0.0725,0.3303
0.0848,1.0835
0.0715,1.9184
0.064,0.9104
0.064,1.1122
0.064,1.1405
0.0681,1.0762
0.308,0.05
0.2894,0.0196
0.0751,4.1793
0.077,2.9487
0.0782,4.7926
0.2854,0.1272
0.3555,0.1637
0.074,0.1212
0.199,0.0728
0.2182,0.0149
0.2169,0.0381
0.2299,0.0748
0.2894,0.0196
0.2119,0.2129
0.0725,0.5761
0.0725,0.5864
0.0621,4.0081
0.0833,0.5455
0.0819,0.4419
0.0847,0.3574
0.2894,0.0196
0.0765,0.4088
0.0127,4.08
0.011,4.7895
0.011,3.4
0.2894,0.0196
0.011,0.011
0.011,0.011
0.2739,0.0956
0.2648,8.0E-4
0.1734,0.0414
0.1608,0.0019
0.1732,0.0478
0.2223,0.0511
0.223,0.0104
0.2894,0.0196
0.1861,0.0833
0.2016,0.0667
0.1777,0.3391
0.0765,0.7546
0.2894,0.0249
0.2894,0.0196
0.2841,0.0468
0.1708,0.0118
0.1985,0.0931
0.1997,0.0331
0.2894,0.0196
0.2238,0.0274
0.2894,0.0196
0.253,0.0471
0.2641,0.0681
0.2028,0.0189
0.2091,0.0215
0.1441,0.4629
0.2894,0.0196
0.0872,0.2087
0.011,0.011
0.5685,0.0646
0.3958,0.1259
0.3945,0.1603
0.3009,0.3315
0.4077,0.2495
0.1014,0.0707
0.1014,0.1094
0.1685,0.1424
0.1726,0.2738
0.2894,0.0196
0.227,0.3361
0.2894,0.0196
0.148,0.3351
0.2533,0.2934
0.1651,0.1428
0.1943,0.0031
0.1845,0.0934
0.0863,0.6376
0.118,0.1185
0.1904,0.0404
0.3865,0.1158
0.3888,0.0613
0.2894,0.0196
0.3758,0.1436
0.4025,0.0659
0.3509,0.1464
0.1527,0.097
0.1717,0.019
0.1764,0.004
0.2894,0.0196
0.0892,0.7701
0.3077,3.8841
0.1515,0.0994
0.1614,0.1193
0.2894,0.0196
1.0831,0.7721
0.6027,0.063
0.6161,0.0299
0.6161,0.0393
0.208,0.1111
0.1683,0.025
0.1539,0.0145
0.5685,0.0058
0.2894,0.0196
0.3828,0.0265
0.2231,0.3477
0.1581,0.0204
0.2894,0.0196
0.1708,0.1675
0.0521,0.1997
0.0518,0.2257
0.6454,0.0535
0.6499,0.0693
0.6304,0.0379
0.6547,0.0193
0.2894,0.0196
0.2875,0.0916
0.3037,0.0907
0.2892,0.1104
0.587,0.0302
0.6148,0.0578
0.6031,0.0116
0.0889,0.2416
0.0681,0.4967
0.0725,0.5167
0.2894,0.0196
0.0872,0.032
0.085,0.0047
0.0849,0.0792
0.0897,0.1171
0.0897,0.1185
0.011,0.011
0.2894,0.0196
0.2894,0.0196
2.2157,1.9873
0.6823,0.0538
1.5339,0.9708
1.5671,1.2276
0.2582,0.6076
0.5738,0.1274
0.5685,0.0089
0.6152,0.0602
0.3888,0.0613
0.3928,0.0614
0.3928,0.0524
0.4151,0.057
0.132,0.0337
0.132,0.0732
0.132,0.0602
0.2894,0.0196
0.4909,0.2735
0.6167,0.0518
0.5817,0.1449
0.4698,0.0557
0.4649,0.0288
0.2894,0.0196
0.3865,0.3093
0.2894,0.0196
0.1092,1.73
0.5265,0.0203
0.1527,0.0235
0.155,0.0466
0.1527,0.0381
0.3058,0.0282
0.2894,0.0463
0.2892,0.0408
0.2894,0.0196
0.0676,0.7455
0.2811,0.0294
0.2745,0.0029
0.4687,9.0E-4
0.4736,0.0329
0.4687,0.0472
0.4751,0.049
0.48,0.048
0.2894,0.0196
0.3333,0.0621
0.3177,0.0433
0.3207,0.0037
0.3249,0.0873
0.2792,0.0395
0.2727,0.0931
0.3888,0.0143
0.2894,0.0196
0.4649,0.0229
0.2299,0.0069
0.2311,0.0187
0.4632,0.0191
0.4632,0.0279
0.4623,0.0278
0.5685,0.0084
0.48,0.0361
0.3845,0.2271
0.2894,0.02
0.2894,0.0187
0.2043,0.1433
0.2043,0.0504
0.2043,0.0493
0.2043,0.0515
0.2894,0.0196
0.2894,0.0196
0.2894,0.0196
0.4679,0.0345
0.4736,0.0015
0.4718,0.0155
0.4718,8.0E-4
0.2104,2.4323
0.0923,0.7275
0.4605,0.2205
0.564,0.3673
0.1931,0.6308
1.6614,0.0115
1.6614,0.0087
0.4597,0.0877
0.4625,0.0488
0.2894,0.0196
0.4691,0.0865
0.4041,0.0561
0.4127,0.1123
0.48,0.0703
0.4782,0.0696
0.2894,0.0196
0.2894,0.0196
0.132,0.0193
0.1424,0.1257
0.132,0.003
0.1424,0.078
0.2894,0.0196
0.3888,0.0806
0.3888,0.0461
0.3888,0.045
0.3888,0.0687
0.3928,0.0354
0.2894,0.0196
0.011,0.011
0.011,0.011
0.2894,0.0196
0.011,0.011
0.011,0.011
0.011,0.011
0.011,0.011
0.2894,0.0196
0.2894,0.0196
0.2967,0.086
0.3255,0.0543
0.1389,2.4212
0.0901,0.2566
0.1027,1.5233
0.3015,0.0474
0.3828,0.0267
0.3851,0.0073
0.2801,0.5771
0.0287,46.8333
0.0287,46.8333
0.0418,0.0418
0.2575,0.0636
0.219,0.1002
0.2127,0.1925
0.3938,0.0197
0.3531,0.2355
0.2557,0.3339
0.3546,0.1956
0.2159,0.0682
0.2894,0.0196
0.2894,0.0196
0.1153,1.2046
0.1255,0.4923
0.2152,0.1848
0.2348,0.5247
0.1572,0.1842
0.208,0.1416
0.2552,0.0071
0.1869,0.1196
0.134,0.0686
0.1366,0.2636
0.5093,0.0312
0.6109,0.0288
0.2894,0.0196
0.5897,0.0479
0.011,3.7826
0.011,3.7826
0.0994,0.2241
0.0681,0.8917
0.1236,0.1573
0.2892,0.139
0.2894,0.0196
0.011,0.011
0.011,0.011
0.011,0.011
0.3406,0.0356
0.2981,0.2339
0.011,0.011
0.011,0.011
0.1792,0.2154
0.2325,0.1189
0.2183,0.2774
0.2257,0.032
0.282,0.4425
0.1336,0.2759
0.1535,1.0521
0.2268,7.5909
0.2894,0.0196
0.2879,0.0932
0.2941,0.0082
0.2894,0.0196
0.0749,36.6667
-0.0202,2.6833
0.3453,0.1698
0.4713,0.0086
0.4698,0.0412
0.463,0.0156
0.4462,0.118
0.4254,0.0772
0.4453,0.0402
0.2894,0.0196
0.2894,0.0196
0.0662,10.8214
0.0696,0.4545
0.1921,0.1503
0.1663,0.0615
0.0794,1.2429
0.0731,0.0318
0.0681,0.8658
0.2306,0.0154
0.2261,0.7286
0.2879,0.0
0.2091,0.0029
0.1845,0.5321
0.2894,0.0196
0.4743,0.0749
0.1836,0.0027
0.0856,0.295
0.0801,3.2381
0.2894,0.0196
0.4014,0.0566
0.4315,0.0978
0.5037,0.1123
0.5717,0.1201
0.5491,0.0878
0.5112,0.0175
0.6304,0.0936
0.6301,0.0973
0.6039,0.1178
0.6048,0.0605
0.2894,0.0196
0.6304,0.0137
0.5385,0.0349
0.61,0.0662
0.3272,0.0499
0.3546,0.0129
