TLOAD13,TLOAD13_RE
0.2506,0.1138
0.255,0.1359
0.0083,0.0083
0.2874,0.2874
0.0083,0.0083
0.0501,10.1333
0.1841,0.0672
0.2869,0.1946
0.2673,0.1124
0.2874,0.3153
0.2656,0.0087
0.2599,0.0556
0.303,0.1441
0.2874,0.1264
0.3054,0.0345
0.2993,0.0759
0.1387,1.3709
0.0702,0.7291
0.4053,0.0071
0.3916,0.1012
0.4002,0.0043
0.1058,0.1836
0.0916,0.2295
0.1113,0.2408
0.2804,0.1297
0.2458,0.1959
0.075,0.7159
0.2553,0.0412
0.1808,0.1599
0.0711,1.3235
0.0711,1.8327
0.0711,1.0372
0.0711,0.8516
0.3287,0.0218
0.2874,0.2874
0.0729,0.5458
0.1098,0.6971
0.1321,0.167
0.2593,0.1614
0.2985,0.1195
0.1063,0.1108
0.19,0.1343
0.2581,0.1497
0.2529,0.0831
0.2581,0.1197
0.2874,0.7741
0.2033,0.0863
0.0711,0.5323
0.0762,0.6042
0.0677,2.7611
0.1028,0.24
0.0941,0.1942
0.1155,0.3051
0.2874,3.7115
0.0711,0.3365
0.0219,8.5217
0.0083,2.6087
0.0083,0.478
0.2874,94.8
0.0083,0.0083
0.0083,0.0083
0.2581,0.0754
0.2581,0.0111
0.1854,0.0534
0.1812,0.0883
0.1865,0.0627
0.2705,0.1996
0.2485,0.0486
0.2874,0.2
0.1694,0.0845
0.1965,0.0175
0.2519,0.4757
0.0711,0.2811
0.3026,0.0478
0.2874,0.0428
0.2834,0.0201
0.1469,0.0684
0.1694,0.2365
0.1766,0.2788
0.2874,0.7148
0.1985,0.0566
0.2874,0.3778
0.1985,0.1787
0.2534,0.0842
0.1904,0.0073
0.1951,0.0332
0.1208,0.0413
0.2874,2.2401
0.0952,0.1213
0.0083,0.0083
0.4915,0.0761
0.3527,0.2879
0.3611,0.2579
0.3827,0.1127
0.4073,0.1146
0.1155,0.2171
0.1115,0.3026
0.1939,0.3484
0.2176,0.1982
0.2874,1.7741
0.1886,0.6287
0.2874,1.393
0.135,0.139
0.2062,0.4531
0.1578,0.115
0.1782,0.0748
0.1538,0.0135
0.1115,0.9324
0.1302,0.2295
0.1775,0.0436
0.4187,0.0892
0.4102,0.0238
0.2874,0.3505
0.3514,0.1323
0.3594,0.0062
0.3131,0.0953
0.1473,0.1875
0.1914,0.0651
0.1893,0.0242
0.2874,1.1544
0.1021,0.7534
0.2882,4.1464
0.1417,0.3457
0.1447,0.219
0.2874,1.446
1.4086,1.4099
0.5942,0.0544
0.5973,0.0653
0.5973,0.0321
0.1658,0.6901
0.2499,0.1421
0.1659,0.0116
0.5457,0.0441
0.2874,0.3751
0.3428,0.0523
0.2497,0.4441
0.1619,0.0119
0.2874,2.9155
0.1744,0.1317
0.0474,0.6362
0.0684,23.4286
0.6499,0.1389
0.692,0.0536
0.6011,0.0352
0.6077,0.0586
0.2874,0.5338
0.299,0.1088
0.2939,0.3281
0.2915,0.1832
0.5884,0.0757
0.5982,0.0254
0.5945,0.0343
0.1151,0.9777
0.0762,0.3439
0.0762,0.7085
0.2874,4.7827
0.1115,0.0248
0.1203,0.1994
0.1087,0.22
0.1051,0.3372
0.0881,0.1124
0.0083,0.0083
0.2874,0.0253
0.2874,0.4291
0.9404,0.2015
0.6795,0.047
0.8185,0.0506
0.8185,0.1044
