TLOAD4,TLOAD4_RE
0.3057,0.1878
0.3079,0.1034
0.0258,2.225
0.0258,0.0258
0.0258,2.1463
0.3313,0.141
0.4561,0.0078
0.4087,0.1161
0.0705,0.2879
0.303,0.0587
0.1546,0.0259
0.2226,0.2263
0.0871,0.3939
0.2319,1.7282
0.2712,0.0351
0.2928,0.0266
0.2155,0.0047
0.2236,0.2924
0.2675,0.0285
0.251,0.0752
0.3762,0.0862
0.4011,0.0629
0.4746,0.0418
0.539,0.0314
0.5462,0.008
0.5293,0.0688
0.6196,0.0599
0.6307,0.0834
0.2054,0.027
0.2962,0.0278
0.3258,0.2411
0.3263,0.1299
0.3828,0.0636
0.4677,0.017
0.5109,0.0511
0.9726,0.3156
0.0258,0.0258
0.1406,0.0042
0.2201,0.0152
0.251,0.1586
0.3018,0.0033
0.4202,0.0325
0.5092,0.0493
0.5502,0.0222
0.5462,0.0252
0.6123,0.0332
1.0468,0.3092
0.1406,0.0283
0.1383,0.0267
0.251,0.0056
0.4698,0.0275
0.4337,0.0065
0.526,1.0025
0.4847,0.0597
0.5243,0.0389
0.5462,0.0336
0.5321,0.0547
0.5318,0.0229
0.5487,0.196
0.6318,0.1186
0.6849,0.028
0.2523,0.13
0.3931,0.0393
0.3889,0.0568
0.4752,0.0174
0.5541,0.0248
0.6454,0.0407
0.6196,0.0867
0.4117,0.1625
0.3377,0.009
0.4727,0.0205
0.5109,0.0612
0.5109,0.0509
0.3127,0.0022
0.3016,0.0117
0.2468,0.2044
0.0521,0.1085
0.2475,0.0313
0.2332,0.0691
0.2919,0.0314
0.3601,0.0408
0.4517,0.1246
0.4011,0.0538
0.3871,0.0276
0.4561,0.016
0.4873,0.013
0.4899,0.026
0.507,0.0235
0.4796,0.0085
0.526,0.1128
0.5895,0.0203
0.2475,0.0668
0.2092,0.0723
0.2283,0.0334
0.2716,0.0255
0.3548,0.0536
0.405,0.0581
0.408,0.0829
0.3931,0.0248
0.4669,0.0475
0.4899,0.0095
0.536,0.0201
0.5092,0.024
0.5038,0.084
0.5636,0.0528
0.6196,0.0785
0.6027,0.0229
0.5779,0.0421
0.6196,0.1048
0.2825,0.1201
0.288,0.0141
0.276,0.0072
0.2879,0.0173
0.4104,0.0086
0.3931,0.0243
0.4202,0.0273
0.4899,0.0938
0.4827,0.0084
0.4899,0.0055
0.4772,0.0157
0.5389,0.02
0.5895,0.0195
0.5998,0.0047
0.6196,0.0193
0.6196,0.0481
0.2283,0.0104
0.2475,0.0351
0.2777,0.0343
0.2771,0.0062
0.2679,0.0194
0.4289,0.0014
0.4544,0.1067
0.4849,0.0154
0.4869,0.0031
0.4937,0.0502
0.5357,0.01
0.1336,0.0511
0.2221,0.0301
0.2475,0.0332
0.2716,0.0037
0.282,0.0543
0.3428,0.1208
0.405,0.0346
0.4613,0.0398
0.489,0.0169
0.5087,0.0611
0.6196,0.051
0.6196,0.0618
0.5765,0.0319
0.3249,0.1356
0.3634,0.0368
0.3964,0.0496
0.4844,0.0202
0.5872,0.0126
0.5694,0.0055
0.7292,0.0692
0.0702,0.0277
0.3651,0.0273
0.3964,0.0277
0.5978,0.0681
0.5137,0.0258
0.4899,0.0233
0.5629,0.0606
0.6196,0.0306
0.0827,0.4715
0.3352,0.1218
0.3371,0.0711
0.3441,0.0652
0.4393,0.0148
0.3931,0.0514
0.3581,0.0838
0.426,0.0579
0.4772,0.0295
0.5137,0.0398
0.5137,0.0605
0.5725,0.1056
0.3577,0.0151
0.408,0.0432
0.4432,0.0153
0.4362,0.065
0.4772,0.0336
0.5671,0.0072
0.6201,0.0382
0.0768,0.1672
0.3541,0.0276
0.4899,0.0124
0.0746,0.0605
0.07,0.1696
0.0301,7.3611
0.1204,0.046
0.3041,0.0431
0.3117,0.6209
0.3183,0.0589
0.6629,0.0273
1.079,0.2648
0.5738,0.0931
0.1488,3.694
0.2035,0.0415
0.2902,0.0265
0.2035,0.0258
0.3,0.0118
0.272,0.051
0.0665,0.1939
0.1321,0.0336
0.1321,0.041
0.3517,0.0059
0.5423,0.041
0.7422,0.1503
0.6069,0.1617
0.4916,0.0132
0.3,0.0027
0.2959,0.0576
0.2979,0.0304
0.3815,0.1153
0.2173,0.38
0.2793,0.0113
0.577,0.0372
0.2841,0.0154
0.2919,0.0041
0.3453,0.3467
0.31,0.1181
0.2223,13.0696
0.1725,0.465
0.4526,0.0246
0.2806,0.0683
0.1945,0.1247
0.4864,0.0424
0.3761,0.0639
0.3228,0.2987
0.2249,0.258
0.2701,0.1559
0.4575,2.048
0.3212,0.412
0.3447,0.5153
0.2775,0.1077
0.3917,0.0664
0.2315,0.484
0.2064,0.5222
0.341,0.1919
0.2631,0.1841
0.3693,0.0325
0.4609,0.0766
0.4924,0.1597
0.3984,0.1408
0.3951,0.0319
0.484,0.0525
0.483,0.1026
0.601,0.0512
0.5359,0.0598
0.2368,0.0986
0.2919,0.2956
0.3386,0.1051
0.4361,0.0619
0.4895,0.1936
0.5928,0.243
0.5119,0.2193
0.5807,0.2265
0.8817,0.325
0.4471,0.0595
0.4498,0.2046
0.6695,0.0504
0.5343,0.1739
0.6245,0.4698
0.3454,0.0534
0.3513,0.1224
0.4472,0.06
0.601,0.2492
0.4793,0.2626
0.4638,0.3321
0.5937,0.0206
0.0258,0.0258
0.0258,0.0258
0.2124,0.0386
0.1631,0.0618
0.0258,0.0258
0.0718,0.3022
0.3092,0.1213
0.4493,0.0127
0.0258,0.0258
0.4275,0.1964
1.3896,0.1434
1.3896,0.1536
0.0258,0.0258
0.2693,0.3208
0.0913,0.3099
0.1936,0.4642
0.4819,0.0654
1.3896,0.0314
0.2856,0.5071
0.372,0.1897
0.5174,0.0841
0.2496,0.0549
0.0258,0.0258
0.4288,2.745
0.0258,0.0258
0.0258,0.0258
0.8077,0.0905
1.0329,0.4661
0.1197,2.729
0.1682,1.846
0.0851,0.6053
0.2017,0.1336
0.208,0.0221
0.2965,0.0252
0.29,0.0356
0.0273,0.4615
0.0341,0.0931
0.0302,0.2094
0.0349,0.0864
0.2994,0.0194
0.602,0.1395
0.2871,0.0017
0.0325,0.1688
0.1775,0.4021
0.2555,0.2389
0.2729,0.1428
0.3135,0.4837
0.4749,0.0054
0.5401,0.0279
0.5218,0.0322
0.1401,0.0695
0.5541,0.0087
0.3056,0.0158
0.2215,0.2803
0.2484,0.045
0.2023,0.008
0.2004,0.003
0.2023,0.0515
0.4496,0.0475
0.2917,0.0373
0.0258,257.0
0.858,0.0666
0.0258,4.16
0.5983,0.1444
1.3896,1.1193
0.0258,257.0
0.6784,0.1216
0.3117,0.0362
0.2641,0.1483
0.1741,0.1602
0.3734,0.0511
0.0258,63.5
0.6196,0.0529
0.0258,85.0
0.0113,0.0887
0.0301,13.3333
0.3608,0.0725
0.2325,0.147
0.0258,0.0258
0.2305,0.2267
0.4378,0.0011
0.4126,0.0239
0.3709,0.173
0.3572,0.118
0.405,0.0366
0.0258,0.0258
0.2505,0.0463
0.5989,0.0549
0.0258,0.0258
0.0258,0.0258
0.0258,0.0258
0.0685,0.077
0.0258,0.0258
0.0809,0.0346
0.0826,0.0351
0.0258,0.0258
0.0655,0.3191
0.084,0.1277
0.0258,0.0258
0.0258,0.5343
0.1033,0.0455
0.0603,0.1223
0.0258,0.0258
0.373,0.0389
0.0258,0.0258
0.0258,0.0258
0.0258,0.0258
0.151,0.2967
0.2505,0.0463
0.0258,0.075
0.0273,0.1442
0.0258,0.1889
0.3045,0.0745
0.2523,0.0307
0.2546,0.0452
0.2206,0.0445
0.2593,0.0281
0.0738,0.1
0.2173,0.0018
0.2039,0.0702
0.0738,0.0081
0.1429,0.009
0.215,0.0272
0.0573,0.0324
0.2173,5.0E-4
2.8545,0.2676
0.0258,5.2927
0.0738,0.0889
0.4875,0.0639
0.4721,0.0488
0.4937,0.0043
