TLOAD1,TLOAD1_RE
0.2115,0.043
0.2115,0.0524
0.0075,0.0075
0.2752,0.2752
0.0075,0.0075
0.9304,0.4527
0.0263,0.09
0.0749,0.1219
0.0706,0.0601
0.2025,1.774
0.0706,0.1018
0.0706,0.0674
0.0749,0.026
0.2025,2.1154
0.2395,0.2821
0.2617,0.4886
0.0706,2.6392
0.0263,2.1687
0.4196,0.0569
0.414,0.0119
0.414,0.0889
0.0758,17.0476
0.0659,0.0965
0.0659,0.4295
0.0285,0.2391
0.0216,1.2268
0.0704,0.6762
0.0729,0.8134
0.0261,0.0567
0.0184,0.0265
0.0184,0.0108
0.0216,0.1111
0.0216,0.0286
0.313,0.0515
0.2625,0.2625
0.7002,0.2855
0.8116,0.0476
0.4632,0.4582
0.1441,7.0E-4
0.211,0.5323
0.0654,0.744
0.0263,0.2528
0.0263,0.0674
0.0263,0.0038
0.0211,0.2724
0.2025,6.729
0.0231,0.343
0.0216,0.4988
0.0216,0.4586
0.0216,1.0571
0.0654,0.4374
0.0654,0.4374
0.0654,0.3827
0.2025,2.7293
0.0654,0.5316
0.0125,6.3529
0.0125,5.5789
0.0125,5.9444
0.2025,118.1176
0.0066,0.0066
0.0066,0.0066
0.0263,0.0607
0.0263,0.0259
0.1446,0.0883
0.1446,0.021
0.1446,0.0493
0.211,0.402
0.1441,0.0077
0.2025,0.3261
0.0263,0.0607
0.0263,0.0836
0.1085,0.5819
0.0681,0.5764
0.2188,0.1854
0.2625,0.0458
0.2816,0.1
0.0777,0.1089
0.0801,0.1387
0.0777,0.1923
0.2025,5.155
0.0706,0.7178
0.2025,4.315
0.0263,0.3617
0.0749,0.4516
0.0231,0.7111
0.0263,0.8392
0.0211,0.3919
0.2025,3.9031
0.0211,0.5237
0.0075,0.0075
0.4361,0.1677
0.3443,0.3548
0.34,0.2009
0.4172,0.1641
0.4943,0.0139
0.0749,0.0579
0.0749,0.0285
0.3257,0.2874
0.3383,0.1421
0.2752,0.6509
0.0231,3.8125
0.2025,62.2813
