TLOAD0,TLOAD0_RE
0.3088,0.1914
0.3143,0.1332
0.0222,0.5417
0.0043,0.0043
0.0222,0.1809
0.3363,0.155
0.4556,0.0141
0.3508,0.1014
0.0222,0.7266
0.2666,0.0845
0.1239,0.2237
0.2577,0.1117
0.1015,0.3692
0.2725,1.484
0.2666,0.0108
0.3202,0.1526
0.2464,0.0765
0.2577,0.1957
0.2666,0.0563
0.2523,0.0572
0.3402,0.073
0.4556,0.0554
0.4588,0.0313
0.5376,0.0998
0.5376,0.0049
0.563,0.0043
0.6833,0.0104
0.6833,0.0028
0.1808,0.1211
0.2577,0.0945
0.3267,0.0049
0.3402,0.1101
0.4556,0.137
0.5291,0.1141
0.5376,0.0141
0.8865,0.1564
0.0043,0.0043
0.1239,0.0564
0.2464,0.1694
0.2523,0.0055
0.3266,0.0149
0.4556,0.0645
0.5291,0.0333
0.5376,0.0041
0.5431,0.0259
0.6765,0.0771
0.8642,0.1303
0.1239,0.1449
0.121,0.1418
0.2523,0.0461
0.4588,2.0E-4
0.4588,0.0299
0.479,0.7254
0.5291,0.0444
0.5346,0.0037
0.5431,0.0075
0.5431,0.0253
0.5376,0.0032
0.5376,0.2159
0.6833,0.0454
0.8722,0.2233
0.2523,0.0714
0.4556,0.2111
0.3476,0.0912
0.4588,0.0224
0.5376,0.0084
0.7848,0.1105
0.5698,0.2066
0.4556,0.0524
0.3476,0.0559
0.479,0.0522
0.5291,0.0272
0.5291,0.058
6.3521,19.0825
0.3266,0.1309
0.2862,0.9898
0.0909,0.1699
0.2464,0.0366
0.2464,0.0903
0.3202,0.0799
0.3476,0.0938
0.4556,0.0753
0.4556,0.1258
0.3476,0.1674
0.4588,0.0387
0.5291,0.0605
0.5291,0.0358
0.5291,0.0214
0.5291,0.0578
0.5376,0.0221
0.5575,0.0669
0.2464,0.3058
0.1808,0.1849
0.2464,0.1139
0.2523,0.1046
0.3402,0.115
0.4556,0.1266
0.4556,0.0824
0.3476,0.1646
0.4588,0.0902
0.5291,0.0563
0.5431,0.0302
0.5291,0.0332
0.5179,0.0195
0.563,0.0623
0.6633,0.0819
0.563,0.0783
0.5431,0.1001
0.6833,0.0116
0.2523,0.0277
0.2577,0.0515
0.2523,0.0913
0.3257,0.1192
0.4556,0.1274
0.3476,0.1565
0.4556,0.123
0.4588,0.1439
0.5291,0.0419
0.5291,0.0415
0.5291,0.0685
0.5376,0.01
0.563,0.068
0.563,0.0831
0.563,0.0671
0.5698,0.0161
0.2464,0.0845
0.2464,0.1175
0.2523,0.12
0.2523,0.0748
0.3202,0.0356
0.4556,0.0075
0.4588,9.0E-4
0.4588,0.0656
0.5291,0.0584
0.5376,0.0117
0.5376,0.0702
0.1239,0.1531
0.2464,0.0566
0.2464,0.0644
0.2523,0.0855
0.2577,0.1396
0.3476,0.0432
0.4556,0.1396
0.4588,0.0848
0.5298,0.0594
0.5376,0.0107
0.6765,0.1119
0.6833,0.0625
0.563,0.049
0.3243,0.0408
0.3476,0.0557
0.3476,0.1135
0.5291,0.0885
0.5575,0.0849
0.563,0.031
