TLOAD12,TLOAD12_RE
0.2315,0.0257
0.2272,0.0281
9.0E-4,9.0E-4
0.2316,0.2316
-0.0095,0.0095
0.0185,3.1111
0.1792,0.0686
0.2784,0.2716
0.2424,0.1032
0.2333,0.0523
0.2373,0.0408
0.2341,0.1466
0.3066,0.1577
0.2333,0.3428
0.3285,0.0798
0.3284,0.0484
0.1259,1.1195
0.0586,0.2389
0.4419,0.1354
0.4408,0.0117
0.3598,0.1282
0.0819,6.9515
0.0646,0.1545
0.1083,0.0939
0.176,0.1355
0.1739,0.0419
0.0644,0.7439
0.2128,0.1572
0.1213,1.0735
0.0645,0.9907
0.0541,0.7066
0.0555,0.3738
0.0645,0.4145
0.3245,0.0092
0.2333,0.2333
0.0754,0.7774
0.18,0.4717
0.2069,0.1902
0.2725,0.1158
0.2957,0.1616
0.1144,0.2017
0.1859,0.1547
0.2269,0.0324
0.2284,0.0908
0.229,0.0661
0.2333,0.3627
0.2267,0.0584
0.0645,0.2978
0.0631,0.3284
0.0631,2.1709
0.0646,0.2924
0.0645,0.3412
0.1159,0.1209
0.2333,2.3714
0.057,0.0983
0.0645,23.8077
0.0011,0.5217
-4.0E-4,1.0242
0.2333,85.4074
-4.0E-4,4.0E-4
0.0011,0.0011
0.2389,0.0444
0.2373,0.0943
0.178,0.0547
0.178,0.0148
0.1689,0.0114
0.2659,0.0487
0.2456,0.1229
0.2333,0.2698
0.1317,0.1769
0.1859,0.0277
0.2279,0.2026
0.0556,0.0177
0.2893,0.1164
0.2333,0.1442
0.2636,0.0589
0.1229,0.1973
0.1865,0.1262
0.1865,0.1296
0.2333,0.4012
0.1902,0.0812
0.2333,0.1347
0.1884,0.1604
0.2373,0.0206
0.1879,0.06
0.1882,0.059
0.1158,0.0547
0.2333,2.3045
0.1069,0.2958
0.0011,0.0011
0.5461,0.0384
0.3397,0.2439
0.1672,0.6283
0.3744,0.0216
0.4364,0.0249
0.1159,0.0751
0.1069,0.162
0.2155,0.1032
0.1891,0.6869
0.2316,0.0638
0.1377,0.1964
0.2333,0.9154
0.1125,0.0687
0.1338,0.3373
0.1735,0.0995
0.182,0.2281
0.1243,0.2299
0.1159,0.3185
0.1215,1.3824
0.1258,0.1128
0.4383,0.0027
0.4394,0.0575
0.2333,0.4833
0.3535,0.0487
0.3515,0.0095
0.317,0.0423
0.1735,0.1116
0.178,0.0753
0.1765,0.1004
0.2333,0.7017
0.0775,0.5694
0.3117,4.6673
0.172,0.0046
0.179,0.1467
0.2333,0.5958
0.6164,0.2949
0.625,0.0291
0.6261,0.0363
0.6248,0.0209
0.1284,0.2802
0.2195,0.0433
0.1645,0.0464
0.5501,0.0269
0.2625,0.4306
0.3585,0.0072
0.2411,0.4653
0.178,0.0691
0.2333,2.1655
0.1675,0.1167
0.0126,3.2
0.1259,45.6296
0.6342,0.0775
0.703,0.0839
0.625,0.1147
0.7201,0.0427
0.2625,0.62
0.3267,0.0478
0.3086,0.0939
0.3038,0.1135
0.6196,0.0282
0.6185,0.0142
0.6282,0.0144
0.1069,0.3463
0.0631,0.0482
0.0541,0.1812
0.2333,3.666
0.1173,0.0791
0.1173,0.0664
0.1083,0.2087
0.0646,0.176
0.057,0.2776
0.0011,0.0011
0.2333,0.2076
