TLOAD18,TLOAD18_RE
0.2004,0.0899
0.1944,0.1804
0.0061,0.0061
0.2761,0.0689
-0.0021,0.0021
0.085,2.5417
0.1924,0.1271
0.3276,0.0376
0.2593,0.0129
0.2784,0.0611
0.2533,0.051
0.2533,0.3109
0.2643,0.1012
0.2784,0.0611
0.3409,0.0698
0.3371,0.0602
0.1278,0.0463
0.0699,0.4879
0.3807,0.1282
0.3728,0.1128
0.4296,0.0108
0.2463,0.2011
0.0722,0.0256
0.0662,0.2347
0.083,0.2868
0.083,0.1354
0.0722,0.1301
0.083,0.0122
0.0756,0.6166
0.0722,0.9151
0.0662,1.1705
0.0662,1.1083
0.0722,0.8851
0.3488,0.0849
0.2784,0.0611
0.0974,3.8218
0.0912,2.6923
0.0789,3.4576
0.3169,0.0359
0.3375,0.1375
0.0722,0.0648
0.1924,0.0508
0.2593,0.1129
0.2593,0.0693
0.2593,0.0084
0.2784,0.0611
0.1899,0.3057
0.0722,0.3248
0.0722,0.5042
0.0722,4.1206
0.0722,0.066
0.0722,0.0322
0.0722,0.0732
0.2784,0.0611
0.0662,0.122
0.0061,1.0333
0.0061,1.44
0.0061,0.6486
0.2784,0.0611
0.0061,0.0061
0.0061,0.0061
0.2593,0.0331
0.2561,0.048
0.1924,0.1311
0.1924,0.107
0.1864,0.0862
0.2593,0.0121
0.2593,0.0331
0.2784,0.0611
0.1924,0.0508
0.1924,0.0317
0.1944,0.3091
0.0639,0.4622
0.3371,0.0587
0.2784,0.0611
0.2591,0.076
0.1924,0.1147
0.1924,0.0383
0.1924,0.011
0.2784,0.0611
0.1924,0.1657
0.2784,0.0611
0.2533,0.0094
0.2561,0.0405
0.1959,0.043
0.1864,0.0407
0.1278,0.3982
0.2784,0.0611
0.1218,0.3139
0.0061,0.0061
0.5801,0.034
0.1794,0.576
0.2957,1.6331
0.2113,0.5585
0.3845,0.105
0.1278,0.2691
0.1218,0.3341
0.2042,0.8855
0.1358,0.3128
0.2761,0.0689
0.3169,0.0742
0.2784,0.0611
0.1218,0.6529
0.3109,0.1478
0.1278,0.2027
0.1924,0.0907
0.1218,0.2902
0.0722,0.3779
0.1278,0.695
0.1842,0.099
0.3703,0.147
0.3703,0.1056
0.2784,0.0611
0.3375,0.1788
0.4214,0.1596
0.3435,0.054
0.1278,0.2478
0.1924,0.1782
0.1924,0.0707
