TLOAD13,TLOAD13_RE
0.2375,0.0556
0.2218,0.012
0.0019,0.0019
0.2306,0.2306
-0.0021,0.0021
0.0119,1.6444
0.1786,0.0354
0.2792,0.2162
0.2448,0.0187
0.2306,0.0554
0.2295,0.1284
0.2339,0.1501
0.3576,0.0102
0.2306,0.2991
0.2843,0.1012
0.2859,0.1173
0.1217,1.0803
0.0656,0.6158
0.4556,0.1161
0.3826,0.1219
0.3757,0.0572
0.0654,0.4954
0.0667,0.1047
0.1152,0.2843
0.2314,0.0677
0.2188,0.2843
0.0696,0.7364
0.2311,0.0575
0.1921,0.1073
0.0682,1.2288
0.0596,1.3745
0.0611,0.7507
0.0682,0.776
0.3625,0.1268
0.2429,0.2429
0.0682,0.5751
0.1375,1.1252
0.1378,0.2173
0.2748,0.1113
0.2731,0.1944
0.0667,0.303
0.1786,0.0663
0.242,0.078
0.2435,0.0428
0.242,0.0499
0.2306,0.4235
0.1875,0.1573
0.0682,0.4698
0.0667,0.4042
0.0667,2.7056
0.0667,0.1954
0.0682,0.1345
0.1176,0.3288
0.2165,2.5492
0.0611,0.1485
0.0033,0.4348
0.0033,0.4348
0.0018,0.8868
0.2165,71.1667
-0.001,0.001
5.0E-4,5.0E-4
0.2448,0.02
0.2339,0.1038
0.1808,0.0273
0.1808,0.0859
0.1769,0.008
0.269,0.1929
0.2582,0.0115
0.2165,0.096
0.1766,0.1306
0.1873,0.0635
0.2124,0.2443
0.0596,0.0739
0.2932,0.0774
0.2429,0.1187
0.2622,0.0934
0.1766,0.2844
0.1751,0.2781
0.1751,0.2679
0.2306,0.3759
0.1881,0.106
0.2306,0.1055
0.1871,0.2259
0.2276,0.1774
0.1929,0.0057
0.1848,0.0842
0.1232,0.0222
0.2306,1.5998
0.0629,0.2591
5.0E-4,5.0E-4
0.3964,0.2549
0.3798,0.2332
0.3658,0.2483
0.3943,0.0858
0.3639,0.2089
0.1176,0.2392
0.1104,0.2897
0.2017,0.4026
0.2359,0.299
0.2429,1.3446
0.1935,0.671
0.2306,0.9201
0.1137,0.2749
0.1924,0.4897
0.1232,0.309
0.1786,0.0772
0.1178,0.2444
0.1176,1.0381
0.1316,0.2427
0.1779,0.0415
0.3684,0.1986
0.3689,0.1221
0.2429,0.4511
0.3593,0.1128
0.3701,0.0361
0.2875,0.1693
0.1232,0.3205
0.1931,0.0746
0.1908,0.0165
0.2246,0.6837
0.1343,0.6756
0.2956,4.2786
0.0691,0.3438
0.0669,0.4364
0.2165,0.8426
0.7909,0.3531
0.6307,0.0037
0.6312,0.0122
0.626,0.0144
0.1751,0.7849
0.2295,0.0489
0.1203,0.2665
0.5491,0.0382
0.2577,0.4397
0.3774,0.0434
0.2467,0.4508
0.1808,0.13
0.2306,2.1417
0.1754,0.1382
-0.0098,1.0752
-0.0057,3.0357
0.6686,0.1141
0.6582,0.0998
0.6307,0.0124
0.6463,0.0012
0.2577,0.582
0.3627,0.0811
0.288,0.3014
0.3502,0.0188
0.6312,0.0085
0.6307,0.0275
0.6312,0.0253
0.1104,0.8969
0.0667,0.1764
0.0629,0.4103
0.2306,3.6398
0.1191,0.0947
0.1191,0.1874
0.1152,0.2929
0.0667,0.1514
0.0644,0.1869
5.0E-4,5.0E-4
0.2306,0.2179
0.2577,0.4881
0.649,0.1708
0.7012,0.0165
0.6752,0.1334
0.6641,0.1039
0.0972,0.8211
0.6248,0.1585
0.5417,0.0541
0.538,0.1698
0.3831,0.0804
0.455,0.1177
0.3776,0.0815
0.4556,0.0608
0.1284,0.0397
0.1207,0.0123
0.1222,0.0081
0.2429,0.562
0.6242,0.0355
0.4837,0.2491
0.6235,0.0019
0.4664,0.0191
0.4645,0.0011
0.2577,0.4345
0.3793,0.2864
0.2577,0.2124
0.0714,0.2831
0.5496,0.0785
0.1425,0.0159
0.1425,0.1452
0.1348,0.0773
0.302,0.0364
0.2887,0.0099
0.2757,0.0622
0.2429,0.2429
0.0667,0.5184
0.2663,0.0063
0.1748,0.331
0.4645,0.0293
0.4664,0.0503
0.4664,0.0106
0.4692,0.0542
0.4664,0.0511
0.2577,0.9992
0.302,0.2594
0.2873,0.007
0.2876,0.0835
0.2948,0.0662
0.2508,0.0157
0.2552,0.095
0.3826,0.021
0.2577,0.4
0.4665,0.0128
0.2494,0.0672
0.2332,0.0181
0.4664,0.0073
0.4677,0.2054
0.464,0.0138
0.5496,0.864
0.4669,0.0485
0.3943,0.1493
0.2822,0.0332
0.2771,0.0543
0.2069,0.1349
0.2054,0.0442
0.2069,0.0709
0.1978,0.0135
0.2883,0.0222
0.2816,0.0449
0.2832,0.0395
0.4664,0.003
0.4669,0.0058
0.4645,0.0089
0.4687,0.0132
0.3726,2.1657
0.1323,0.5416
0.4663,0.0069
0.4729,0.2048
0.0755,0.0296
1.2133,0.0174
1.2562,0.0951
0.4426,0.6778
0.4816,0.1588
0.2429,0.3179
0.4592,0.1094
0.4506,0.0013
0.4501,0.0395
0.4664,0.0842
0.4669,0.0239
0.2577,0.4817
0.2429,0.2429
0.1204,0.0594
0.1231,0.066
0.1104,0.0715
0.1119,0.1586
0.2577,0.2577
0.455,0.0867
0.3831,0.0672
0.3826,0.0316
0.4481,0.0905
0.3751,0.1005
0.2429,0.2429
5.0E-4,5.0E-4
5.0E-4,5.0E-4
0.2429,8.755
-0.0054,0.0054
0.0019,0.0019
4.0E-4,4.0E-4
4.0E-4,4.0E-4
0.2429,0.2429
0.2429,0.2279
0.2916,0.2095
0.3509,0.1753
0.0737,0.8333
0.1289,0.2839
0.1976,0.5365
0.3056,0.0317
0.3688,0.0115
0.3699,0.0165
0.0727,0.0727
0.0142,0.0142
0.015,0.015
-0.0054,0.0054
0.2435,0.1775
