TLOAD7,TLOAD7_RE
0.2339,0.068
0.2293,0.0048
0.0024,0.0024
0.225,0.225
0.0018,0.0018
0.0456,0.8612
0.013,0.6286
0.1317,0.4881
0.1368,0.2227
0.1984,0.4675
0.1249,0.2247
0.1249,0.2776
0.1232,0.1623
0.1984,1.0245
0.2901,0.3443
0.2901,0.223
0.1192,4.0295
0.0418,2.029
0.4052,0.0358
0.4063,0.002
0.4144,0.0342
0.0734,39.7778
0.0432,0.0828
0.0386,0.0676
0.0131,0.4304
0.0116,0.2609
0.0938,1.2767
0.097,1.5065
0.0145,0.4008
0.0116,0.5469
0.007,0.6465
0.007,0.7378
0.0116,0.5021
0.2949,0.1144
0.2068,0.2068
0.0345,0.4692
0.1212,8.3231
0.0532,0.8759
0.1347,0.2525
0.1887,0.0864
0.0464,0.1542
0.0446,0.3434
0.0446,0.2928
0.0479,0.2876
0.0479,0.4738
0.1984,5.4
0.0085,0.4586
0.0432,0.0485
0.0432,0.1221
0.0116,0.0252
0.0524,0.1876
0.0524,0.131
0.0544,0.2035
0.1984,2.1592
0.0419,0.1104
0.0064,2.3684
0.0064,1.6667
0.0064,1.6667
0.1984,3.1077
0.0024,0.0024
0.0024,0.0024
0.013,0.5
0.0085,0.6458
0.1312,0.1926
0.1312,0.1425
0.1266,0.2008
0.2372,0.0687
0.2372,0.0512
0.1984,0.2856
0.0446,0.3234
0.0446,0.2153
0.1279,0.2551
0.0419,0.0689
0.2472,0.1056
0.2068,0.1845
0.2427,0.0665
0.1173,0.1253
0.1312,0.012
0.1312,0.0332
0.1984,5.8414
0.0478,0.8038
0.1984,6.9044
0.0433,0.634
0.0433,0.5193
0.013,0.0484
0.0085,0.3307
0.0432,0.3935
0.1984,8.7255
0.0386,0.2614
0.0024,0.0024
0.5115,0.1291
0.2744,0.3123
0.3552,0.1565
0.4246,0.192
0.4134,0.0275
0.108,0.0854
0.1014,0.2396
0.2385,0.0809
0.191,0.0165
0.225,0.5234
0.0153,3.25
0.1984,67.4138
0.0085,1.5758
0.051,14.0
0.0446,0.3274
0.0446,0.1645
0.04,0.2012
0.0524,0.4502
0.0485,0.6738
0.116,0.1696
0.3907,0.0822
0.4068,0.0087
0.2227,0.447
0.0519,0.3585
0.0506,0.2525
0.0516,0.3543
0.1219,0.0217
0.1294,0.0099
0.1294,0.0175
0.1984,0.5847
0.1033,0.8782
