TLOAD8,TLOAD8_RE
0.2027,0.089
0.1889,0.1452
0.0012,0.0012
0.1821,0.1821
-0.0035,0.0035
0.0088,0.6174
0.0453,0.3092
0.2096,0.2308
0.1963,0.0403
0.1225,0.3091
0.1843,0.046
0.1843,0.0401
0.129,0.1783
0.1225,0.2197
0.2811,0.0226
0.2808,0.0599
0.1234,3.996
0.0311,0.7977
0.3666,0.0235
0.4106,0.0749
0.37,0.0812
0.0499,0.3929
0.0428,0.2914
0.0352,0.4699
0.076,0.1574
0.0522,0.1844
0.0585,0.0331
0.0573,0.0287
0.0786,0.2092
0.0428,0.7189
0.0352,0.5304
0.0352,0.2438
0.0428,0.6719
0.3286,0.0191
0.1945,0.1945
0.186,0.253
0.1952,0.5677
0.2391,0.1635
0.265,0.0192
0.2591,0.0629
0.0414,0.2541
0.047,0.0208
0.047,0.2358
0.047,0.232
0.047,0.2598
0.1225,1.6515
0.0376,0.5537
0.0441,0.1055
0.0428,0.1354
0.0428,2.218
0.0954,0.1197
0.0414,0.548
0.1181,0.2328
0.1316,1.0692
0.0338,0.2422
-0.0056,3.24
-0.0068,4.5789
-0.0068,4.4
0.1316,47.7407
-0.0068,0.0068
-0.0068,0.0068
0.0378,0.4
0.0376,0.2533
0.1287,0.2737
0.1274,0.2353
0.1171,0.2663
0.2691,0.0285
0.267,0.1159
0.1225,0.597
0.0453,0.0249
0.0453,0.018
0.2381,0.221
0.0441,0.1279
0.2735,0.0877
0.1945,0.2761
0.2555,0.0596
0.1278,0.1525
0.1292,0.1786
0.1292,0.0971
0.1225,1.5789
0.0453,0.0022
0.1225,1.7904
0.0376,0.1194
0.0376,0.1754
0.0453,2.9052
0.0376,1.7246
0.0427,0.4377
0.1225,3.8419
0.0338,0.2028
-0.0042,0.0042
0.474,0.076
0.3391,0.3309
0.3495,0.1984
0.3491,0.1885
0.3576,3.7871
0.1181,0.1068
0.1078,0.2278
0.2038,0.1131
0.2012,0.0339
0.2355,0.6042
0.0465,11.5676
0.1225,41.2414
0.035,7.3333
0.0464,13.0606
0.0426,0.0116
0.0453,0.3169
0.035,0.2099
0.0954,0.3127
0.122,0.259
0.126,0.2869
0.4102,0.0909
0.4102,0.0667
0.204,0.5265
0.1079,0.3437
0.0572,0.1992
0.0558,0.3129
0.1247,0.1703
0.126,0.1738
0.126,0.2
0.1225,0.0081
0.1985,0.588
0.2355,0.2661
0.2401,0.154
0.2401,0.0878
0.1316,0.2015
0.6363,0.2641
0.6241,0.0957
0.6228,0.0944
0.6311,0.121
0.0982,0.1313
0.2044,0.0735
0.1234,0.1768
0.5374,0.0113
0.2359,0.4821
0.3535,0.0576
0.2089,0.3922
0.1274,0.2184
0.1262,0.7217
0.1171,0.2178
-0.0021,1.75
-0.0082,4.037
0.61,0.0307
0.628,0.005
0.6284,0.01
0.6256,0.0081
0.2359,0.639
0.3179,0.0409
0.3449,0.3579
0.2776,0.0036
0.4842,0.0728
0.5485,0.2192
0.4843,0.0898
0.1159,0.1637
0.0414,0.0327
0.0338,0.0662
0.1225,1.8621
0.0427,0.3926
0.0414,0.3501
0.0338,0.3775
0.0968,0.2523
0.0865,0.1219
-0.0042,0.0042
0.1262,0.1262
0.2359,0.4699
0.7705,0.04
0.7573,0.0421
0.7212,0.0802
0.7419,0.054
0.5171,0.1973
0.5334,0.0211
0.5378,0.0616
0.534,0.1965
0.3666,0.0468
0.3883,0.054
0.3801,0.1432
0.3925,0.0275
0.1323,0.2115
0.1224,0.0958
0.1224,0.0226
0.204,0.6037
0.5373,0.1205
0.54,0.0766
0.541,0.0403
0.4752,0.0208
0.4745,0.0025
0.2359,0.4647
0.4031,0.0506
0.2169,0.3186
0.1194,0.9073
0.5264,0.0066
0.1336,0.0478
0.2022,0.3974
0.1238,0.1497
0.2863,0.0791
0.2819,0.0105
0.2682,0.0163
0.204,0.204
0.2262,0.618
0.2606,0.0159
0.2461,0.056
0.4733,0.0811
0.4752,0.023
0.474,0.0178
0.4745,0.0057
0.4752,0.0085
0.2359,0.8737
0.286,0.0688
0.2301,0.1587
0.2659,0.1836
0.3111,0.0177
0.2158,0.1757
0.2441,0.039
0.3465,0.0148
0.2359,0.4363
0.4752,0.1434
0.2111,0.068
0.1982,0.0651
0.4752,0.0376
0.4768,0.1587
0.4733,0.0038
0.474,0.7876
0.474,0.0379
0.41,0.0575
0.2725,0.0452
0.265,0.1011
0.2093,0.1169
0.208,0.0744
0.208,0.0672
0.1982,0.0076
0.261,0.0157
0.253,0.0459
0.253,0.0459
0.474,0.0194
0.474,0.0106
0.4733,0.0225
0.4733,0.0083
0.3122,1.259
0.1307,0.2013
0.4107,0.2544
0.3975,0.082
0.1066,1.0228
1.371,0.0621
1.371,0.167
0.5237,0.0033
0.5265,0.009
0.2355,0.3602
0.5149,0.0276
0.41,0.0034
0.41,0.057
0.5264,0.0509
0.474,0.0449
0.2359,0.5228
0.2355,0.2355
0.1279,0.024
0.1279,0.0799
0.1181,0.1127
0.1181,0.0915
0.2359,0.2359
0.3679,0.0474
0.3666,0.0624
0.3666,0.0174
0.3919,0.0409
0.3682,0.0252
0.1945,0.1945
-0.0042,0.0042
-0.0055,0.0055
0.1945,1.2486
-0.0124,0.0124
0.0025,0.0025
0.0012,0.0012
0.0012,0.0012
0.2355,0.2355
0.2355,0.4113
0.2688,0.1981
0.3161,0.1119
0.1066,0.4484
0.0573,0.2538
0.1914,0.272
0.287,0.0547
0.3493,0.1254
0.3551,0.0621
0.114,0.114
0.0488,0.0488
0.1028,0.1028
-0.0103,0.0103
0.0483,0.2259
0.047,0.078
0.0376,0.1026
0.0552,0.0073
0.0558,0.0164
0.047,0.1423
0.0478,0.0964
0.0376,3.7
0.1225,7.0065
0.1225,4.3728
0.0414,0.185
0.0338,2.7978
0.0388,6.1852
0.0512,0.0779
0.0428,0.237
0.1008,0.0446
0.1278,0.2529
0.0378,0.6652
0.1194,0.0737
0.1181,0.3451
0.527,0.0148
0.6302,0.0153
0.2359,0.5479
0.6311,0.0343
-0.0124,6.3913
-0.0124,6.3913
0.0981,0.192
0.0414,0.2857
0.0414,0.0548
0.2617,0.051
0.2359,0.1196
0.0025,0.0025
0.0012,0.0012
-0.0035,0.0035
0.3308,0.0864
0.267,0.2241
0.0012,0.0012
-0.0035,0.0035
0.2057,0.3784
0.3208,0.0577
0.2012,0.0376
0.3397,0.0857
0.2072,0.0091
0.1223,0.3839
0.1341,0.1341
0.0881,2.059
0.2359,0.2255
0.2749,0.0044
0.2767,0.1045
0.2359,0.3996
0.0495,10.5116
-0.0035,0.8421
0.1357,10.5
0.4752,0.0638
0.4733,0.0075
0.4709,0.0411
0.4709,0.0803
0.4069,0.1102
0.4702,0.0231
0.2359,0.2359
0.2359,0.2359
0.2182,0.2447
0.2253,0.1816
0.126,0.125
0.1157,0.1079
0.0573,0.1422
0.0573,0.2215
0.0441,0.3243
0.2128,0.0042
0.1978,0.2567
0.2663,0.1
0.2107,0.0354
0.2443,0.0105
0.2355,1.7576
0.4745,0.0115
0.1365,0.2598
0.192,0.1444
0.1864,0.651
0.2359,0.4215
0.385,0.0739
0.4106,0.0806
0.525,0.5459
0.5334,0.086
0.5242,0.0047
0.5242,0.0392
0.6228,0.0106
0.7237,0.1326
0.6211,0.0507
0.5454,0.2323
0.2359,0.6073
0.6302,0.0612
0.5361,0.0493
0.6316,0.0778
0.2822,0.0634
0.3465,0.0516
0.3465,0.0859
0.6267,0.0507
0.41,0.1166
0.2359,0.7307
0.2958,0.1611
0.2359,0.1104
0.6368,0.118
0.214,0.1568
0.2169,0.0177
0.0338,0.6888
0.035,0.3256
0.0466,0.1322
0.0428,0.1591
0.035,0.4058
0.1181,0.0351
0.1181,0.157
0.1078,0.1444
0.1225,0.3004
0.1091,0.1963
0.2909,0.0
0.3175,0.041
-0.0068,0.0068
0.0453,0.1627
0.1225,2.1091
0.1959,0.1476
0.1946,0.0781
0.1867,0.0065
0.1817,0.126
0.1829,0.0601
0.0453,1.9803
0.0378,1.4545
0.1225,5.7308
0.0378,1.4231
0.0378,1.8421
0.1225,7.3904
0.2173,0.0662
0.1963,0.0509
0.1875,0.0199
0.2003,0.0366
0.1225,0.9291
0.4106,0.1428
