TLOAD18,TLOAD18_RE
0.2772,0.0616
0.2749,0.0186
0.0745,4.6015
0.0085,0.0085
0.0745,1.9331
0.3494,0.0433
0.4895,0.0595
0.4248,0.2113
0.0745,0.733
0.3399,0.5729
0.2056,0.1204
0.2754,0.2459
0.1301,0.3102
0.0828,0.2775
0.334,1.4012
0.281,0.1224
0.2617,0.2854
0.2772,0.0011
0.3194,0.2715
0.2646,0.0243
0.3728,0.0072
0.4296,0.1098
0.4942,0.0709
0.4942,0.1227
0.5801,0.0078
0.5155,0.097
0.6456,0.0334
0.642,0.0743
0.2028,0.0429
0.2839,0.0275
0.3577,0.0025
0.3646,0.048
0.3807,0.052
0.4211,0.1525
0.5067,0.0759
0.808,0.025
0.0085,0.0085
0.1301,0.0164
0.2617,0.172
0.2672,0.0373
0.3433,0.0628
0.4296,0.0234
0.5155,0.0081
0.5867,0.0358
0.5801,0.0184
0.6328,0.0206
0.8102,0.0203
0.1301,0.1009
0.1301,0.0046
0.2617,0.0315
0.4942,0.0395
0.4296,0.0402
0.5801,0.0047
0.4942,0.0073
0.5801,0.0346
0.5801,0.034
0.5801,0.0264
0.5994,0.044
0.5976,0.1691
0.6548,0.165
0.8093,0.006
0.2617,0.1417
0.3728,0.0818
0.4267,0.0533
0.4942,0.007
0.5801,0.0324
0.6696,0.0232
0.6488,0.0122
0.4942,0.0909
0.3592,0.1313
0.4942,0.0646
0.5031,0.028
0.4942,0.0807
0.3263,0.0485
0.3433,0.0708
0.3332,0.0669
0.1301,0.3385
0.2617,0.0836
0.2617,0.101
0.2839,0.0584
0.3646,0.0701
0.4942,0.1432
0.3807,0.1165
0.3807,0.0737
0.4942,0.0415
0.4942,0.0179
0.4942,0.0522
0.4942,0.0757
0.4942,0.0264
0.5155,0.0283
0.5958,0.0146
0.2617,0.1222
0.2617,0.1559
0.2617,0.1208
0.2746,0.0154
0.3646,0.0167
0.3807,0.0644
0.3807,0.1194
0.3807,0.0733
0.4942,0.0238
0.4942,0.0293
0.5031,0.1152
0.5031,0.0157
0.5801,0.034
0.5891,0.0369
0.6328,0.0606
0.6006,0.0441
0.5801,0.0062
0.6374,0.0817
0.2617,0.0769
0.2753,0.0497
0.2654,0.0592
0.3433,0.1432
0.4942,0.1669
0.3807,0.0535
0.4296,0.0201
0.4942,0.0862
0.4942,0.0144
0.4942,0.0216
0.4942,0.0266
0.5031,0.1083
0.5958,0.0278
0.612,0.0685
0.6267,0.001
0.6267,0.0717
0.2617,0.1305
0.2617,0.0481
0.2646,0.0392
0.2753,0.0115
0.2783,0.0615
0.4296,0.0724
0.4942,0.0495
0.4942,0.0046
0.4942,0.005
0.4942,0.0596
0.5801,0.0087
0.1301,0.0106
0.2617,0.1184
0.2617,0.0904
0.2716,0.044
0.2809,0.0478
0.3725,0.057
0.3807,0.0669
0.4942,0.0183
0.4942,0.0034
0.4942,0.0606
0.6328,0.0172
0.6328,0.039
0.5958,7.0E-4
0.2966,0.003
0.3656,0.024
0.3807,0.0873
0.4942,0.0319
0.5969,0.0116
0.5801,0.0215
0.7374,0.0703
0.1301,0.1795
0.3513,0.0456
0.3807,0.0895
0.6242,0.0597
0.5031,0.1205
0.4942,0.0594
0.6084,0.0256
0.612,0.0127
0.1301,0.1731
0.3566,0.0136
0.3577,0.0168
0.3725,0.0322
0.4296,0.1031
0.3725,0.1046
0.4296,0.0243
0.4942,0.027
0.4942,0.0036
0.5801,0.0035
0.5801,0.0289
0.612,0.0889
0.3725,0.0111
0.3807,0.1032
0.4942,0.0477
0.4942,0.0137
0.4942,0.0439
0.5801,0.0375
0.6212,0.0794
0.1301,0.0951
0.3725,0.0397
0.4942,0.0547
0.1983,0.1569
0.1983,0.0807
0.2293,0.016
0.2056,0.0139
0.3488,0.022
0.3488,0.0037
0.3409,1.5574
0.9548,1.0293
0.8472,0.7297
0.6141,0.0553
0.3334,0.0433
0.2004,0.0388
0.2788,0.0459
0.2004,0.0502
0.2843,0.0431
0.2593,0.036
0.0722,0.3938
0.1278,0.0039
0.1278,0.034
0.3783,0.059
0.5776,0.0197
0.1431,1.5645
0.1431,1.6648
0.0874,0.8316
0.3359,0.0188
0.3313,0.0113
0.3409,0.1525
0.4359,0.1058
0.3586,0.0513
0.3409,0.0451
0.5148,0.2192
0.3359,0.0643
0.3359,0.0042
0.3563,0.3222
0.2063,0.3457
0.0804,0.7411
0.3504,0.0985
0.5132,0.623
0.0146,0.9508
0.1399,0.551
0.4572,0.5436
0.3486,0.2196
0.4385,0.0973
0.2727,0.3027
0.2843,0.0356
0.3033,1.3901
0.366,0.3848
0.65,0.1236
0.2843,0.0304
0.3753,0.048
0.3119,0.0253
0.2784,0.2655
0.2044,0.1356
0.3409,0.0655
0.3552,0.0059
0.509,0.161
0.6122,0.0572
0.6332,0.8396
0.3631,0.0891
0.4358,0.2232
0.3984,0.059
0.5164,0.236
0.6169,0.1823
0.3409,0.06
0.2871,0.1943
0.3472,0.6581
0.4918,0.2834
0.6394,0.0826
0.6415,0.1779
0.5211,0.1326
0.6206,0.2077
0.906,0.3391
0.5867,0.0395
0.5776,0.1522
0.6401,0.1613
0.445,0.3457
0.6257,0.085
0.3377,0.012
0.3486,0.1514
0.5854,0.0454
0.6747,0.3435
0.5776,0.2535
0.536,0.3327
0.6198,0.1247
0.0061,0.0061
0.0061,0.0061
0.2623,0.0581
0.2109,0.2911
0.0061,0.0061
0.0722,0.1914
0.3473,0.219
0.1002,99.2
0.0061,0.0061
0.5006,0.1411
1.2841,0.095
1.2793,0.184
0.0061,0.0061
0.2004,0.0298
0.0722,0.26
0.0106,16.6667
0.4359,0.0638
1.3736,0.1635
0.136,225.6667
0.2032,0.5607
0.1234,122.4
0.094,0.0694
0.0061,0.0061
0.2113,0.5585
0.0061,0.0061
0.0061,0.0061
0.3273,0.4531
1.0167,0.6267
0.1009,13.8382
0.0838,0.1448
0.0722,1.3518
0.1323,0.3134
0.0803,2.251
0.3207,0.0409
0.3207,0.0361
0.083,0.0122
0.0722,0.03
0.0722,0.0779
0.0756,0.1711
0.3266,0.1305
0.4415,0.6462
0.2621,0.2055
0.0756,0.2038
0.2077,0.2434
0.2794,0.7026
0.166,0.5162
0.2766,0.8689
0.4918,0.0506
0.5867,0.028
0.5042,0.0163
0.1959,0.0654
0.5951,0.0174
0.3542,0.1767
0.2004,0.3479
0.2623,0.0599
0.2004,0.0157
0.2004,0.0251
0.2004,0.0324
0.5842,0.0637
0.273,0.2299
0.0061,0.0061
0.837,3.0144
0.0061,0.2979
0.635,0.1069
0.8414,0.7807
0.0061,0.0061
0.6502,0.158
0.3552,0.1785
0.3409,6.0E-4
0.1959,0.0545
0.3783,0.2785
0.0061,0.0061
0.635,0.0468
0.0061,0.0061
0.08,1.2923
0.0722,32.3913
0.4287,0.0785
0.3435,0.1211
0.0061,0.0061
0.3321,0.1251
0.4918,0.1092
0.4271,0.004
0.4918,0.2045
0.3631,0.1178
0.3783,0.1004
0.0061,0.0061
0.2843,0.5035
0.3034,0.5312
0.0061,0.0061
0.0061,0.0061
0.0061,0.0061
0.2463,0.2011
0.0061,0.0061
0.1278,0.0719
0.1278,0.157
0.0061,0.0061
0.0722,0.6196
0.1278,0.0463
0.0061,0.0061
0.0722,0.258
0.1924,0.1109
0.1278,0.6576
0.0061,60.0
0.1406,0.4684
0.0061,0.0061
0.0061,0.0061
0.0061,0.0061
0.1278,0.4392
0.2843,0.0775
0.0722,2.4057
0.0722,0.0633
0.0722,0.805
0.3488,0.065
0.2651,0.1365
0.2651,0.105
0.2004,0.1622
0.3371,0.0815
0.0722,0.072
0.2004,0.1929
0.2593,0.0886
0.0722,0.0722
0.1924,0.107
0.2593,0.0627
0.1278,0.2456
0.2593,0.0265
4.7187,0.1858
0.0061,0.2979
0.0722,0.1425
0.5006,0.0184
0.4918,0.0293
0.4918,0.0584
0.2843,0.0412
0.1924,0.0366
0.0722,1.1813
0.0722,0.3248
0.0722,4.1206
0.0722,0.9566
0.0722,0.5042
0.0722,1.1488
0.0722,0.4498
0.0722,1.2704
0.0722,0.1343
0.0722,0.0256
0.1924,0.04
0.1924,0.1739
0.0722,0.172
0.0061,0.0061
0.0756,0.475
0.0061,0.0061
0.0722,1.9469
0.0722,0.5112
0.0722,1.0056
0.1278,0.1132
0.2593,0.4001
0.1278,0.0568
0.1924,0.1251
0.0722,0.1176
0.0722,0.2053
0.1924,0.7684
0.1924,0.0858
0.2621,0.0364
0.0722,0.3752
0.1959,0.1128
0.2593,0.0384
0.0722,0.1476
0.2593,0.2231
0.2621,0.186
0.4214,0.0359
0.0722,0.2427
0.1924,0.3214
0.3586,0.0076
0.1278,0.4639
0.2643,0.0205
0.3504,0.0166
0.1278,0.125
0.1959,0.1617
0.0722,1.4392
0.1959,0.0993
0.1278,0.134
0.1924,0.095
0.0722,0.0841
0.1924,0.2658
0.1924,0.0531
0.1924,0.115
0.3435,0.0424
0.1278,0.2179
0.2593,0.1049
0.0722,0.2549
0.1924,0.4064
0.1959,0.043
0.0722,0.4675
0.2593,0.0209
0.2621,0.2652
0.1924,0.0447
0.1924,0.2861
0.2593,0.0545
0.2643,0.1012
0.1278,0.4556
0.1924,0.038
0.2593,0.0858
0.1959,0.1079
0.0722,0.1833
0.2621,0.0081
0.0722,0.3321
0.2593,0.0084
0.1278,0.0224
0.0722,0.1978
0.1959,0.0922
0.1924,0.1247
0.1278,0.695
0.332,0.0232
0.1278,0.2312
0.3435,0.0324
0.1278,0.0463
0.1987,0.09
0.2621,0.0403
0.2032,0.0356
0.2593,0.0133
0.1959,0.0746
0.1278,0.175
0.0722,0.2908
0.1959,0.4412
0.1924,0.2131
0.1278,0.1143
0.0722,0.8608
0.0722,0.3227
0.2381,0.5185
0.0061,0.0061
0.0061,0.0061
0.0061,0.0061
0.1924,0.2712
0.2593,0.0605
0.5006,0.0228
0.0061,0.0061
0.0722,0.6228
0.0722,0.1009
0.0722,1.0111
0.0722,1.0867
0.1924,0.2818
0.0722,1.057
0.0722,0.1914
0.0722,0.0779
0.0061,0.3776
0.0722,2.0987
0.0722,0.5042
0.0722,7.5952
0.0722,2.5743
0.0722,0.4887
0.0722,7.2989
0.0722,1.9712
0.0722,0.6188
0.0722,3.2222
0.3206,0.1731
0.1959,0.0751
0.2621,0.0755
0.0722,0.7028
0.1924,0.1324
0.1924,0.0194
0.3353,0.3466
0.0722,0.4241
0.2651,0.1536
