TLOAD15,TLOAD15_RE
0.2748,0.1226
0.2918,0.0736
0.0822,4.0429
0.0126,0.0126
0.0822,5.3721
0.2957,0.182
0.481,0.0357
0.4153,0.1907
0.1215,0.5647
0.3387,0.508
0.2003,0.1153
0.2838,0.038
0.1301,0.3578
0.1781,0.4897
0.3432,1.2668
0.2653,0.2339
0.2459,0.0958
0.2791,0.0106
0.2792,0.0834
0.2574,0.0098
0.4053,0.0127
0.4113,0.0689
0.4865,0.0272
0.5444,0.0077
0.5444,0.0447
0.5444,0.0322
0.6309,0.0359
0.6361,0.131
0.2059,0.0315
0.2902,0.035
0.3485,0.029
0.3577,0.0786
0.4084,0.0139
0.4128,0.1819
0.4891,0.046
0.7208,0.0322
0.0126,0.0126
0.1528,0.0868
0.2459,0.1453
0.2666,0.0439
0.3387,0.0561
0.4113,0.0359
0.4891,0.0518
0.5444,0.0263
0.5444,0.0223
0.6309,0.0407
0.8383,0.1254
0.1528,0.07
0.1528,0.0495
0.2693,0.0648
0.481,0.0201
0.4113,0.0599
0.5444,0.8399
0.4891,0.0254
0.5444,0.0119
0.5444,0.0096
0.5444,0.0457
0.5582,0.0487
0.5582,0.1596
0.7518,0.0945
0.7107,0.0291
0.2784,0.086
0.4124,0.0039
0.4153,0.0806
0.485,0.0126
0.55,0.0191
0.6896,0.0625
0.6239,0.046
0.478,0.0136
0.3464,0.096
0.4891,0.0143
0.4891,0.0077
0.4891,0.0455
0.2891,0.0819
0.2957,0.0192
0.2955,0.0393
0.1528,0.0402
0.2506,0.0187
0.2059,0.031
0.2776,0.1051
0.3947,0.0174
0.481,0.0308
0.4053,0.0115
0.394,0.089
0.4751,0.0932
0.481,0.0063
0.4836,0.0261
0.4891,0.0414
0.4865,0.0382
0.4836,0.0518
0.5444,0.0615
0.2059,0.0063
0.2059,0.0178
0.2459,0.0799
0.2665,0.0571
0.3888,0.0197
0.4,0.0138
0.4113,0.0203
0.3888,0.0157
0.4836,0.0313
0.4836,0.0303
0.5444,0.0011
0.4891,0.0475
0.4735,0.0894
0.5444,0.0266
0.6309,0.0327
0.5582,0.0985
0.5444,0.0858
0.6309,0.0741
0.2562,0.1135
0.285,0.0401
0.2763,0.103
0.285,0.0114
0.4729,0.0677
0.3888,0.0385
0.4,0.0478
0.4836,0.0469
0.4891,0.0137
0.4836,0.0659
0.481,0.0642
0.5444,0.002
0.5444,0.0644
0.6309,0.0046
0.6309,0.1893
0.6309,2.0E-4
0.2459,0.0809
0.2506,0.0442
0.2803,0.0542
0.2748,0.0174
0.2803,0.0527
0.4113,0.0439
0.481,0.0725
0.481,0.0097
0.4836,0.0117
0.4891,0.0668
0.5444,7.0E-4
0.162,0.2847
0.2551,0.1799
0.2551,0.0132
0.2812,0.0757
0.2942,0.0454
0.3878,0.1877
0.404,0.0194
0.485,0.1297
0.4905,0.0399
0.4905,0.019
0.6239,0.1454
0.6239,0.0109
0.5568,5.0E-4
0.3418,0.0044
0.3408,0.0326
0.4,0.0345
0.481,0.0304
0.6241,0.1331
