TLOAD10,TLOAD10_RE
0.2454,0.304
0.2958,0.1166
0.082,0.9951
0.0116,0.0116
0.0834,0.6548
0.2988,0.1728
0.4818,0.0395
0.4164,0.1763
0.1339,0.1885
0.3343,0.1033
0.1939,0.1991
0.2985,0.0433
0.1414,0.2782
0.1571,0.5295
0.3448,0.948
0.3003,0.1368
0.2432,0.128
0.3003,0.0485
0.2499,0.2193
0.2499,0.1771
0.4141,0.0524
0.4141,0.0425
0.4899,0.0147
0.5496,0.0691
0.5496,0.0255
0.5496,0.0
0.6448,0.0138
0.654,0.079
0.2432,0.1537
0.3003,0.0249
0.3502,0.0703
0.4112,0.0642
0.4141,0.0242
0.4768,0.0083
0.5496,0.0415
0.8044,0.0216
0.0138,0.0138
0.1475,0.0179
0.2442,0.0873
0.2499,0.0188
0.3448,0.0073
0.4233,0.004
0.4906,0.0905
0.5496,0.0378
0.5496,0.0128
0.6448,0.1037
0.8501,0.0515
0.1475,0.0446
0.1475,0.0096
0.2499,0.0559
0.4872,0.0392
0.4233,0.0579
0.4906,0.6559
0.4906,0.0012
0.4906,0.0821
0.5496,0.0081
0.5496,0.0366
0.5496,0.1037
0.5496,0.1307
0.6471,0.1535
0.794,0.0794
0.2528,0.0903
0.4245,0.0599
0.4245,0.0531
0.4911,0.009
0.5508,0.033
0.6654,0.0585
0.669,0.0193
0.4233,0.038
0.3477,0.0014
0.4906,0.0752
0.5496,0.0453
0.4906,0.0859
0.2886,0.0902
0.3032,0.0387
0.304,0.0288
0.1444,0.2321
0.2455,0.0399
0.2442,0.0796
0.2499,0.2275
0.3532,0.1396
0.4899,0.0026
0.4141,0.0022
0.4141,0.0588
0.4899,0.0779
0.4872,0.01
0.4906,0.036
0.4906,0.0583
0.4872,0.0624
0.5496,0.0094
0.5496,0.046
0.2083,0.0457
0.2432,0.1743
0.2485,0.089
0.2499,0.0391
0.3502,0.075
0.4141,0.0162
0.4233,0.0503
0.3568,0.1298
0.4906,0.0145
0.4906,0.0135
0.4906,0.0611
0.4906,0.0783
0.4906,0.1112
0.5496,0.0252
0.6448,0.0118
0.5496,0.0777
0.5496,0.0518
0.6448,0.0492
0.2499,0.0056
0.3003,0.0725
0.3003,0.1694
0.3003,0.0237
0.4141,0.0601
0.3568,0.099
0.4141,0.0515
0.4906,0.0198
0.4906,0.0576
0.4906,0.0264
0.4872,0.0313
0.4906,0.0137
0.5496,0.0383
0.6448,0.0156
0.6448,0.0403
0.6448,0.043
0.2442,0.0654
0.2442,0.0535
0.3003,0.1069
0.2499,0.0826
0.3003,0.0136
0.4233,0.0262
0.4899,0.3503
0.4872,0.0014
0.4906,0.0326
0.4906,0.0329
0.4906,0.1197
0.1505,0.62
0.2471,493.2
0.2515,0.3543
0.2528,420.3333
0.3032,0.0531
0.3514,0.1104
0.4153,0.0124
0.4911,0.0378
0.4884,0.0216
0.4917,0.0261
0.646,0.0575
0.646,0.0365
0.5508,0.0247
0.3502,0.6288
0.3502,0.0218
0.4141,0.0208
0.4872,0.0148
0.6448,0.0784
0.5496,0.0245
0.794,4.0E-4
0.0977,0.2426
0.3477,0.0723
0.4141,0.0194
0.6492,0.0277
0.5496,0.0038
0.4906,0.0069
0.6448,0.0868
0.6448,0.0127
0.0977,0.3046
0.3502,0.2266
0.3477,0.049
0.3502,0.0345
0.4141,0.0038
0.4141,0.0017
0.4224,0.0056
0.4899,0.0588
0.4872,0.0364
0.5496,0.0133
0.5496,0.0281
0.6448,0.018
0.3532,0.0073
0.4233,0.0117
0.4141,0.0213
0.4899,0.0645
0.4872,0.0377
0.5496,0.0087
0.6803,0.0739
0.1052,0.0939
0.3514,0.0113
0.4917,6.0E-4
0.242,0.1025
0.2449,0.0419
0.2576,0.0417
0.3421,0.0611
0.299,0.0967
0.3436,0.0943
0.299,0.2669
0.5029,0.1306
1.0605,1.1907
0.5475,0.0761
0.4259,0.1026
0.2061,0.0378
0.2981,0.0272
0.2061,0.0283
0.2981,0.015
0.2981,0.1123
0.0976,0.0705
0.1399,0.0175
0.1399,0.0679
0.4223,0.0294
0.5475,0.0395
0.1105,0.7026
0.0979,0.5841
0.1443,0.7311
0.2981,0.1356
0.3378,0.1474
0.3427,0.0307
0.4877,0.1837
0.4238,0.0839
0.3427,0.0676
0.5475,0.0242
0.3427,0.1527
0.3427,0.0121
0.3388,0.5595
0.2054,0.1417
0.1382,0.6572
0.408,0.113
0.4186,0.3443
0.1021,2.262
0.2503,0.0784
0.5112,0.2627
0.4009,0.2469
0.4877,0.8867
0.3995,0.0951
0.2981,0.0061
0.4293,0.8299
0.5479,0.5704
0.9015,0.2259
0.3456,0.1243
0.5491,0.4167
0.2958,0.2714
0.397,0.2974
0.3442,0.0927
0.2981,0.002
0.301,0.2621
0.5475,0.0167
0.5475,0.2148
0.5189,0.2109
0.301,0.0252
0.5475,0.203
0.4218,0.1179
0.4126,0.091
0.56,0.0097
0.2981,0.1253
0.3101,0.2296
0.2037,0.0812
0.5475,0.0508
0.4562,0.093
0.6707,0.0434
0.4218,0.0091
0.6748,0.2649
0.8355,0.2296
0.5475,0.3376
0.3613,0.3661
0.6502,0.1906
0.5479,0.3505
0.4928,0.3369
0.3467,0.2681
0.3426,0.644
0.4138,0.3025
0.8478,0.0263
0.5486,5.0E-4
0.8324,0.9476
0.6744,0.0689
0.0033,0.0033
0.0033,0.0033
0.3453,0.0675
0.3468,0.0126
0.0033,0.0033
0.0881,0.2901
0.3953,0.0821
0.0261,0.0261
0.0033,0.0033
0.4816,0.0947
1.3346,0.0144
1.3578,0.0532
0.0033,0.0033
0.2102,0.0484
0.0881,0.1537
0.0177,0.0177
0.4816,0.008
1.3578,0.3508
0.0249,0.0249
0.2002,0.2899
0.0245,0.0245
0.0909,0.7833
0.0011,0.0011
0.3858,1.5945
0.0033,0.0033
0.0062,0.0062
1.1738,0.4332
0.6802,0.1656
0.081,1.0
0.1298,2.2613
0.0882,0.2709
0.1473,0.4657
0.1404,1.4938
0.3452,0.0058
0.3452,0.0086
0.2006,0.2185
0.1255,0.0361
0.1285,0.1223
0.1908,0.3003
0.3427,0.1558
0.537,0.1214
0.2477,0.1284
0.1929,0.2937
0.2467,0.4757
0.2464,0.2464
0.2223,0.3895
0.303,0.1798
0.4969,0.0842
0.5786,0.0406
0.5196,0.0854
0.2442,0.1327
0.5786,0.0201
0.3511,0.1984
0.2024,0.3976
0.2981,0.0609
0.2005,0.0525
0.2005,0.005
0.2035,0.036
0.5675,0.0857
0.3427,0.0616
0.0033,32.0
0.7739,0.3024
0.0156,1.7368
0.6355,0.0635
1.0117,0.1327
0.0107,0.0107
0.7719,0.2042
0.3481,0.0223
0.3427,0.0636
0.2454,0.051
0.4129,0.197
0.0057,0.0057
0.64,0.1617
0.0012,0.0012
-0.0142,1.5462
0.0115,4.7097
0.4186,0.0856
0.2961,0.0327
0.0042,0.0042
0.3462,0.1114
0.4186,0.0104
0.4186,1.3811
0.4087,0.1142
0.289,0.3091
0.2459,0.4196
0.0042,0.0042
0.294,0.0077
0.4284,0.2335
0.0012,0.0012
0.0064,0.0064
0.0012,0.0012
0.1304,0.4886
0.0012,0.0012
0.1348,0.0507
0.1379,0.0306
0.0012,0.0012
0.1827,2.9891
0.1394,0.0593
0.0042,0.0042
0.0801,2.9851
0.1454,0.0946
0.0127,0.8157
-9.0E-4,9.0E-4
0.3937,0.0404
-9.0E-4,9.0E-4
-0.001,0.001
0.0021,0.0021
0.2957,0.2433
0.294,0.0077
0.0694,1.4014
0.0757,0.0783
0.0693,0.8579
0.3406,0.0122
0.2961,0.0467
0.3431,0.0403
0.2046,0.0846
0.3436,0.0378
0.0794,0.0234
0.2385,0.1315
0.2398,0.0427
0.0794,0.0063
0.1854,0.0588
0.2398,0.0442
0.1281,0.1306
0.2398,0.054
4.9539,0.2365
0.0076,0.6522
0.0823,0.0214
0.4857,0.077
0.4857,0.0031
0.534,0.0323
0.2913,0.0168
0.1883,0.0417
0.0664,0.6275
0.0765,0.4883
0.0664,2.177
0.0664,0.4723
0.0734,0.5887
0.065,2.3163
0.0734,0.3517
0.0664,1.0815
0.1228,0.2621
0.0794,0.0317
0.1247,0.231
0.1285,0.3086
0.1257,0.4317
-9.0E-4,9.0E-4
0.1769,0.0172
-9.0E-4,9.0E-4
0.12,0.1976
0.1799,0.0369
0.1229,0.1173
0.1198,0.7566
0.1855,0.0986
0.1194,1.167
0.1787,0.2034
0.0664,0.6598
0.0716,0.1015
0.1191,0.0682
0.1854,0.101
0.1855,0.2838
0.0716,0.0138
0.1824,0.272
0.2365,0.0071
0.0794,0.1642
0.1887,0.2237
0.1922,0.0154
0.2241,0.1857
0.1281,0.0063
0.1854,0.1617
0.3251,0.0025
0.0794,0.3167
0.3323,0.1895
0.3278,0.0737
0.1231,0.3199
0.1824,0.067
0.0664,0.0408
0.182,0.1432
0.1161,0.1823
0.182,0.2381
0.12,0.31
0.123,0.2065
0.182,0.2406
0.1891,0.0373
0.3278,0.1211
0.1285,0.1832
0.13,0.1629
0.0691,35.3684
0.1769,1.0034
0.1851,0.0481
0.0691,0.1163
0.1886,0.2239
0.1297,0.309
0.1887,0.0595
0.0777,0.3678
0.2425,0.1626
0.3294,0.1025
0.0797,0.3129
0.182,0.0199
0.1851,0.094
0.1783,0.4128
0.1772,0.2195
0.2328,0.5216
0.0716,0.1049
0.2336,0.2091
0.0747,0.2137
0.1228,0.2792
0.1887,0.0213
0.1891,0.0032
0.0797,0.298
0.2871,0.0923
0.1854,0.2621
0.328,0.0974
0.1198,0.7362
0.1922,0.0058
0.1833,0.4688
0.185,0.0428
0.185,0.1562
0.1853,0.0434
0.122,0.163
0.0754,0.0271
0.1952,0.1239
0.1307,0.4331
0.1228,1.1696
0.065,0.6414
0.0794,0.3476
0.3202,0.0326
-9.0E-4,9.0E-4
-9.0E-4,9.0E-4
0.0021,0.0021
0.1304,0.1996
0.1357,0.1598
0.4857,0.1311
0.0042,0.0042
0.1245,0.393
0.0794,0.0128
0.0682,0.9654
0.0682,0.8235
0.1769,0.3673
0.0682,0.9654
0.0745,0.403
0.0823,0.0
0.0069,0.3894
0.0664,1.1282
0.0682,0.0967
0.0069,0.8349
0.0664,0.9821
0.0734,0.1258
0.0069,0.3429
0.065,0.9757
0.0734,0.0531
0.0664,1.5837
0.2913,0.0976
0.1891,0.1114
0.2435,0.2775
0.0702,0.322
0.1285,0.171
0.1891,0.1117
0.3387,0.0922
0.0716,0.2971
0.1891,0.2573
0.4156,0.9847
0.0745,0.2253
0.1312,0.3163
0.1881,0.0107
0.1881,0.0614
0.1878,169.7273
0.0042,0.0042
0.2486,0.0081
0.0374,8.35
0.0898,9.5647
0.1881,0.0264
0.1259,0.1054
0.3441,0.042
0.065,0.9757
0.065,0.831
0.1881,0.3872
0.3441,0.0188
0.1911,0.0324
-9.0E-4,9.0E-4
0.0664,0.1853
0.1228,0.2083
0.1228,0.2098
0.1228,0.1235
0.1358,0.5392
0.1881,0.2771
0.2244,0.0184
0.0807,0.3161
0.0664,1.4058
0.5057,0.1535
0.1228,0.248
0.1327,0.0271
0.2401,0.0547
0.205,0.509
0.0468,0.5753
-9.0E-4,9.0E-4
0.065,1.2569
0.1186,0.5483
0.1281,0.0016
0.2401,0.0808
0.1057,0.0769
-9.0E-4,9.0E-4
0.0716,0.1405
0.1281,0.3071
0.3438,0.0121
0.0021,0.0021
0.3467,0.1069
-9.0E-4,9.0E-4
0.4256,4257.0
0.1327,0.3856
0.2577,0.3492
0.1228,0.0887
0.1228,0.1402
0.1281,0.081
0.1311,0.0069
0.1809,0.2066
0.5093,0.1193
0.4164,0.3811
-0.0016,1.0054
0.2408,0.1968
0.0644,1.6393
0.2312,2311.0
0.4173,0.0627
0.4093,0.0989
0.2312,0.2033
0.2721,0.883
0.2312,7.438
0.288,3.507
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.4314
0.2357,0.4669
0.2357,0.4404
0.2357,0.6187
0.2357,0.6598
5.0E-4,5.0E-4
0.131,0.1382
0.1818,0.091
0.2365,0.0498
0.2365,0.0667
0.4162,0.1574
0.492,0.0435
0.5532,0.0937
0.4941,0.0078
0.5532,0.0418
0.6508,0.0296
0.6508,0.0723
0.6508,0.0231
0.6815,0.049
0.2405,0.1056
0.2247,0.0126
0.2405,0.1919
0.3355,0.0072
0.4839,0.0263
0.4827,0.0033
0.4839,0.0362
0.5451,0.0033
0.5475,0.0096
0.6427,0.0452
0.6427,0.0188
0.664,0.0344
0.7614,0.0037
0.2548,0.4169
0.4173,0.091
0.486,0.0614
0.2357,0.2357
0.2357,0.479
0.2357,4.8078
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.0026
0.2357,0.0887
0.2357,0.2725
0.2357,0.5282
0.2357,0.4906
0.1246,0.0617
0.2322,0.058
0.2352,0.0329
0.2352,0.0618
0.2365,0.1678
0.2405,0.2166
0.3552,0.0633
0.3523,0.1038
0.4254,0.009
0.492,0.4753
0.4162,0.0305
0.5532,0.0843
0.4941,0.0177
0.4907,0.0871
0.6508,0.1196
0.5556,0.0239
0.6508,0.0429
0.2322,0.0627
0.2352,0.0262
0.2365,0.1548
0.2405,0.1426
0.291,0.0017
0.2455,0.2588
0.343,0.1144
0.3443,0.1129
0.4081,0.0072
0.5451,0.0316
0.5475,0.1855
0.5475,0.0202
0.2357,0.2357
0.2357,0.2357
0.2357,0.2357
0.2357,0.2193
0.2357,0.2045
0.2357,0.4278
0.2357,0.3471
0.2357,0.4736
0.2357,0.4753
0.0832,0.3365
0.3462,0.3199
0.4162,0.0244
0.4907,0.0018
0.5532,0.0056
0.6508,0.058
0.3931,0.1177
0.3443,0.0293
0.4173,0.0509
0.486,0.012
0.486,0.0398
0.5451,0.0048
0.5342,0.0209
0.2357,0.6023
0.2221,5.0E-4
0.2392,0.05
0.2221,0.1419
0.2357,83.1786
0.2273,0.2173
0.3415,0.0047
0.2326,0.3331
0.5525,0.1654
0.2334,0.1176
0.1161,0.1305
0.2374,0.1058
0.2326,0.2326
0.1225,0.0959
0.2326,6.3968
0.4223,0.4443
0.2326,4.2864
0.5501,0.0186
0.542,0.0364
0.2951,0.0545
0.2879,0.0567
0.3397,0.1112
0.3349,0.0564
0.2326,257.4444
1.3752,207.3636
0.0386,0.9597
0.2326,0.3139
0.4071,1.5798
0.2326,6.1131
0.2326,0.3297
0.2326,0.6927
0.7705,0.0509
0.4074,0.1138
0.4142,0.0365
0.7507,1.4045
0.2326,0.3118
0.2326,74.0323
0.2326,0.6698
0.2326,0.3864
0.4151,0.4499
0.6477,0.0992
0.2894,0.1693
0.3003,0.1709
0.3423,0.434
0.542,0.0064
0.5444,0.0277
0.668,0.2986
0.2326,0.2326
0.279,0.1524
-0.0047,0.0047
0.2326,0.4349
-0.0047,0.0047
0.4849,0.4283
-0.0047,0.0047
0.1447,0.5576
0.0048,0.0048
-0.002,0.002
0.3885,0.1566
-0.0068,0.0068
0.2326,0.5548
-0.0047,0.0047
-0.0047,0.0047
0.2326,0.2326
0.096,3.6377
0.0638,2.7093
0.7725,0.2842
0.2326,0.2326
0.0025,0.0025
-0.0059,0.0059
0.0565,0.3517
0.2334,0.5
0.2326,18.8803
0.1718,1.6844
0.0655,1.9111
0.0698,0.6424
0.0698,0.9282
0.2326,0.0035
0.2326,0.4114
0.2879,0.6377
0.2326,0.3165
0.1831,0.0333
0.3871,0.0289
0.2369,0.4161
0.427,0.6187
0.5836,0.0392
0.1794,0.153
0.3324,0.0841
0.2326,0.2346
0.2326,0.5439
0.1831,0.1025
0.3339,0.0054
0.0698,0.2878
0.2326,0.2149
