TLOAD23,TLOAD23_RE
0.2823,0.0434
0.272,0.1847
0.0312,0.9259
0.0125,0.0125
0.0312,0.1143
0.36,0.1125
0.4802,0.0533
0.4014,0.1181
0.0298,0.9061
0.3108,1.5207
0.1378,0.393
0.3108,0.0691
0.098,0.4768
0.2171,0.4893
0.3108,1.1376
0.2693,0.0538
0.2095,0.0849
0.2634,0.0512
0.3108,0.016
0.2634,0.0229
0.3723,0.0568
0.3987,0.0767
0.4802,0.0193
0.493,0.1005
0.5739,0.0095
0.493,0.1239
0.649,0.0081
0.6483,0.1389
0.2035,0.016
0.2664,0.0434
0.3465,0.0041
0.3557,0.0684
0.396,0.0015
0.4828,0.0373
0.493,0.0816
0.7778,0.0187
0.0125,0.0125
0.1378,0.0108
0.2095,0.0418
0.2664,0.0509
0.3108,0.06
0.4173,0.03
0.493,0.0629
0.5739,0.0423
0.5739,0.0536
0.649,0.0108
0.7417,0.0513
0.1378,0.0337
0.1378,0.0592
0.2634,0.0333
0.4862,0.0283
0.4173,0.0774
0.5671,0.0423
0.493,0.0203
0.5739,0.0181
0.5739,0.0328
0.493,0.1281
0.5739,0.0158
0.5739,0.0676
0.7433,0.0476
0.7499,7.0E-4
0.2664,0.0404
0.3866,0.0617
0.3817,0.1117
0.4862,0.0255
0.5739,0.0203
0.6483,0.1028
0.582,0.0855
0.4068,0.0988
0.337,0.1056
0.4862,0.1173
0.493,0.0557
0.493,0.0887
0.3018,1.0176
0.3108,0.0194
0.1997,0.3535
0.098,0.3783
0.2095,0.0879
0.2095,0.0879
0.3108,0.114
0.3678,0.0267
0.4802,0.0338
0.396,0.0842
0.396,0.074
0.4802,0.032
0.493,0.0018
0.493,0.029
0.493,0.0189
0.493,0.0257
0.5739,0.1026
0.5776,0.0281
0.2095,0.026
0.2035,0.0258
0.2634,0.1012
0.2664,0.1049
0.3542,0.0463
0.396,0.0249
0.396,0.0791
0.396,0.0225
0.4802,0.0386
0.493,0.0478
0.493,0.1184
0.493,0.0561
0.5669,0.1072
0.5739,0.0127
0.6453,0.0315
0.5891,0.0469
0.5776,0.0082
0.649,0.102
0.2664,0.0286
0.2664,0.0646
0.2664,0.0164
0.2664,0.0122
0.4068,0.0435
0.3882,0.0079
0.3987,0.1585
0.4862,0.0786
0.493,0.0126
0.493,0.0518
0.4173,0.0863
0.493,0.141
0.5776,0.0086
0.5776,0.0464
0.582,0.0727
0.582,0.1094
0.2095,0.1104
0.2095,0.1085
0.2664,0.0633
0.2664,0.0365
0.2664,0.3188
0.4068,0.0691
0.4173,0.1006
0.4862,0.0112
0.493,0.0201
0.493,0.0205
0.5739,0.0329
0.1378,0.0404
0.2095,0.0997
0.2634,0.1467
0.2664,0.0583
0.3108,0.0084
0.3772,0.048
0.4042,0.0122
0.4173,0.0391
0.493,0.0421
0.493,0.0488
0.649,0.0034
0.649,0.0355
0.5776,0.0235
0.3435,0.0023
0.3772,0.0507
0.396,0.0349
0.493,0.022
0.5739,0.0691
0.5776,2.0E-4
0.7647,0.0068
0.1378,0.3976
0.3678,0.0673
0.396,0.0278
0.6385,0.0262
0.4862,0.0094
0.4862,0.0243
0.5739,0.0536
0.5891,0.0409
0.1378,0.4962
0.3462,0.0542
0.3585,0.0113
0.3629,0.0137
0.4802,0.0146
0.3864,0.0325
0.3909,0.0612
0.4068,0.0444
0.4173,0.1204
0.493,0.0691
0.493,0.1162
0.582,0.0892
0.3772,0.1004
0.396,0.0265
0.4802,0.0324
0.4173,0.0057
0.4862,0.0219
0.5739,0.0065
0.5829,0.1043
0.1378,0.3617
0.3679,0.0302
0.493,0.0222
0.098,0.2166
0.098,0.3351
0.0312,7.0
0.1378,0.0495
0.3108,0.1301
0.3465,0.0842
0.3465,2.0691
0.6885,0.1968
1.5858,1.3786
0.649,0.022
0.2648,0.3777
0.2035,0.0097
0.2664,0.0718
0.2035,0.0433
0.3108,0.086
0.2634,0.1733
0.098,0.0103
0.1378,0.0641
0.1378,0.0919
0.3696,0.0332
0.5739,0.014
0.5769,0.3195
0.6445,0.0142
0.4777,0.0459
0.3108,3.0E-4
0.3108,0.0675
0.3108,0.1195
0.3909,0.037
0.3531,0.0821
0.2664,0.0692
0.4894,0.2327
0.2664,0.0011
0.2664,0.1033
0.3672,0.3351
0.3435,0.0124
0.2171,0.2656
0.3178,0.06
0.4869,0.0777
0.2634,0.0512
0.3465,0.2834
0.4683,0.1658
0.3785,0.0221
0.3772,0.1156
0.3078,0.1175
0.2664,0.0404
0.5554,1.1329
0.3635,16.7317
0.7173,0.0083
0.2664,0.0404
0.4333,0.2003
0.321,0.3544
0.3449,0.1934
0.3183,0.5757
0.3137,0.13
0.3888,0.1279
0.5678,0.0562
0.6392,0.0347
0.4152,0.3227
0.3807,0.0238
0.5584,0.0882
0.4873,0.0444
0.6472,0.009
0.6499,0.0461
0.3137,0.0672
0.3527,0.1404
0.3772,0.6999
0.4827,0.2169
0.649,0.5718
0.6499,0.0111
0.649,0.0211
0.3938,0.3481
0.7672,0.4035
0.5678,0.0103
0.3878,0.1682
0.6598,0.1164
0.649,0.6339
0.649,0.063
0.3685,0.0556
0.3475,0.1748
0.5678,0.0094
0.7125,0.0652
0.5776,0.0163
0.7306,1.6317
0.5776,0.1145
0.0125,0.0125
0.0125,0.0125
0.2095,0.0672
0.2035,0.2429
0.0125,0.0125
0.098,0.9561
0.3267,0.02
0.4702,0.098
0.0125,0.0125
0.493,0.0599
1.591,0.0095
1.591,0.0026
0.0125,0.0125
0.3183,0.1044
0.0298,0.3273
0.2095,0.1339
0.493,0.0479
1.591,0.1728
0.2664,0.4216
0.3535,0.2127
0.4824,0.5921
0.291,0.1999
0.0125,0.0125
0.4799,0.2202
0.0125,0.0125
0.0125,0.0125
0.7568,0.2522
0.8046,0.063
0.2429,54.2045
0.2122,6.2177
0.2049,0.1516
0.2035,0.1225
0.2634,0.3878
0.3108,0.0475
0.3108,0.0426
0.0312,0.2941
0.0298,0.3931
0.0298,0.255
0.0312,0.2101
0.3078,0.2
0.5014,0.1572
0.2664,0.087
0.0312,0.2427
0.2035,0.186
0.3238,0.4442
0.2196,0.2879
0.3699,0.8486
0.4862,0.1299
0.5739,3.0E-4
0.493,0.0257
0.1378,0.1201
0.5739,0.0127
0.3465,0.0685
0.2035,0.1972
0.2634,0.0386
0.2035,0.0109
0.2035,0.0068
0.2035,0.0226
0.4211,0.0875
0.2634,0.1004
0.0125,0.0125
0.5904,0.0797
0.0312,5.6383
0.649,0.0882
1.4691,0.6587
0.0259,258.0
0.7466,0.0041
0.3465,0.0049
0.3108,0.0747
0.2035,0.0355
0.3348,0.206
0.0259,0.0259
0.649,0.0681
0.0125,124.0
0.0146,0.4206
0.0994,19.7083
0.3679,0.0362
0.3108,0.1397
0.0125,0.0125
0.3465,0.0337
0.4173,0.0555
0.4068,0.0369
0.3977,0.1263
0.3772,0.0719
0.396,0.0462
0.0125,0.0125
0.2664,0.1618
0.6404,0.0057
0.0125,0.0125
0.0125,0.0125
0.0125,0.0125
0.1452,1.8415
0.0125,0.0125
0.1378,0.5803
0.1378,0.0192
0.0125,0.0125
0.0298,18.8667
0.098,0.0219
0.0125,0.0125
0.0312,19.8
0.1378,0.1322
0.1054,4.4611
0.0125,0.0125
0.3697,0.1894
0.0125,0.0125
0.0259,0.0259
0.0125,0.0125
0.2634,0.1606
0.2664,0.1662
0.0312,0.3376
0.0312,0.2811
0.0312,0.5385
0.3465,0.0629
0.2664,0.0155
0.2634,0.0237
0.2095,0.1047
0.2664,0.1048
0.098,0.2174
0.2095,0.0372
0.2095,0.0416
0.098,0.098
0.2035,0.2872
0.2095,0.0224
0.098,0.5482
0.2095,0.0626
3.9759,0.3216
0.0312,6.4286
0.098,0.1435
0.493,0.0171
0.4802,0.0182
0.493,0.0352
0.2664,0.0404
0.1378,0.1115
0.0312,0.3805
0.0312,0.25
0.0312,1.7368
0.0312,0.4928
0.0312,0.1111
0.0312,0.2235
0.0312,0.1917
0.0312,0.4247
0.0994,0.5483
0.0312,0.5193
0.1378,0.2323
0.2035,0.1675
0.0994,0.3131
0.0125,0.0125
0.0312,1.0526
0.0125,0.0125
0.0312,1.9714
0.0312,0.6421
0.0312,1.3111
0.0312,23.0
0.0312,2.8519
0.0994,3.9208
0.0312,0.5072
0.0312,0.1103
0.0312,0.243
0.0312,0.2941
0.0312,0.1917
0.0312,0.0065
0.0312,0.025
0.0312,0.1513
0.0312,0.1211
0.0312,0.5556
0.0994,0.8933
0.0994,0.6762
0.1136,0.6369
0.2648,0.0462
0.0994,0.4099
0.1012,0.5474
0.0994,0.7408
0.098,0.1136
0.1096,0.0949
0.1378,0.1006
0.0312,2.9
0.0312,1.496
0.0312,0.7238
0.0312,0.1875
0.0312,0.1513
0.0312,0.0824
0.0312,0.1261
0.0312,0.2693
0.0994,0.3131
0.1096,0.0453
0.098,0.0526
0.098,0.3536
0.0287,21.0769
0.0312,7.0
0.0312,0.5294
0.0312,1.4762
0.0312,0.0065
0.0994,0.5753
0.0312,0.5738
0.0312,0.1635
0.098,1.481
0.098,0.0652
0.098,0.1522
0.0312,0.95
0.0312,0.6596
0.0312,0.0648
0.0312,0.1345
0.0312,0.0065
0.0312,0.0065
0.0312,0.2239
0.0312,0.3432
0.0994,0.6706
0.0994,0.4302
0.0994,0.4814
0.098,0.3365
0.0994,0.5152
0.098,0.0294
0.104,0.1772
0.1378,6.0306
0.2035,0.713
0.0312,4.2
0.0312,0.0459
0.0312,0.9141
0.0312,0.2973
0.0312,0.393
0.0312,0.8909
0.098,0.4397
0.1378,0.1494
0.0312,0.4378
0.0312,0.2946
0.0312,0.4146
0.7212,0.0641
0.0125,0.0125
0.0125,0.0125
0.0125,0.0125
0.0994,0.289
0.0994,0.34
0.493,0.1284
0.0125,0.0125
0.0312,0.8035
0.098,0.5806
0.0312,0.1086
0.0312,0.1452
0.0312,1.1972
0.0312,0.1261
0.0312,0.3232
0.098,0.5313
0.0276,2.7297
0.0276,1.9362
0.032,0.1557
0.0276,3.1194
0.0276,2.0
0.032,0.1645
0.0276,3.0
0.0276,1.5794
0.032,0.1421
0.0276,2.033
0.2689,0.1447
0.1374,0.3061
0.1374,0.0473
0.032,0.1512
0.032,0.4913
0.094,0.4921
0.3431,0.0454
0.032,0.1268
0.094,0.311
0.1412,0.4617
0.032,0.0127
0.1374,0.1072
0.1374,0.1402
0.1374,0.2016
0.1124,85.4615
0.009,0.009
0.266,0.0247
0.7986,0.5294
1.4187,0.1497
0.0976,0.2963
0.1374,0.2202
0.3431,0.0175
0.0276,0.7143
0.032,0.6667
0.1374,0.1492
0.3431,0.073
0.0976,0.3823
0.0064,0.0064
0.0294,0.8968
0.0925,0.1966
0.0925,0.0882
0.0962,0.0113
0.136,0.0287
0.136,0.0634
0.157,51.3333
0.7095,0.6443
0.025,0.6892
0.0925,28.8387
0.0925,0.7996
0.0925,0.4943
0.2017,0.6921
0.157,49.6452
0.1602,12.6923
0.0064,0.0064
0.025,0.3228
0.0306,0.4299
0.0925,0.4058
0.2017,0.5983
0.4152,27.2449
0.0064,0.0064
0.025,0.6556
0.0306,0.4874
0.2017,0.1224
0.0064,0.0064
0.2017,0.1044
0.0064,0.0064
0.3086,0.2479
0.0962,0.0785
0.0962,0.0933
0.0925,0.0681
0.0925,0.0395
0.0925,0.0718
0.1324,0.298
0.0306,0.3124
0.1716,0.4504
0.1716,0.459
0.0143,0.0143
0.3451,0.3662
0.0268,1.68
0.2598,0.0642
0.4132,0.0816
0.4132,0.1177
0.2598,0.0642
0.1969,0.8097
0.2598,0.0642
0.3421,1.993
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.0143,0.0143
0.1312,0.0927
0.1969,0.0144
0.2568,0.1641
0.2568,0.075
0.3728,0.0254
0.476,0.0482
0.476,0.0186
0.4913,0.0755
0.4913,0.1041
0.6474,0.0493
0.576,0.0408
0.5875,0.1029
0.5884,0.0426
0.2568,0.1801
0.2029,0.2002
0.2598,0.1331
0.3071,0.0364
0.3958,0.0797
0.4795,0.0501
0.476,0.028
0.5722,0.033
0.576,0.0302
0.5804,0.078
0.6474,0.0086
0.6474,0.1222
0.7408,0.0829
0.3809,0.1073
0.3919,0.0285
0.4913,0.0545
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.095,0.2996
0.2029,0.1482
0.2568,0.0656
0.2568,0.1313
0.2598,0.0979
0.3399,0.2019
0.3637,0.046
0.3595,0.0549
0.4051,0.0634
0.4132,0.0141
0.4027,0.0953
0.4913,0.0597
0.4913,0.1358
0.5722,0.0262
0.5875,0.0185
0.4951,0.1594
0.6474,0.0857
0.2029,0.0869
0.2568,0.0895
0.2598,0.1488
0.2598,0.0784
0.3042,0.0312
0.3042,0.1385
0.3587,0.0558
0.3638,0.0602
0.3841,0.0432
0.4913,0.1049
0.6474,0.0653
0.576,0.0224
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.2598,0.0642
0.1334,0.2669
0.3399,0.0592
0.3823,0.037
0.4913,0.025
0.4913,0.0585
0.5875,0.0492
0.3042,0.1622
0.3544,0.0264
0.3854,0.1937
0.4132,0.1004
0.4913,0.0293
0.4913,0.0231
0.4887,0.1369
