TLOAD16,TLOAD16_RE
0.2015,0.1239
0.236,0.0536
9.0E-4,9.0E-4
0.2895,0.0334
-0.0096,0.0096
0.0361,17.05
0.1882,0.0847
0.3851,0.0577
0.2514,0.0316
0.2895,0.0334
0.243,0.0519
0.24,0.4256
0.2838,0.1842
0.2895,0.0334
0.335,0.0619
0.335,0.0689
0.1193,1.0967
0.0499,0.632
0.423,0.101
0.3965,0.0719
0.391,0.0114
0.0717,0.4114
0.1029,0.1258
0.0945,0.09
0.1818,0.1744
0.1818,0.0851
0.1068,0.4778
0.1818,0.0436
0.2706,0.51
0.054,0.0526
0.0456,0.1259
0.0456,0.0435
0.0584,0.1564
0.3366,0.0578
0.2895,0.0334
0.057,1.1111
0.0532,2.8
0.056,1.9167
0.2195,0.2222
0.3215,0.132
0.1029,0.2473
0.1913,0.4659
0.2445,0.0738
0.2445,0.0462
0.2474,0.04
0.2895,0.0334
0.1897,0.1218
0.0584,0.2218
0.1029,1.0704
0.054,1.8272
0.1029,0.0924
0.1029,0.0394
0.1066,0.0703
0.2895,0.0334
0.0499,0.1499
0.0482,19.9565
0.0482,24.3684
0.0482,1.9753
0.2895,0.0334
-0.0011,0.0011
-0.0011,0.0011
0.2514,0.0563
0.2397,0.0637
0.1882,0.0016
0.1882,0.0657
0.1736,0.0236
0.2963,0.0444
0.2534,0.2298
0.2895,0.0334
0.1201,0.3026
0.1913,0.1187
0.2364,0.389
0.0499,0.0708
0.3307,0.0108
0.2895,0.0334
0.2895,0.0208
0.1212,0.227
0.1704,0.0744
0.1867,0.2735
0.2895,0.0334
0.1913,0.0103
0.2895,0.0334
0.1853,0.0622
0.1865,0.17
0.1913,0.0886
0.1897,0.0845
0.1157,0.5806
0.2895,0.0334
0.097,0.1425
7.0E-4,7.0E-4
0.4825,0.0292
0.4046,0.1634
0.1944,0.5183
0.3824,0.0799
0.39,0.0569
0.1092,0.0513
0.097,0.0695
0.1921,0.3624
0.1704,0.2465
0.2895,0.0334
0.3208,0.1057
0.2895,0.0334
0.1736,0.5196
0.3075,0.1669
0.1193,0.1374
0.1193,0.1557
0.1117,0.1894
0.1029,0.7958
0.1055,0.0293
0.1764,0.1523
0.3899,0.1016
0.3451,0.0844
0.2895,0.0334
0.3302,0.1585
0.3361,0.047
0.3344,0.0024
0.1678,0.1902
0.195,0.0211
0.195,0.0858
0.2895,0.0334
0.1553,0.5575
0.2118,1.4068
0.1641,0.1969
0.1678,0.558
0.2895,0.0334
0.7179,0.1852
0.6264,0.0076
0.6264,0.022
0.6304,0.0284
0.1201,0.0434
0.1989,0.1085
0.1736,0.0709
0.5445,0.0628
0.2965,0.0101
0.3947,0.084
0.2484,0.3805
0.1678,0.0455
0.2895,0.0334
0.1593,0.0331
0.0559,15.9394
0.0559,0.3345
0.6968,0.1206
0.6891,0.0909
0.6264,0.067
0.631,0.0338
0.2965,0.0101
0.3082,0.0335
0.3066,0.4783
0.302,0.0279
0.5626,0.0498
0.5626,0.0398
0.6165,0.0182
0.0982,0.1177
0.1029,0.4658
0.0945,0.875
0.2895,0.0334
0.1055,0.1052
0.1029,0.0068
0.0945,0.129
0.1029,0.1882
0.0945,0.1638
-0.0011,0.0011
0.2895,0.0334
0.2965,0.0101
0.7756,0.0149
0.7211,0.0197
0.7751,0.0371
0.7751,0.0592
0.4205,0.2393
0.5477,0.0359
0.5373,0.0451
0.5351,0.2054
0.3965,0.032
0.3965,0.052
0.3999,0.0145
0.4253,0.0466
0.1747,0.4066
0.1146,0.0345
0.163,0.3416
0.2895,0.0334
0.6193,0.1031
0.6264,0.0903
0.6153,0.0645
0.4825,0.0164
0.4865,0.0413
0.2965,0.0101
0.3965,0.3238
0.2965,0.0101
0.1135,0.1149
0.5445,0.1197
0.1699,0.1403
0.1928,0.3098
0.1582,0.0903
0.3389,0.1453
0.3056,0.0965
0.2536,0.1464
0.2895,0.0334
0.0642,0.7605
0.2544,0.6371
0.1801,0.3108
0.4865,0.0146
0.4825,0.0117
0.4825,0.0103
0.4865,0.0351
0.4825,0.0213
0.2965,0.0101
0.309,0.1007
0.302,7.0E-4
0.2561,0.0266
0.3352,0.1207
0.2466,0.016
0.2466,0.0924
0.3472,0.0014
0.2965,0.0101
0.3987,0.0527
0.2079,0.0921
0.243,0.1137
0.4825,0.0394
0.4853,0.0387
0.4865,0.0622
0.4825,0.6109
0.4825,0.0117
0.3534,0.25
0.2994,0.0243
0.2895,0.0058
0.1959,0.0782
0.1959,0.0015
0.1959,0.0051
0.1842,0.0612
0.2955,0.0134
0.2895,0.0334
0.2895,0.0334
0.4825,0.0117
0.4825,0.0419
0.4865,0.018
0.4865,0.018
0.3104,1.809
0.158,0.5328
0.3618,0.2864
0.4833,0.134
0.0596,0.6517
1.3379,0.0929
1.3164,0.1517
0.4775,0.1154
0.432,0.1662
0.2895,0.0334
0.413,0.2059
0.3999,0.0329
0.4021,0.1106
0.5375,0.0543
0.4825,0.0325
0.2965,0.0101
0.2895,0.0334
0.1692,0.3167
0.1692,0.2779
0.1569,0.2452
0.1569,0.1941
0.2965,0.0101
0.3965,0.0146
0.3965,0.0448
0.3965,0.0374
0.3947,0.002
0.3947,0.0401
0.2895,0.0334
7.0E-4,7.0E-4
7.0E-4,7.0E-4
0.2895,0.0334
-0.0096,0.0096
0.0028,0.0028
0.0028,0.0028
0.0028,0.0028
0.2895,0.0334
0.2895,0.0334
0.3014,0.1761
0.2957,0.2626
0.1858,5.8815
0.1825,0.1063
0.2117,3.7573
0.3375,0.0613
0.3472,0.1107
0.3893,0.0291
0.0096,0.0096
0.0068,0.0068
4.0E-4,4.0E-4
-0.0055,0.0055
0.1993,0.0112
0.1913,0.021
0.1828,0.0786
0.3321,0.0796
0.3304,0.2067
