TLOAD4,TLOAD4_RE
0.2069,0.0646
0.2062,0.055
0.0089,0.0089
0.2079,0.2079
0.0092,0.0092
1.3703,0.1763
0.0214,0.2569
0.0941,0.331
0.0886,0.2585
0.1463,1.21
0.0943,0.2936
0.0933,0.3367
0.0229,0.6183
0.1463,1.8743
0.1123,0.1961
0.1123,0.1355
0.0886,3.567
0.0207,2.1846
0.4067,0.013
0.4103,0.0652
0.4075,0.002
0.0251,0.6053
0.0244,0.4218
0.0207,0.5605
0.0232,0.0128
0.0136,0.4021
0.031,0.3922
0.031,0.3886
0.0232,0.0973
0.0092,0.5054
0.0095,0.5297
0.0159,0.3589
0.0166,0.2019
0.303,0.0796
0.1639,0.1639
0.2392,0.6216
0.4466,0.3692
0.4833,0.1617
0.1955,0.4146
0.1257,0.139
0.0244,0.2538
0.0244,0.1439
0.0214,0.2544
0.0244,0.1029
0.0244,0.1286
0.1463,5.173
0.0217,0.3822
0.0244,0.4517
0.0244,0.3791
0.0166,0.2029
0.0244,0.4554
0.0244,0.4092
0.0244,0.5061
0.1463,1.8574
0.0207,0.5152
0.0092,4.4118
0.0092,4.4118
0.0092,3.6
0.1463,76.0
0.0062,0.0062
0.0062,0.0062
0.0214,0.1769
0.0207,0.2333
0.1954,0.2107
0.0975,0.3239
0.1947,0.2701
0.1954,0.3598
0.1954,0.4506
0.1463,0.2247
0.0214,0.0863
0.0214,0.0273
0.0978,0.5451
0.0268,0.3839
0.2473,0.0748
0.1639,0.3335
0.2476,0.029
0.0962,0.2445
0.0962,0.1521
0.0962,0.1291
0.1463,5.0705
0.0214,0.1705
0.1463,4.8992
0.0217,0.1842
0.0207,0.2762
0.0214,0.8136
0.0207,0.4178
0.0214,0.0047
0.1463,5.9667
0.0217,0.358
0.0062,0.0062
0.5597,0.0176
0.2398,0.9528
0.4636,0.0121
0.4636,3.0489
0.2769,0.415
0.0886,0.1359
0.0943,0.2953
0.2522,0.2759
0.2522,0.0547
0.2254,0.0255
0.0215,3.3
0.1463,39.6389
0.0217,5.3824
0.0207,4.75
0.0244,0.1191
0.0214,0.233
0.0217,0.1993
0.0229,0.6536
0.0244,0.7356
0.1086,0.3144
0.342,0.085
0.342,0.0582
0.1994,0.4044
0.0934,0.4755
0.0245,0.4543
0.0245,0.3936
0.0993,0.223
0.0993,0.2747
0.1264,0.0867
0.1463,0.1648
0.1674,3.65
0.4136,0.1651
0.0244,0.4049
0.0229,0.3893
0.1463,1.5094
0.6184,0.3104
0.652,0.0574
0.652,0.017
0.6506,0.036
0.1264,0.1354
0.1093,0.1656
0.1086,0.1754
0.558,0.0147
0.2254,0.4961
0.3489,0.0694
0.2147,0.215
0.0993,0.2997
0.1463,1.0752
0.0996,0.3079
0.0092,1.875
0.0092,1.7879
0.6847,0.0108
0.6518,0.0464
