TLOAD13,TLOAD13_RE
0.2878,0.0638
0.2902,0.0364
0.0791,3.419
0.0099,0.0099
0.0776,3.85
0.2985,0.165
0.467,0.0128
0.4561,0.302
0.1299,0.4415
0.2962,0.2331
0.2434,0.0322
0.2815,0.0323
0.1375,0.2495
0.1044,0.6697
0.3636,1.3383
0.2781,0.1878
0.2069,0.0961
0.2815,0.0276
0.2871,0.0682
0.264,0.0315
0.455,0.052
0.455,0.0656
0.4664,0.0564
0.5491,4.0E-4
0.5491,0.029
0.5491,0.0118
0.6307,0.0124
0.6333,0.1104
0.2419,0.0931
0.2887,0.0099
0.3693,0.0281
0.3831,0.0536
0.4556,0.1291
0.4525,0.1428
0.5496,0.0099
0.649,0.1708
0.0114,0.0114
0.144,0.045
0.2494,0.0967
0.2613,0.0308
0.3072,0.0495
0.455,0.0599
0.5491,0.0114
0.5552,0.0161
0.5491,0.0217
0.6307,0.0173
0.739,0.0511
0.1425,0.0206
0.1425,0.0114
0.2626,0.0367
0.4669,0.0222
0.4554,0.0383
0.5496,0.864
0.4669,0.0239
0.5496,0.0129
0.5496,0.0096
0.5496,0.0043
0.6312,0.0035
0.5496,0.212
0.7012,0.0165
0.7211,0.0288
0.2737,0.0604
0.4562,0.11
0.4522,0.0327
0.4677,0.0085
0.5503,0.0962
0.6736,0.0797
0.6463,0.0012
0.4665,0.0958
0.3672,0.0192
0.4665,0.1087
0.5491,0.0308
0.4664,0.1269
-2.636,9.4786
0.3083,0.0016
0.2176,0.9782
0.0791,0.2474
0.2523,0.0352
0.2523,0.2188
0.2902,0.0909
0.3826,0.0275
0.4665,0.0759
0.455,0.0867
0.3826,0.0389
0.4665,0.0128
0.4664,0.0503
0.5491,0.0598
0.4664,0.0511
0.4664,0.0243
0.5491,7.0E-4
0.5552,0.01
0.2479,0.1976
0.2054,0.0153
0.2479,0.0792
0.2794,0.1017
0.3774,0.0434
0.3831,0.0672
0.4556,9.0E-4
0.3831,0.0769
0.4669,0.0508
0.4669,0.1045
0.5496,0.0079
0.5496,0.0732
0.3964,0.2549
0.5496,0.0583
0.6312,0.0537
0.6312,0.0085
0.5496,0.0738
0.6312,0.0762
0.2691,0.0504
0.2873,0.0202
0.2924,0.038
0.2911,0.0386
0.3848,0.1574
0.3826,0.0698
0.3826,0.0409
0.4664,0.1055
0.4664,0.0755
0.5491,0.0623
0.4664,0.0393
0.5491,0.0044
0.5552,0.0379
0.6307,0.0344
0.6307,0.0011
0.6307,0.0331
0.2479,0.0769
0.2508,0.0642
0.2868,0.0868
0.2858,0.0389
0.2823,0.0425
0.4556,0.2002
0.467,0.0291
0.4669,0.0327
0.4669,0.059
0.5496,0.0684
0.5496,0.0241
0.1516,0.4383
0.2571,0.1623
0.2571,0.0409
0.288,0.1043
0.2929,0.0731
0.3764,0.0195
0.3837,0.0362
0.4675,0.0172
0.4675,0.0477
0.4675,0.1027
0.6319,0.0153
0.6319,0.0499
0.6319,0.1206
0.3643,0.025
0.3712,0.0234
0.3826,0.059
0.4664,0.0433
0.5491,0.1069
0.5491,0.0382
0.7359,0.0677
0.0817,0.4311
0.3655,0.0446
0.3831,0.0804
0.6643,0.0198
0.5496,0.0298
0.4669,0.0902
0.5557,0.0504
0.6312,0.0348
0.134,0.019
0.3688,0.0176
0.3688,0.0501
0.3712,0.0232
0.455,0.0158
0.3826,0.0686
0.4473,0.0422
0.4664,0.0284
0.4664,0.003
0.5491,0.0271
0.5491,0.0064
0.6307,0.1291
0.3798,0.0612
0.3831,0.0846
0.467,0.0716
0.467,0.0252
0.4669,0.0712
0.5496,0.0506
0.5696,0.111
0.1417,0.4386
0.3724,0.0117
0.5503,0.1174
0.1931,0.0891
0.2023,0.0083
0.2681,0.0056
0.2722,0.0767
0.3092,0.008
0.3092,0.0496
0.3076,1.804
0.8242,0.3589
1.0215,0.4119
0.6305,0.0345
0.3691,0.1642
0.1986,0.0529
0.2875,0.0014
0.1971,0.0583
0.2879,0.0151
0.2864,0.046
0.1281,6.4912
0.1246,0.0825
0.1231,0.066
0.4452,0.0707
0.543,0.0329
0.0881,1.6065
0.1106,1.3187
0.0963,0.8031
0.2993,0.0903
0.2925,0.1208
0.3601,0.1087
0.4422,0.0402
0.3674,0.1492
0.304,0.0093
0.5435,0.2213
0.3092,0.0184
0.3025,0.093
0.3027,0.5882
0.1965,0.1391
0.1364,0.6313
0.3677,0.106
0.543,0.1283
0.1723,0.4156
0.1485,0.3807
0.4711,0.3859
0.3578,0.2181
0.5275,0.903
0.3582,0.3154
0.2879,0.0066
0.3848,2.2889
0.4072,0.0311
0.6514,0.1342
0.2943,0.0018
0.4469,0.0744
0.272,0.0993
0.3531,0.0781
0.3579,0.3256
0.3556,0.0634
0.3065,0.4316
0.543,0.066
0.6256,0.0815
0.6471,0.0258
0.3042,0.0772
0.4313,0.1044
0.4313,0.0788
0.3903,0.05
0.6221,0.0186
0.2873,0.1267
0.3719,0.0534
0.2204,0.2696
0.543,0.0649
0.6476,0.0722
0.6215,0.0927
0.4715,0.2111
0.5803,0.2668
0.9517,0.1728
0.5435,0.345
0.3903,0.3004
0.5019,0.2027
0.5999,0.1093
0.5152,0.314
0.3726,0.4314
0.2231,0.1584
0.3927,0.3193
0.7187,0.0396
0.546,0.1351
0.6639,0.5308
0.6519,0.0032
0.0019,0.0019
4.0E-4,4.0E-4
0.3514,0.0338
0.3597,0.0042
0.0019,0.0019
0.1204,0.1685
