TLOAD13,TLOAD13_RE
0.2383,0.0591
0.2321,0.0339
0.1059,0.1059
0.2546,0.2546
0.0899,0.0899
0.3458,75.8444
0.1805,0.0464
0.2818,0.2089
0.2338,0.027
0.2438,0.1158
0.2263,0.1405
0.2297,0.1653
0.2703,0.2364
0.2438,0.259
0.2811,0.1113
0.2892,0.1071
0.1666,1.8479
0.1153,1.8399
0.3713,0.0904
0.3725,0.1451
0.3478,0.1272
0.1442,0.1127
0.1364,0.8309
0.1408,0.5697
0.2015,0.1882
0.1876,0.3863
0.1319,0.5004
0.1972,0.1958
0.2062,0.0418
0.1137,2.7157
0.1005,3.004
0.1105,2.1662
0.1205,2.138
0.3074,0.0445
0.2457,0.2457
0.1621,0.01
0.2295,2.5471
0.2456,1.1696
0.2601,0.1588
0.2596,0.2342
0.1384,0.4462
0.1879,0.1218
0.2186,0.0263
0.2232,0.0441
0.2279,0.0113
0.2438,0.5049
0.1882,0.1542
0.1225,1.6401
0.1208,1.5432
0.1043,4.7944
0.1321,0.5935
0.1397,0.7728
0.1453,0.6418
0.2342,2.8393
0.1118,1.1015
0.0842,35.6087
0.087,36.8261
0.0826,4.195
0.2342,77.0667
0.0769,0.0769
0.0856,0.0856
0.2189,0.0879
0.2191,0.1605
0.2013,0.1438
0.2025,0.2162
0.1959,0.1162
0.2474,0.0971
0.2445,0.0639
0.2372,0.0096
0.1823,0.1671
0.1963,0.0185
0.223,0.3064
0.1172,1.1117
0.2868,0.0975
0.2457,0.1085
0.2657,0.0813
0.1759,0.2793
0.1796,0.3109
0.1948,0.4106
0.2438,0.4547
0.202,0.0399
0.2438,0.1687
0.1866,0.228
0.2082,0.2476
0.1995,0.0401
0.1907,0.055
0.1517,0.204
0.2438,1.7486
0.129,0.5194
0.0964,0.0964
0.4318,0.1883
0.268,0.4589
0.2967,0.3903
0.3465,0.1966
0.3536,0.2313
0.1483,0.5627
0.1305,0.5245
0.2318,0.612
0.2351,0.2946
0.2545,1.4566
0.2285,0.9732
0.2438,1.03
0.1478,0.0574
0.2195,0.4178
0.1744,0.0219
0.1792,0.0808
0.1573,0.009
0.1457,1.5251
0.1619,0.5288
0.2096,0.1293
0.3646,0.2069
0.3492,0.169
0.2503,0.4344
0.2816,0.3047
0.2967,0.1694
0.2725,0.2127
0.1832,0.0105
0.2121,0.1803
0.2052,0.0577
0.2405,0.8028
0.1736,0.5807
0.3031,4.4125
0.1505,0.4292
0.1688,0.4221
0.234,0.9915
0.6431,0.1003
0.5046,0.197
0.509,0.2034
0.507,0.1784
0.1608,0.6391
0.2314,0.0576
0.1992,0.2146
0.478,0.1627
0.2597,0.4353
0.345,0.0462
0.2485,0.4468
0.1957,0.2231
0.2454,2.3433
0.1813,0.1765
0.0902,0.3078
0.1003,34.8214
0.5564,0.2628
0.5473,0.2515
0.5274,0.1535
0.5512,0.1461
0.2599,0.5784
0.3168,0.0557
0.279,0.2607
0.291,0.1846
0.4859,0.2367
0.4874,0.2059
0.4951,0.1957
0.15,1.5773
0.1298,1.2892
0.116,1.6009
0.2438,3.9054
0.1441,0.3244
0.1556,0.5513
0.1408,0.5802
0.1422,0.8092
0.1393,0.7588
0.0932,0.0932
0.2454,0.1677
0.2599,0.4837
0.6047,0.2274
0.5715,0.1985
0.5932,0.2386
0.6024,0.1872
0.1824,0.6643
0.4655,0.1368
0.4607,0.1956
0.4384,0.3235
0.3617,0.1318
0.3771,0.0737
0.3681,0.1046
0.3826,0.1092
0.1822,0.4753
0.1729,0.4149
0.1799,0.4602
0.251,0.5474
0.5281,0.184
0.4445,0.31
0.4856,0.2197
0.4139,0.1295
0.3969,0.1446
0.2597,0.4301
0.3714,0.2596
0.2608,0.2029
0.156,0.5663
0.449,0.1189
0.1944,0.3425
0.2115,0.2687
0.1888,0.2923
0.3012,0.0389
0.2964,0.0165
0.2788,0.0517
0.2497,0.2497
0.111,0.1986
0.2673,0.0026
0.2013,0.2296
0.3986,0.167
0.4197,0.1454
0.4169,0.1156
0.409,0.1756
0.4322,0.1207
0.2597,1.0147
0.3182,0.2197
0.2929,0.0266
0.279,0.1109
0.305,0.0339
0.2586,0.0149
0.2743,0.0273
0.3562,0.0885
0.2597,0.3953
0.3964,0.1394
0.2561,0.0958
0.2532,0.0661
0.4097,0.1151
0.4169,0.0745
0.4008,0.1243
0.4512,0.5303
0.4291,0.1255
0.3742,0.1927
0.2888,0.0106
0.2854,0.0259
0.234,0.2836
