TLOAD20,TLOAD20_RE
0.2162,0.0014
0.2189,0.0027
0.0116,0.0116
0.3249,0.1007
0.006,0.006
1.3319,0.2005
0.1484,0.1677
0.3086,0.0026
0.2056,0.068
0.3251,0.1013
0.2075,0.0786
0.2088,0.3868
0.1566,0.16
0.3251,0.1013
0.3434,0.0566
0.3441,0.079
0.1382,0.0573
0.133,0.1145
0.4222,0.0223
0.419,0.0059
0.4232,0.0128
0.2053,6.8659
0.0825,0.2634
0.085,0.1757
0.026,0.0833
0.0016,0.9325
0.0316,0.4202
0.0467,0.1474
0.0406,0.6571
0.0377,0.1254
0.0288,0.0495
0.0412,0.3779
0.0439,0.3384
0.3371,0.0398
0.2958,0.0021
0.1669,10.5103
0.1181,5.0564
0.1107,7.2
0.3062,0.0636
0.3469,0.1355
0.0733,0.1106
0.1729,0.0679
0.1931,0.1282
0.1893,0.1605
0.2056,0.1726
0.3251,0.1013
0.1752,0.3492
0.0623,0.3543
0.057,0.2473
0.0402,2.2419
0.0762,0.4137
0.0757,0.3327
0.089,0.4263
0.3249,0.1007
0.0661,0.2173
0.0171,5.84
0.0138,6.2632
0.0186,6.44
0.3249,0.1007
0.0109,0.0109
0.0116,0.0116
0.2165,0.134
0.2194,0.1721
0.1888,0.1339
0.1767,0.0968
0.1809,0.0944
0.2377,0.1239
0.2329,0.0553
0.3249,0.1007
0.1659,0.1828
0.1779,0.1764
0.1841,0.3873
0.0258,0.4083
0.2947,0.0071
0.2958,0.0021
0.2679,0.0129
0.1457,0.1368
0.1631,0.1019
0.1733,0.1035
0.3251,0.1013
0.2076,0.0978
0.3251,0.1013
0.2131,0.1974
0.2331,0.1775
0.1703,0.1761
0.1826,0.108
0.1149,0.1665
0.3251,0.1013
0.0906,0.1779
-0.0149,0.0149
0.5756,0.0779
0.3837,0.1526
0.4514,0.3276
0.3608,0.1984
0.4411,0.3518
0.1165,0.2302
0.1009,0.1039
0.1838,0.2461
0.1863,0.3749
0.2956,0.0014
0.21,0.3858
0.3251,0.1013
0.1257,0.4353
0.2251,0.3721
0.1537,0.202
0.1673,0.1416
0.1497,0.2644
0.105,0.9924
0.1373,0.3014
0.1613,0.1186
0.3919,0.1034
0.398,0.0391
0.2957,0.0017
0.3562,0.1882
0.3815,0.0103
0.31,0.2459
0.1727,0.0213
0.1816,0.0777
0.1919,0.0922
0.3249,0.1007
0.0702,0.8191
0.3299,4.2365
0.1579,0.1459
0.1567,0.0867
0.3249,0.1007
0.799,0.3073
0.6565,0.0207
0.6641,0.0457
0.6623,0.0327
0.2101,0.1223
0.161,0.0195
0.1345,0.1134
0.5999,0.0491
0.2955,0.0011
0.3789,0.0161
0.2288,0.331
0.1768,0.0954
0.3251,0.1013
0.1759,0.2023
0.1043,0.6022
0.0839,0.2541
0.7676,0.1257
0.7585,0.0862
0.6793,0.0368
0.7119,0.1084
0.2955,0.0011
0.2994,0.054
0.2872,0.1401
0.294,0.0957
0.6265,0.0995
0.6504,0.1191
0.6473,0.0857
0.0582,0.1872
0.0644,0.4154
0.0551,0.1527
0.3251,0.1013
0.102,0.2071
0.0943,0.1042
0.0921,0.0011
0.0988,0.2304
0.0926,0.1546
