TLOAD5,TLOAD5_RE
0.3025,0.2102
0.2974,0.139
0.12,14.0
0.1004,0.1004
0.1151,10.866
0.3031,0.2076
0.3966,0.135
0.378,0.0666
0.1574,0.2562
0.3053,0.0068
0.2162,0.4365
0.2728,0.0306
0.1656,0.0996
0.228,0.5426
0.2892,0.0811
0.2978,0.0133
0.239,0.0409
0.2702,0.0838
0.2926,0.1319
0.2671,0.0249
0.3504,0.1617
0.3731,0.1165
0.4047,0.1916
0.4428,0.1571
0.4581,0.1779
0.4487,0.1328
0.5288,0.2232
0.5464,0.2062
0.2387,0.1498
0.2878,0.0017
0.3169,0.0616
0.3335,0.0474
0.3586,0.1187
0.4113,0.1095
0.4381,0.1269
0.6054,0.2098
0.1079,0.1079
0.1979,0.3762
0.2511,0.1321
0.271,0.0653
0.3034,0.0859
0.383,0.1181
0.447,0.1361
0.4686,0.1879
0.4675,0.2051
0.5122,0.1635
0.6091,0.2321
0.1887,0.3508
0.1891,0.3326
0.2644,0.0467
0.4036,0.1378
0.385,0.0855
0.4426,0.6921
0.4027,0.1652
0.4434,0.1612
0.4562,0.1948
0.4442,0.1756
0.4629,0.1064
0.4614,0.3168
0.5652,0.2091
0.5908,0.1906
0.2688,0.1001
0.3499,0.1518
0.3591,0.0386
0.3943,0.1821
0.4533,0.2101
0.5444,0.2656
0.5339,0.2322
0.3743,0.19
0.3438,0.067
0.4163,0.1674
0.4383,0.1898
0.4413,0.1633
0.5036,0.5937
0.2924,0.0488
-1.4078,5.5281
0.1628,0.4497
0.257,0.0078
0.2534,0.0669
0.2827,0.0541
0.3436,0.0842
0.3873,0.2254
0.3641,0.1212
0.3596,0.0933
0.3889,0.1649
0.4156,0.1406
0.424,0.1835
0.4193,0.17
0.4191,0.1337
0.4496,0.1604
0.463,0.1776
0.2483,0.1135
0.2423,0.1074
0.2531,0.0702
0.2791,0.0182
0.3376,0.0633
0.3598,0.1532
0.3689,0.1564
0.3569,0.0863
0.4046,0.1773
0.4211,0.1746
0.445,0.1446
0.4349,0.1657
0.4461,0.1662
0.4672,0.1699
0.5132,0.188
0.4835,0.2213
0.4727,0.1577
0.5379,0.2159
0.2728,0.0333
0.2868,0.0031
0.2755,0.0626
0.2894,0.0593
0.3726,0.1254
0.3625,0.0938
0.3763,0.1179
0.424,0.1599
0.4245,0.1483
0.4255,0.1573
0.4119,0.1332
0.4426,0.1313
0.486,0.1412
0.5065,0.1603
0.5129,0.1966
0.5071,0.1768
0.2454,0.0443
0.2475,0.0179
0.2763,0.0943
0.2733,0.0236
0.2715,0.0889
0.364,0.1597
0.3991,0.1751
0.4073,0.1606
0.4087,0.1683
0.4308,0.1876
0.456,0.2029
0.1856,0.2482
0.2433,0.0569
0.2559,0.0698
0.2706,0.0287
0.2788,0.0286
0.3348,0.1503
0.3614,0.107
0.3962,0.1664
0.4182,0.1747
0.4277,0.149
0.506,0.2127
0.5191,0.2283
0.4749,0.1885
0.3047,0.1072
0.3406,0.0765
0.3598,0.1597
0.4153,0.1495
0.4689,0.2318
0.4718,0.1854
0.5889,0.2002
0.1543,1.4185
0.3271,0.1378
0.362,0.1313
0.5257,0.2176
0.4443,0.1926
0.4214,0.1489
0.4716,0.2108
0.5066,0.2345
0.1651,1.4067
0.3139,0.2219
0.3389,0.1188
0.3459,0.1044
0.3932,0.08
0.3657,0.105
0.3641,0.1603
0.3998,0.1261
0.4135,0.1262
0.4516,0.1639
0.4588,0.1591
0.4971,0.1843
0.3323,0.0733
0.3602,0.171
0.3833,0.1698
0.3872,0.1481
0.4008,0.2002
0.459,0.2248
0.5174,0.1456
0.1539,1.0547
0.336,0.087
0.4218,0.1522
0.1807,1.1693
0.1734,1.3059
0.1758,41.878
0.2214,0.5439
0.3065,0.0146
0.3201,0.656
0.3026,0.1521
0.4889,0.1324
0.6729,0.4537
0.4814,0.2098
0.211,3.7309
0.2289,0.0818
0.2803,0.0466
0.2284,0.0881
0.2881,0.0237
0.2579,0.0635
0.1351,0.4605
0.1769,0.3271
0.1734,0.3939
0.3289,0.0237
0.4493,0.1744
0.4415,0.4843
0.4092,0.3801
0.3329,0.316
0.2799,0.0654
0.2848,0.0889
0.2992,0.113
0.371,0.027
0.27,0.2077
0.2786,0.0075
0.4704,0.2697
0.2832,7.0E-4
0.2762,0.0625
0.3157,0.2865
0.2549,0.2341
0.2043,7.0433
0.2219,0.35
0.3943,0.37
0.2154,0.2961
0.2062,0.2928
0.4379,0.0837
0.3176,0.5247
0.3639,0.2938
0.2745,0.2302
0.2712,0.1008
0.2833,0.8172
0.3213,0.2148
0.4083,0.4236
0.2753,0.1391
0.3806,0.1099
0.242,0.4491
0.2049,0.3147
0.2847,0.2468
0.2765,0.316
0.3405,0.0201
0.3922,0.1393
0.4173,0.0036
0.4239,0.4124
0.3293,0.0431
0.3805,0.2741
0.3579,0.0234
0.4453,0.3062
0.461,0.2076
0.2829,0.2446
0.2661,0.1671
0.341,0.0415
0.3727,0.2501
0.467,0.3122
0.5252,0.0163
0.4502,0.2995
0.5292,0.3041
0.8144,0.3333
0.3863,0.0567
0.4017,0.0123
0.563,0.2273
0.4431,0.3091
0.5336,0.266
0.3269,0.0216
0.3159,0.2706
0.3891,0.0302
0.5288,0.1039
0.3919,0.0383
0.4234,0.3958
0.4926,0.1901
0.0929,0.0929
0.093,0.093
0.227,0.1127
0.2017,0.2195
0.0927,0.0927
0.1327,0.2356
0.2981,0.022
0.2475,0.5298
0.0928,0.0928
0.3994,0.2272
1.028,0.2871
1.0927,0.2079
0.0884,0.0884
0.2534,0.4912
0.1333,0.5518
0.172,0.4152
0.41,0.1907
0.9574,0.3414
0.2151,0.122
0.2881,0.1524
0.3132,8.8491
0.2258,0.8785
0.0584,0.0584
0.3148,0.0029
0.0973,0.0973
0.0861,0.0861
0.5907,0.214
0.6098,0.3
0.1449,8.7905
0.1737,3.1755
0.1201,0.5686
0.2128,0.0336
0.1833,0.3797
0.2729,0.0452
0.2788,0.0637
0.1142,2.1989
0.1264,1.4122
0.1203,1.2784
0.1285,1.5196
0.2832,0.0579
0.4511,0.1362
0.2731,0.1369
0.1332,2.0621
0.1988,0.6045
0.2866,0.2866
0.1866,0.4896
0.2578,0.2279
0.3873,0.186
0.4536,0.2201
0.4192,0.1441
0.1811,0.3505
0.4506,0.2129
0.3004,0.0467
0.2234,0.3385
0.252,0.0505
0.2158,0.0779
0.211,0.0743
0.2086,0.073
0.4031,0.1517
0.2615,0.1712
0.0871,0.0871
0.5771,0.3595
0.0905,17.4694
0.5034,0.2839
0.6075,0.0283
0.0813,812.0
0.5325,0.2784
0.3009,0.123
0.271,0.202
0.2084,0.0081
0.2845,0.3285
0.085,0.085
0.5023,0.2185
0.0851,0.0851
0.0584,2.1913
0.0523,9.46
0.336,0.0027
0.2701,0.2825
0.078,0.078
0.254,0.1936
0.3598,0.1731
0.3525,0.1629
0.2925,0.3427
0.3008,0.2606
0.3546,0.1509
0.0779,0.0779
0.2305,0.1188
0.3655,0.4404
0.0804,0.0804
0.075,0.075
0.0805,0.0805
0.1439,1.8665
0.0859,0.0859
0.1477,0.7947
0.1632,0.9545
0.0761,0.0761
0.1481,1.2405
0.1429,0.4567
0.0746,0.0746
0.0946,0.3212
0.1618,0.6132
0.1005,0.3329
0.0427,0.0427
0.2322,0.1042
0.0482,0.0482
0.0384,0.0384
0.0369,0.0369
0.1182,0.1593
0.224,0.1436
0.0618,1.9429
0.0718,1.1243
0.0549,1.3974
0.2845,0.1392
0.248,0.0217
0.2409,0.0637
0.2125,0.0741
0.2494,0.0506
0.0912,0.0857
0.1802,0.1673
0.1843,0.1638
0.0937,0.2871
0.1482,0.0041
0.1878,0.1261
0.0829,0.3055
0.1809,0.159
2.947,0.4816
0.0368,9.2222
0.0853,0.073
0.4061,0.2355
0.387,0.1991
0.3996,0.1883
0.2165,0.1723
0.1326,0.0967
0.058,1.8713
0.0676,0.5869
0.055,3.8673
0.0593,1.4812
0.0659,0.6897
0.0541,3.9182
0.0706,1.3533
0.0529,1.195
0.0758,0.3857
0.0772,0.8968
0.1252,0.1664
0.1322,0.0038
0.075,0.606
0.038,0.038
0.0848,5.0571
0.038,0.038
0.0549,4.6598
0.0823,5.8583
0.05,3.902
0.0623,102.8333
0.0947,10.8375
0.0867,0.1313
0.094,2.4058
0.0536,1.4364
0.0535,1.1315
0.0821,3.4863
0.0984,2.2262
0.1126,3.3308
0.0584,1.0563
0.0998,4.976
0.1054,2.6725
0.0694,1.0904
0.099,2.1429
0.1113,2.6854
0.1598,4.2393
0.0974,0.9519
0.11,0.7628
0.1358,2.491
0.0779,0.661
0.1378,1.2967
0.1666,1.6958
0.1091,0.0111
0.0935,11.1429
0.054,3.5763
0.0931,5.3767
0.0694,3.3924
0.0977,4.4278
0.0713,2.3318
0.0862,1.9931
0.0932,3.1982
0.0969,2.086
0.1471,1.7755
0.1026,0.7072
0.1219,0.5162
0.0516,102.2
0.0902,22.7368
0.094,7.3186
0.056,3.9123
0.1103,3.5958
0.1011,2.1108
0.0952,2.0032
0.0852,1.179
0.1356,0.723
0.1299,0.9985
0.1133,0.4582
0.084,4.7143
0.0967,6.7984
0.0929,4.3699
0.0658,1.7078
0.1059,4.8833
0.0572,1.0952
0.0964,2.7804
0.0652,1.9636
0.0709,1.0432
0.0925,2.1145
0.0993,2.1325
0.0978,0.0952
0.1215,2.2661
0.1006,0.7964
0.1453,1.805
0.1049,4.7011
0.1256,0.7517
0.089,15.1818
0.0849,8.3297
0.0921,5.7721
0.0866,3.977
0.0637,3.4236
0.0523,3.1181
0.1113,0.4361
0.1054,0.0383
0.0745,1.0411
0.0586,2.2022
0.0728,0.8571
0.2742,0.6177
0.0582,0.0582
0.0538,0.0538
0.0524,0.0524
0.1135,1.3402
0.1159,1.3462
0.4165,0.2287
0.0612,0.0612
0.0616,0.8554
0.0715,0.1917
0.0534,0.5434
0.0574,0.6784
0.094,1.321
0.0488,0.525
0.0505,0.3798
0.0687,0.1225
0.0356,4.0857
0.0386,3.0208
0.0545,0.5395
0.0362,4.3235
0.0405,2.8571
0.0575,0.5668
0.0416,5.029
0.0457,4.5732
0.062,0.6712
0.0358,2.8495
0.2082,0.1278
0.1368,0.1423
0.125,1.0032
0.0564,1.82
0.0877,2.1891
0.1014,1.5287
0.2336,0.2283
0.0456,2.3778
0.102,1.6562
0.1541,0.5645
0.0435,2.0634
0.1224,0.0362
0.1306,0.0439
0.124,0.0942
0.1453,89.8125
0.0673,0.0673
0.2337,0.0021
0.6535,0.6072
0.382,0.7685
0.1301,1.2626
0.1146,1.0723
0.2261,0.5923
0.0614,4.386
0.0667,2.7472
0.1217,1.3449
0.2251,0.5708
0.119,0.9933
0.0247,0.0247
0.0369,0.1827
0.0681,0.0797
0.073,0.042
0.0833,0.0107
0.1079,0.1649
0.1163,0.1591
0.0235,6.5806
0.1126,0.0964
0.0353,1.4514
0.0981,0.1173
0.0654,0.1256
0.0803,0.3406
0.1407,0.3477
0.0168,4.25
0.1683,0.6771
0.0302,0.0302
0.0402,2.0226
0.0582,0.0356
0.078,0.0065
0.1445,0.3174
0.157,0.6976
0.0204,0.0204
0.0338,0.214
0.0663,0.2255
0.1735,0.0345
0.019,0.019
0.1661,0.1469
0.0189,0.0189
0.2191,0.0518
0.0854,0.8646
0.0928,1.2524
0.08,0.043
0.0857,0.1712
0.0721,0.101
0.0802,0.0968
0.187,0.4211
0.1865,0.3767
0.1725,2.9931
0.1016,0.1016
0.2997,0.0902
0.1123,12.369
0.2522,2521.0
0.392,0.1502
0.3873,0.1664
0.2518,0.0544
0.2514,0.8458
0.2514,0.1098
0.2659,0.1548
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.382
0.25,0.4136
0.25,0.4441
0.25,0.6566
0.25,0.6379
0.0994,0.0994
0.1919,0.3533
0.2223,0.1471
0.2596,0.0384
0.2571,0.0388
0.3291,0.1275
0.3993,0.1415
0.4015,0.1803
0.4086,0.1173
0.4383,0.156
0.5026,0.184
0.4963,0.1887
0.5264,0.2304
0.5475,0.2438
0.2626,0.026
0.2523,0.1521
0.2837,0.0708
0.3009,0.0215
0.3731,0.1066
0.4007,0.0746
0.4004,0.1667
0.4526,0.1975
0.4682,0.1506
0.498,0.1988
0.5227,0.2317
0.549,0.2658
0.591,0.2532
0.3309,0.1237
0.3514,0.1753
0.4245,0.1907
0.2498,0.2498
0.2498,0.4473
0.2497,5.9154
0.2497,0.2497
0.2497,0.2497
0.2497,0.2497
0.2497,0.2497
0.2497,0.5366
0.2497,0.1073
0.2497,0.1976
0.2497,0.5205
0.2497,0.5237
0.1464,0.4878
0.2587,0.0646
0.2477,0.0355
0.2469,0.061
0.273,0.0999
0.3101,0.234
0.3388,0.1198
0.3297,0.1089
0.3763,0.116
0.3857,0.1299
0.38,0.1889
0.4264,0.1548
0.4413,0.1289
0.4583,0.1765
0.4893,0.2384
0.4789,0.1873
0.5406,0.2187
0.2368,0.1055
0.2469,0.0587
0.2741,0.0349
0.275,0.022
0.2859,0.0185
0.2929,0.1446
0.3322,0.1396
0.3328,0.1047
0.3528,0.1359
0.4428,0.1868
0.5053,0.2615
0.4763,0.175
0.2496,0.2496
0.2496,0.2496
0.2496,0.2496
0.2496,0.1402
0.2496,0.0457
0.2496,0.3946
0.2496,0.3623
0.2496,0.4441
0.2496,0.4752
0.1533,1.044
0.3176,0.0078
0.3552,0.137
0.4182,0.1732
0.4495,0.1776
0.5248,0.1465
0.3177,0.1612
0.3337,0.143
0.3585,0.1768
0.4056,0.1941
0.4091,0.1514
0.4393,0.2068
0.407,0.1798
0.2493,2.3064
0.1829,1.5332
0.2332,0.6825
0.1725,1.178
0.2493,72.3235
0.2159,0.7244
0.3122,0.0494
0.244,0.2075
0.4923,0.2426
0.2512,0.0679
0.1432,0.7358
0.2615,0.1075
0.2428,0.2428
0.1733,0.3721
0.2421,5.8323
0.3224,0.0387
0.2417,0.3494
0.4458,0.1581
0.4401,0.2375
0.2805,0.0914
0.2813,0.0493
0.2918,0.0554
0.2846,0.0875
0.241,0.4048
0.6897,0.2331
0.5196,0.4533
0.2409,0.0594
0.3024,0.1407
0.2408,2.1643
0.2408,0.1228
0.2408,0.6604
0.5415,0.2467
0.3827,0.2127
0.312,0.0882
0.5444,0.2162
0.2407,0.2035
0.2407,64.0541
0.2407,1.3234
0.2407,0.3892
0.3225,0.2387
0.5152,0.1046
0.2687,0.1468
0.2617,0.101
0.3749,0.0667
0.3504,0.0543
0.4025,0.1159
0.4964,0.3329
0.2404,0.2404
0.213,0.5616
0.0887,0.0887
0.2402,0.0926
0.0896,0.0896
0.3992,0.3065
0.0885,0.0885
0.1656,0.1348
0.2185,0.5065
0.1681,0.3028
0.2917,0.1354
0.0552,0.0552
0.2394,0.2823
0.0888,0.0888
0.0876,0.0876
0.239,0.239
0.3048,0.5136
0.3232,0.2238
0.6387,0.3243
0.2385,0.2385
0.1457,0.7483
0.2036,0.2036
0.2397,19.6638
0.2357,0.0551
0.2379,11.0761
0.0976,3.2069
0.1035,3.2769
0.1134,1.8209
0.1062,1.3705
0.2379,0.0797
0.2379,0.4002
0.2706,0.062
0.237,0.2923
0.175,0.2764
0.2636,0.7422
0.286,0.1691
0.2793,0.2574
0.4687,0.1972
0.1742,0.3157
0.2903,0.0359
0.2349,0.3408
0.2349,0.1202
0.207,0.0283
0.2593,0.1877
0.1126,1.5767
0.2346,0.1031
0.0841,840.0
0.0862,14.3929
0.2884,0.0902
0.4143,0.1554
0.2325,2324.0
0.1875,14.2439
0.1042,5.4321
0.0795,0.0795
0.2457,0.1818
0.3225,0.0113
0.0806,0.0806
0.3553,0.1382
0.2674,0.1787
0.2459,0.1946
0.2287,1.841
0.4441,0.3188
0.0778,0.0778
0.0767,0.0767
0.2279,11.522
0.2279,3.8593
0.145,6.7957
0.143,0.6067
0.1554,1.2954
0.0762,0.0762
0.0762,0.0762
0.1131,1.7995
0.1435,0.5666
0.1605,0.7427
0.1902,0.2728
0.223,0.5589
0.1491,0.3852
0.0684,1.3668
0.2363,0.012
0.2439,0.048
0.3145,0.1717
0.3136,0.181
0.188,0.0944
0.188,0.2812
0.0778,0.0778
0.1378,0.1144
0.0362,0.0362
0.0376,15.3478
0.174,0.1877
0.1555,0.3521
0.2121,0.1891
0.0461,2.7787
0.0496,3.6355
0.0518,1.4667
0.186,0.186
0.0726,0.6651
0.1855,14.4583
0.1847,25.7681
0.1847,15.3451
0.1847,20.2299
0.1847,13.8952
0.1847,14.0163
0.1847,7.5115
0.1847,1.8769
0.1847,4.2621
0.1847,6.1589
0.1847,5.2823
0.1847,7.7536
0.1847,4.4645
0.1847,1.4792
0.1847,2.8004
0.1847,2.694
0.1847,1.087
0.1847,0.6992
0.0454,4.2184
0.0632,10.2857
0.0544,1.5302
0.0605,1.788
0.0673,3.2327
0.1049,3.196
0.0581,1.1204
0.0913,3.0942
0.0994,0.7168
0.096,1.9358
0.0623,1.3333
0.1013,2.6836
0.1396,2.4987
0.0895,0.5925
0.0813,0.6131
0.0548,9.7451
0.1226,34.0286
0.1073,15.2576
0.0974,5.2839
0.0891,4.9007
0.0778,2.1498
0.0724,1.471
0.0828,2.0219
0.0925,4.4412
0.0545,1.0336
0.094,2.4559
0.0851,0.2149
0.0713,0.6659
0.1283,1.3327
0.1311,0.2967
0.1843,1.4838
0.1841,0.109
0.0802,1.2033
0.1663,0.1753
0.2962,1.523
0.0561,1.5157
0.1756,0.2323
0.2057,0.2057
0.1181,1.8389
0.1256,2.1558
0.1283,2.2155
0.2145,0.2145
0.0627,0.0627
0.0504,0.4566
0.0456,0.6228
0.1789,23.1757
0.0545,0.438
0.0314,3.4225
0.1784,9.0791
0.1784,6.8938
0.1191,0.7883
0.0477,2.2449
