TLOAD8,TLOAD8_RE
0.2234,0.004
0.2121,0.0403
0.068,0.068
0.2131,0.2131
0.0526,0.0526
0.3317,13.4217
0.1138,2.289
0.2145,0.2128
0.1746,0.0747
0.1933,0.0902
0.1658,0.059
0.1626,0.0824
0.1882,0.1987
0.1933,0.2312
0.2473,0.1004
0.2574,0.1383
0.1077,3.3603
0.0629,2.6358
0.3645,0.0176
0.3679,0.0369
0.3451,0.143
0.1382,0.6813
0.0877,0.452
0.0846,0.2741
0.172,0.9069
0.1628,1.5438
0.1226,1.0264
0.1656,1.9731
0.1863,1.8662
0.0685,1.751
0.0554,1.4087
0.0586,1.0707
0.074,1.8906
0.2908,0.1319
0.2299,0.2299
0.096,0.6145
0.1446,0.6797
0.1615,0.2141
0.2129,0.2121
0.1906,0.3107
0.0885,0.5946
0.1224,1.55
0.1411,1.2943
0.1445,1.3611
0.1422,1.2394
0.1933,3.184
0.1177,3.8636
0.0725,0.4706
0.0755,0.5253
0.0608,3.5714
0.0785,0.0786
0.0847,0.0753
0.0846,0.1169
0.1762,1.7704
0.0508,0.139
0.0273,9.92
0.0325,16.1053
0.0238,10.9
0.1762,64.2593
0.0245,0.0245
0.0312,0.0312
0.1419,4.2556
0.1356,3.52
0.1495,0.1563
0.1561,0.063
0.141,0.1165
0.1962,0.2917
0.1961,0.3507
0.1817,0.4023
0.1173,1.6538
0.1181,1.6539
0.1614,0.1723
0.1111,1.8414
0.2625,0.1244
0.2299,0.1444
0.2486,0.085
0.161,0.0676
0.1719,0.0928
0.1783,0.246
0.1933,3.0695
0.1309,1.896
0.1933,3.4032
0.1175,1.7518
0.1274,1.7939
0.1258,9.8448
0.1179,7.5435
0.0801,1.697
0.1933,6.6403
0.0723,1.573
0.0827,0.0827
0.4314,0.1591
0.2165,0.5728
0.2588,0.4064
0.2919,0.3215
0.2963,2.9665
0.0899,0.1575
0.0777,0.115
0.223,0.2179
0.2219,0.1403
0.2459,0.6751
0.1619,42.7568
0.1933,65.6552
0.0889,20.1667
0.1494,44.2727
0.111,1.5754
0.1087,2.1599
0.0955,1.1558
0.0969,0.3019
0.1049,0.0826
0.1881,0.0645
0.3505,0.2232
0.3309,0.2471
0.2383,0.4468
0.1926,1.3985
0.196,3.109
0.1832,3.3106
0.1267,0.157
0.1557,0.021
0.1449,0.08
0.1876,0.519
0.1803,0.4424
0.2673,0.4371
0.1163,0.5902
0.1288,0.5106
0.1758,0.0667
0.5937,0.3134
0.4957,0.1297
0.4972,0.1263
0.4938,0.1229
0.1145,0.3191
0.211,0.1082
0.1837,0.2255
0.4662,0.1227
