TLOAD6,TLOAD6_RE
0.2263,0.0453
0.2112,0.02
0.0625,0.0625
0.2167,0.2167
0.0473,0.0473
0.375,11.2951
0.0901,2.1176
0.1876,0.3865
0.1426,0.5517
0.1939,1.0519
0.1367,0.0294
0.1364,0.0955
0.1478,0.8475
0.1939,1.894
0.2341,0.2675
0.2427,0.4127
0.1001,3.55
0.0491,3.4234
0.3701,0.123
0.3723,0.0527
0.3584,0.1051
0.1309,108.0833
0.0757,0.7605
0.0676,0.5684
0.1193,4.187
0.1113,11.0978
0.1127,1.6088
0.1261,2.634
0.1418,4.7878
0.0593,1.7454
0.0463,1.4892
0.0465,0.7033
0.0641,2.1117
0.2927,0.1109
0.2333,0.2333
0.0627,0.1611
0.1205,0.2658
0.1287,0.7313
0.2002,0.3329
0.1701,0.089
0.0738,1.203
0.0988,2.6324
0.107,2.6027
0.1131,2.8339
0.1039,2.522
0.1939,5.2147
0.0896,4.2706
0.0596,0.4863
0.0651,0.7222
0.0516,3.7339
0.0612,0.1657
0.068,0.2143
0.0606,0.0841
0.1742,2.3244
0.0377,0.1393
0.0088,4.5
0.0216,11.7059
0.0093,2.875
0.1742,81.9524
0.0135,0.0135
0.0201,0.0201
0.1066,2.8071
0.0983,2.5107
0.1388,0.1448
0.1512,0.002
0.1337,0.0984
0.173,0.0759
0.1772,0.1006
0.1805,0.2438
0.0977,2.729
0.0895,2.4825
0.1349,0.0977
0.1073,1.5188
0.2529,0.0496
0.2333,0.0713
0.2458,0.0582
0.1527,0.4883
0.1679,0.32
0.1695,0.187
0.1939,6.2622
0.1036,3.0311
0.1939,7.0792
0.0929,2.4535
0.0949,2.6641
0.0955,7.2328
0.0864,6.8545
0.0615,0.9649
0.1939,5.3366
0.0585,1.1587
0.0727,0.0727
0.4707,0.1119
0.2231,0.4409
0.2897,0.3241
0.3063,0.3758
0.294,0.2356
0.0718,0.228
0.0663,0.2079
0.2384,0.1407
0.2273,0.2503
0.2517,1.0136
0.141,33.3902
0.1939,54.4
0.0671,18.7353
0.1186,32.8857
0.0899,1.9188
0.0822,1.2897
0.0753,1.2344
0.0885,0.0103
0.0909,0.0955
0.1768,0.3579
0.349,0.0077
0.3251,0.1469
0.243,0.3037
0.149,1.4916
0.1508,2.7143
0.1434,3.0168
0.1153,0.0907
0.1403,0.0462
0.1246,0.0991
0.1874,0.5125
0.1933,2.866
0.2754,0.2413
0.1079,0.4211
0.1292,0.3946
0.1738,0.488
0.5612,0.0833
0.51,0.1985
0.509,0.227
0.5095,0.2123
0.1094,0.2334
0.1896,0.3514
0.1745,0.2831
0.4816,0.1582
0.2627,0.4439
0.3493,0.0516
0.2228,0.0176
0.1448,0.0028
0.1973,1.7907
0.1309,0.0859
7.0E-4,0.9966
0.0251,0.881
0.5778,0.1559
0.5535,0.1981
0.5418,0.158
0.5494,0.1645
0.2631,0.5877
0.2818,0.1241
0.2469,0.7865
0.2705,0.5528
0.4873,0.2348
0.4902,0.212
0.4769,0.195
0.1242,1.2258
0.0556,0.9716
0.0515,0.9884
0.1939,4.4162
0.0706,0.5794
0.0847,0.9338
0.0656,0.3199
0.082,0.0677
0.0787,0.0369
0.0307,0.0307
0.1974,0.1974
0.2631,0.4514
0.6304,0.1944
0.5842,0.1778
0.6113,0.2378
0.6151,0.2119
0.3364,0.4881
0.4493,0.1831
0.4542,0.194
0.4466,0.2916
0.3709,0.0744
0.3774,0.0932
0.3646,0.1026
0.379,0.1235
0.1767,0.3913
0.1728,0.3935
0.1697,0.3554
0.2443,0.4945
0.5247,0.4755
0.5047,0.1692
0.4918,0.1338
0.4155,0.1365
0.4058,0.1558
0.2628,0.5019
0.3799,0.1067
0.265,0.1427
0.148,0.5745
0.4559,0.157
0.1976,0.4247
0.201,0.3535
0.1899,0.3169
0.2948,0.016
0.2966,0.0199
0.2839,0.0011
0.2417,0.2417
0.1349,0.0612
0.2513,0.057
0.2162,0.1817
0.403,0.1507
0.4211,0.157
0.4196,0.1032
0.419,0.1724
0.4266,0.08
0.2628,1.3848
0.3202,0.127
0.3045,0.106
0.3078,0.0388
0.304,0.2267
0.25,0.1033
0.2655,0.0
0.3555,0.0418
0.2628,0.3771
0.3917,0.147
0.2481,0.0872
0.2474,0.0913
0.401,0.1152
0.3962,0.0975
0.389,0.1301
0.4474,0.7143
0.4253,0.1338
0.3651,0.1153
0.2816,0.0168
0.2762,0.0518
0.2247,0.1505
0.2318,0.1986
0.238,0.2249
0.2222,0.1477
0.2132,0.1831
0.21,0.1954
0.21,0.1954
0.4276,0.0985
0.4258,0.1122
0.4211,0.1291
0.423,0.1113
0.2831,1.1611
0.1551,1.6741
0.3973,0.3335
0.4614,0.1006
0.1775,0.0765
1.0886,0.1076
1.1697,0.2404
0.4349,0.181
0.3782,0.22
0.2526,0.5239
0.3963,0.1683
0.3869,0.0956
0.3775,0.1161
0.4396,0.0747
0.4159,0.1121
0.2631,0.4343
0.2554,0.2554
0.1861,0.4217
0.1744,0.3426
0.1711,0.2609
0.1708,0.3199
0.2629,0.2629
0.3686,0.1313
0.3701,0.1415
0.3786,0.1016
0.3641,0.1507
0.3683,0.1301
0.2394,0.2394
0.0727,0.0727
0.0852,0.0852
0.2394,6.3889
0.07,0.07
0.0859,0.0859
0.0918,0.0918
0.0861,0.0861
0.2526,0.2526
0.2526,0.0472
0.2761,0.0454
0.276,0.0502
0.1313,1.842
0.1481,0.546
0.1736,0.1993
2.9097,0.9516
0.3406,0.0994
0.3427,0.0991
0.1741,0.4201
0.1469,0.3503
0.2022,0.2022
0.1675,0.2912
0.1023,2.177
0.0921,2.1115
0.0896,1.6907
0.1491,4.0714
