TLOAD1,TLOAD1_RE
0.3287,0.1145
0.3329,0.048
0.0486,6.9672
0.0389,0.0389
0.0457,2.656
0.3612,0.0731
0.4336,0.0598
0.4362,0.0572
0.0844,0.1625
0.2991,0.0098
0.1694,0.1587
0.2124,0.2542
0.1362,0.0747
0.3161,2.0278
0.2466,0.0173
0.3384,0.5312
0.2188,0.0023
0.2538,0.1548
0.2689,0.1504
0.2754,0.0607
0.3632,0.0547
0.3892,0.0934
0.4526,0.0397
0.5282,0.0076
0.5404,0.0449
0.5447,0.0504
0.6127,0.0228
0.7005,0.0351
0.2215,0.0326
0.2849,0.0078
0.3362,0.0042
0.3447,0.1291
0.3862,0.0469
0.4339,0.0823
0.518,0.025
0.73,0.0152
0.0387,0.0387
0.1558,0.0797
0.2324,0.0931
0.2642,0.0551
0.3119,0.0473
0.4273,0.0308
0.5166,0.0346
0.5446,0.0442
0.5419,0.0287
0.6148,0.0598
0.7191,0.0306
0.1623,0.0988
0.1784,0.2608
0.2625,0.0094
0.4529,0.018
0.4522,0.0516
0.5096,0.8546
0.4816,0.0414
0.5053,0.0784
0.5383,0.0656
0.5451,0.059
0.5331,0.0129
0.5319,0.1943
0.6859,0.0038
0.7267,0.0241
0.2754,0.0441
0.3921,0.008
0.3964,0.1039
0.4578,0.0216
0.5439,0.0247
0.6958,0.0324
0.6455,0.0037
0.4187,0.088
0.3713,0.075
0.4807,0.0602
0.5008,0.0461
0.5043,0.044
-1.5995,6.0236
0.3221,0.031
-4.8834,1.0826
0.0931,0.4479
0.2538,0.0267
0.255,0.0151
0.2998,0.0738
0.3728,0.0208
0.3963,0.229
0.4113,0.0172
0.4004,0.005
0.4527,0.0582
0.4751,0.0596
0.4795,0.0819
0.51,0.0286
0.4884,0.0053
0.5147,0.0671
0.5631,0.0109
0.2282,0.027
0.2259,0.0085
0.246,0.0358
0.2632,0.0355
0.363,0.0041
0.4042,0.0609
0.3997,0.0615
0.3969,0.0327
0.4537,0.1071
0.4775,0.0741
0.5273,0.0659
0.4943,0.0604
0.4816,0.0809
0.5456,0.0418
0.587,0.1149
0.592,0.0082
0.559,0.0312
0.6521,0.0222
0.282,0.199
0.2945,0.0099
0.2913,0.1647
0.296,0.0147
0.4097,0.0027
0.4047,0.0078
0.416,0.0337
0.4868,0.017
0.4784,0.0122
0.4806,0.0693
0.4709,0.0118
0.5226,0.0666
0.569,0.0137
0.5829,0.0583
0.5905,0.0959
0.6175,0.0683
0.2415,0.0203
0.258,0.1016
0.2884,0.1041
0.2946,0.0514
0.299,0.035
0.4189,0.0523
0.4385,0.077
0.4731,0.0529
0.4797,0.0268
0.5092,0.0523
0.5304,0.0426
0.1619,0.2028
0.2468,0.048
0.2614,0.0085
0.2918,0.0333
0.2917,0.0093
0.3827,0.0185
0.4218,0.0071
0.4666,0.0503
0.4874,0.0607
0.5044,0.0181
0.6021,0.0953
0.6245,0.0893
0.5782,0.0258
0.3361,0.0926
0.3667,0.0124
0.3978,0.004
0.4751,0.0312
0.5638,0.0712
0.551,0.0518
0.7244,0.0476
0.1286,0.348
0.3649,0.0016
0.4033,0.0044
0.4775,0.2649
0.5078,0.1027
0.4726,0.0762
0.5578,0.0547
0.6016,0.0686
0.1363,0.5454
0.3521,9.0E-4
0.3602,0.0402
0.3655,0.0269
0.4497,0.0602
0.402,0.0266
0.4165,0.0491
0.4503,0.0285
0.4642,0.046
0.5181,0.0692
0.5319,0.0224
0.5896,0.4594
0.3748,0.0388
0.4056,0.0411
0.4465,0.0418
0.4341,0.089
0.4733,0.0679
0.5463,0.0544
0.6119,0.0334
0.1385,0.2054
0.3683,0.0225
0.4918,0.0797
0.1106,0.3261
0.103,0.0696
-0.0092,3.3
0.1239,0.0395
0.3151,0.0569
0.328,0.0244
0.3414,0.0167
0.7285,1.1104
0.7359,0.2129
0.587,0.0194
0.122,0.7039
0.2211,0.0361
0.2894,0.031
0.2248,0.0761
0.2989,0.0236
0.2852,0.065
0.1037,0.409
0.1474,0.1192
0.1486,0.1945
0.378,0.0277
0.5405,0.0369
0.7745,0.0942
0.6835,0.1934
0.4736,0.0218
0.2987,0.002
0.2971,0.0428
0.2967,0.1151
0.3657,0.0898
0.2204,0.4311
0.2792,0.0602
0.6022,0.2092
0.2766,0.0342
0.2844,0.0025
0.4198,0.4216
0.3387,0.0326
0.2863,8.2058
0.1091,0.7043
0.4759,0.1159
0.3358,0.1208
0.3041,0.0731
0.3943,0.2029
0.3579,0.0709
0.2911,0.2917
0.1671,0.3811
0.3037,0.1053
0.4902,0.0133
0.2679,0.3627
0.3724,0.4778
0.2895,0.0536
0.4173,0.1795
0.3176,0.2963
0.1547,0.2904
0.2567,0.1611
0.3241,0.0633
0.4084,0.0272
0.5415,0.0688
0.5112,0.1869
0.3921,0.0574
0.4255,0.0688
0.4977,0.1844
0.5485,0.0186
0.6372,0.0179
0.6155,0.0438
0.32,0.0383
0.3901,0.0117
0.3939,0.349
0.4599,0.0367
0.6373,0.7294
0.6599,0.0069
0.5645,0.0659
0.6174,0.022
1.0502,0.3483
0.5071,0.0317
0.4785,0.0867
0.6039,0.0819
0.5794,0.0958
0.623,0.1967
0.3642,0.1137
0.3879,0.0087
0.5204,0.0696
0.5899,0.0663
0.5625,0.0718
0.4982,0.326
0.6438,0.0407
0.0321,0.0321
0.0307,0.0307
0.1827,0.1844
0.1627,0.0753
0.032,0.032
0.1149,0.4563
0.3333,0.1994
0.4854,1.9871
0.0306,0.0306
0.4601,0.068
1.3357,0.248
1.5296,0.1202
0.0319,0.0319
0.2716,0.1836
0.1065,0.2082
0.2527,0.0869
0.4867,0.1153
1.2167,0.3017
0.2967,0.3962
0.2892,0.2259
0.5424,0.9817
0.3287,1.3819
0.0236,0.0236
0.3458,0.3072
0.0326,0.0326
0.0344,0.0344
0.6872,0.1481
0.8964,0.2604
0.3592,0.2905
0.2219,0.5056
0.1664,0.1356
0.2326,0.1013
0.2022,0.3157
0.2735,0.0455
0.2784,0.1039
0.0655,0.6294
0.0602,0.4506
0.0566,0.3873
0.0512,0.1991
0.2852,0.098
0.5034,0.0805
0.2855,0.0204
0.0359,0.1222
0.1938,0.0533
0.3219,0.0248
0.3419,0.0605
0.4221,0.0707
0.4474,0.0936
0.5475,0.0708
0.4961,0.0322
0.1417,0.0063
0.5328,0.0771
0.3074,0.0591
0.22,0.2949
0.2447,0.0378
0.204,0.0119
0.202,0.0275
0.2052,0.0507
0.4937,0.0506
0.259,0.4937
0.0288,287.0
0.8169,0.1209
0.032,4.9259
0.6772,0.0085
0.7903,0.0947
0.0316,315.0
0.6718,0.0393
0.3233,0.0341
0.2784,0.0407
0.1797,0.0818
0.3555,0.0596
0.0276,0.0276
0.6079,0.0292
0.0261,0.0261
0.0188,0.5481
0.06,0.4012
0.3529,0.0138
0.2556,0.122
0.0297,0.0297
0.2551,0.2474
0.3981,0.0903
0.4021,0.0474
0.4336,0.0206
0.4485,0.105
0.4001,0.0474
0.0296,0.0296
0.2643,0.0381
0.6409,0.0248
0.0249,0.0249
0.0282,0.0282
0.0234,0.0234
0.1033,23.5952
0.0259,0.0259
0.1019,0.2292
0.13,0.256
0.0247,0.0247
0.0656,49.4615
0.1011,0.0423
0.0277,0.0277
0.0283,3.2239
0.1476,0.3321
0.0775,0.9089
0.0158,0.0158
0.3341,0.1779
0.0169,0.0169
0.0157,0.0157
0.0187,0.0187
0.1471,0.1265
0.2606,0.0516
0.0452,0.564
0.0487,0.368
0.0478,0.358
0.3104,0.0557
0.2467,0.0497
0.2419,0.0058
0.223,0.0409
0.2595,0.0546
0.0857,0.0251
0.2039,0.0595
0.1977,0.0889
0.0821,0.1125
0.1462,0.0102
0.2068,0.0323
0.0635,0.0427
0.2072,0.0281
3.1581,0.1957
0.02,4.5556
0.09,0.0989
0.4671,0.1059
0.4373,0.1254
0.4802,0.0234
0.2589,0.0865
0.1446,0.021
0.0338,0.69
0.0466,0.0812
0.0245,1.3333
0.0304,0.216
0.0413,0.0351
0.0251,1.2818
0.0451,0.3383
0.0323,0.3803
0.0567,0.0471
0.0529,0.1198
0.1518,0.0294
0.1751,0.3265
0.0699,0.4353
0.0132,0.0132
0.0012,0.9226
0.0117,0.0117
0.0098,0.1091
0.0083,0.336
0.0141,0.3178
-8.0E-4,2.6
0.0233,1.9125
0.0368,0.6331
0.0401,0.4582
0.0336,0.3228
0.0384,0.8373
0.0356,0.4833
0.0465,0.6727
0.042,0.5556
0.0375,0.2542
0.0424,1.2796
0.0475,0.4179
0.052,0.1899
0.0513,0.1528
0.0649,0.5526
0.0781,0.6477
0.0812,0.5093
0.0698,0.3794
0.0551,0.0515
0.065,0.2059
0.0439,0.3638
0.1034,0.0693
0.1304,0.0219
0.0214,1.7792
0.0185,0.5289
0.0205,0.1919
0.0351,0.7638
0.0294,0.5233
0.0185,0.1741
0.0431,0.6641
0.0358,0.2345
0.0569,0.221
0.0921,0.0835
0.0835,0.2084
0.1034,0.8497
0.0083,15.6
0.0184,3.381
0.0274,1.0296
0.0209,0.6457
0.0407,0.5654
0.063,0.6667
0.0575,0.6106
0.0632,0.5266
0.0796,0.1323
0.0555,0.2397
0.1162,0.1494
0.0268,0.4565
0.0233,0.7519
0.0258,0.075
0.0155,0.3673
0.0391,1.0579
0.0357,0.2268
0.036,0.2414
0.0486,0.2462
0.0518,0.2131
0.0549,0.4149
0.0635,0.4699
0.086,0.0938
0.0557,0.2109
0.0819,0.2009
0.0992,0.2232
0.0879,3.5309
0.1174,0.1442
0.0145,0.9595
0.013,0.1096
0.0237,0.669
0.034,0.7801
0.037,0.8408
0.0373,1.763
0.0982,0.7887
0.131,0.1686
0.0484,0.2941
0.0357,0.9615
0.0552,0.3019
0.4668,0.0119
0.0148,0.0148
0.0162,0.0162
0.0191,0.0191
0.1029,0.2518
0.1101,0.341
0.5004,0.0992
0.0199,0.0199
0.005,0.6894
0.0632,0.0128
0.0375,0.1261
0.038,0.1515
-0.0025,1.1799
0.039,0.1573
0.0388,0.1023
0.0653,0.0532
0.015,1.2727
0.0171,1.25
0.041,0.1111
0.0136,0.971
0.0167,0.8977
0.0397,0.0615
0.0167,1.3857
0.0185,1.0787
0.0438,0.168
0.0181,0.866
0.2716,0.0513
0.1371,0.0661
0.1146,0.3659
0.0316,0.512
0.0479,0.646
0.0657,0.2908
0.2825,0.2515
0.0272,0.5543
0.0574,0.1503
0.0991,0.0471
0.029,0.7059
0.1303,0.0377
0.1345,0.0931
0.127,0.1301
0.0495,48.5
0.0191,0.0191
0.2827,0.1979
1.8264,0.1062
1.7769,0.0779
0.0963,0.2268
0.1089,0.2561
0.2164,0.1585
0.0215,1.0476
0.0314,0.1587
0.1007,0.1495
0.2168,0.2262
0.096,0.3026
0.0053,0.0053
0.0144,2.1304
0.0454,0.3606
0.0609,0.1506
0.0796,0.1828
0.1125,0.0679
0.1171,0.1551
0.1812,0.221
0.541,0.0068
0.0168,0.2174
0.1274,1.7877
0.0492,0.1071
0.0699,0.2178
0.1793,0.3239
0.1757,0.2472
0.4714,0.4798
0.0064,0.0064
0.0178,0.3185
0.0148,0.3509
0.0566,0.2978
0.2002,0.2171
0.5627,0.3397
0.0052,0.0052
0.0092,0.4802
0.0499,0.0708
0.1279,0.2201
0.0082,0.0082
0.1433,0.0999
0.0019,0.0019
0.168,0.219
0.0733,0.1208
0.0882,0.4435
0.0742,0.0596
0.0817,0.2414
0.0724,0.0893
0.0917,0.0903
0.1535,0.5527
0.1061,1.3217
0.1841,0.3749
0.0322,0.0322
0.3287,0.0258
0.0403,3.1979
0.2622,2621.0
0.4448,0.0316
0.4441,0.0323
0.262,0.0289
0.2515,0.9361
0.2618,0.2845
0.3564,0.0614
0.2609,0.2609
0.2609,0.2609
0.2609,0.2609
0.2609,0.2609
0.2609,0.2609
0.2609,0.2609
0.2609,0.376
0.2609,0.426
0.2609,0.4034
0.2609,0.6493
0.2609,0.5766
0.0309,0.0309
0.1578,0.0823
0.2027,0.0486
0.2574,0.0122
0.2595,0.067
0.3754,0.0503
0.4521,0.0371
0.4658,0.0068
0.4831,0.0199
0.4994,0.0604
0.6065,0.0739
0.5943,0.0586
0.615,0.0011
0.6668,0.0805
0.2714,0.0487
0.2465,0.1134
0.2829,0.051
0.3071,0.0115
0.4068,0.0147
0.4534,0.0316
0.4544,0.0504
0.531,0.0673
0.5767,0.0111
0.6088,0.042
0.6193,0.0034
0.6826,0.038
0.6938,0.0249
0.4176,0.0774
0.3825,0.1554
0.5102,0.0498
0.2608,0.2608
0.2608,0.4304
0.2608,5.5996
0.2608,0.2608
0.2608,0.2608
0.2608,0.2608
0.2608,0.2608
0.2608,0.5251
0.2608,0.1732
0.2608,0.1535
0.2608,0.4956
0.2608,0.5123
0.0805,0.3714
0.2419,0.0844
0.236,0.0142
0.2509,0.0068
0.2739,0.0111
0.3132,0.1909
0.3702,0.05
0.3626,3.0E-4
0.4149,0.0136
0.4092,0.0643
0.4417,0.0244
0.5078,0.0373
0.5193,0.0779
0.5199,0.0826
0.5767,0.0992
0.5567,0.093
0.6416,0.0397
0.2266,0.1043
0.2417,0.0298
0.2758,0.0215
0.2887,0.0201
0.3011,0.0394
0.3224,0.1656
0.3589,0.0344
0.3655,0.0409
0.3948,0.0627
0.5212,0.0424
0.6016,0.1223
0.5737,0.0721
0.2608,0.2608
0.2608,0.2608
0.2608,0.2608
0.2608,0.1168
0.2608,0.0509
0.2608,0.4147
0.2608,0.3304
0.2608,0.4417
0.2608,0.4634
0.1179,0.1102
0.3327,0.0199
0.3939,0.0495
0.4741,0.0711
0.5231,0.0745
0.6101,0.0282
0.3215,0.0203
0.3573,0.0634
0.438,0.0223
0.4783,0.0689
0.4594,0.0443
0.5087,0.0908
0.5273,0.0122
0.2606,2.5994
0.1005,0.1356
0.1705,0.2118
0.1064,0.2343
0.2605,85.8333
0.1241,0.0267
0.3211,0.0633
0.2575,0.1621
0.5772,0.1184
0.2582,0.0867
0.0982,0.1846
0.2717,0.0345
0.2568,0.2568
0.1436,0.1534
0.2564,5.4904
0.3532,0.1266
0.2561,0.3114
0.5359,0.0221
0.5102,0.0685
0.3473,0.1619
0.3007,0.007
0.2933,0.0051
0.2868,0.0536
0.2557,0.3877
0.8653,0.0833
0.9276,0.021
