TLOAD2,TLOAD2_RE
0.2126,0.0301
0.2057,0.0616
0.007,0.007
0.2233,0.2233
-0.0036,0.0036
1.5282,0.092
0.0131,0.5451
0.0792,0.1171
0.0485,0.2836
0.2087,2.0159
0.0501,0.4195
0.0621,0.1339
0.0591,0.0619
0.2087,2.7945
0.2058,0.3924
0.2076,0.4703
0.0693,2.6094
0.0043,0.3385
0.3887,0.036
0.3831,0.0182
0.3851,0.0519
0.1258,0.7793
0.0285,0.3581
0.0353,0.1829
0.0287,0.2213
0.0391,3.0309
0.0635,0.427
0.0575,0.4024
0.0427,0.6745
0.0105,0.4293
6.0E-4,0.9694
0.0075,0.6862
0.0151,0.274
0.3,0.0895
0.2305,0.2305
0.4076,0.2891
0.4415,0.1261
0.3043,0.6628
0.1515,0.1374
0.1426,0.1717
0.0262,0.3935
0.0303,0.0033
0.0167,0.3745
0.0234,0.1702
0.0199,0.2893
0.2087,7.6958
0.0119,0.2563
0.0299,0.3014
0.0214,0.3903
0.0032,0.7037
0.0166,0.6227
0.0204,0.5267
0.0212,0.5647
0.196,3.0833
0.0138,0.682
-0.0169,10.9412
-0.0185,10.7368
-0.0208,11.4
0.196,92.3333
-0.0251,0.0251
-0.0203,0.0203
0.0184,0.3185
0.0207,0.2038
0.1336,0.1517
0.1274,0.1596
0.1263,0.1483
0.1174,0.1186
0.123,0.1183
0.2001,0.4222
0.0298,0.2957
0.0308,0.2727
0.1563,0.4232
0.0493,0.1573
0.2485,0.0703
0.2305,0.0871
0.2384,0.064
0.119,0.5237
0.115,0.3188
0.1231,0.4021
0.2087,7.8432
0.0445,0.63
0.2087,5.6891
0.0381,0.1651
0.0441,0.2049
0.0095,0.331
0.0119,0.0846
0.0268,0.1779
0.2087,7.2165
0.0139,0.6797
0.019,0.019
0.4813,0.1136
0.3487,0.0107
0.3879,0.0478
0.3906,0.2004
0.4176,0.0785
0.0507,0.367
0.0411,0.4513
0.2833,0.01
0.2876,0.0707
0.2424,1.0577
-0.0052,2.0612
0.2087,56.9722
-3.0E-4,1.0811
0.0047,0.3056
0.0298,0.1686
0.03,0.049
0.0177,0.3723
0.0549,0.2179
0.0623,0.3344
0.1587,0.0376
0.3317,0.034
0.3406,0.0464
0.2368,0.2969
0.0808,0.1643
0.0739,0.4605
0.0561,0.1736
0.1134,0.1304
0.1185,0.1287
0.1096,0.2087
0.2045,0.5719
0.2251,4.4902
0.3142,0.0362
0.059,0.0172
0.0691,0.4426
0.1957,1.2494
0.7814,0.082
0.592,0.0074
0.5913,0.0403
0.6022,0.015
0.1223,0.1901
0.143,0.0229
0.1443,0.0899
0.5526,0.0288
0.2494,0.4363
0.3605,0.0249
0.2462,0.0581
0.1212,0.1337
0.2109,2.0043
0.1172,0.1821
0.1097,33.2813
0.1295,39.4688
0.6711,0.0151
0.6559,0.0553
0.6145,0.0832
0.6386,0.0746
0.2497,0.6321
0.3495,0.0559
0.199,0.5009
0.3469,0.057
0.5784,0.0666
0.5914,0.0741
0.5624,0.0455
0.0537,0.1187
0.0152,0.5394
0.0077,0.725
0.2087,4.5066
0.0464,0.0848
0.0387,0.2037
0.0368,0.2333
0.062,0.1958
0.0566,0.2697
-0.0045,0.0045
0.2109,0.2109
0.2497,0.4631
0.7202,0.0972
0.6811,0.0699
0.699,0.1527
0.7161,0.1143
0.5638,0.1034
0.4982,0.1099
0.5531,0.0231
0.5246,0.1588
0.3889,0.0736
0.3997,0.0707
0.3865,0.1066
0.4118,0.0555
0.1396,0.149
0.1289,0.0548
0.1365,0.1035
0.2376,0.5753
0.5402,0.188
0.5673,0.0367
0.5466,0.1261
0.4672,0.0301
0.4505,0.0595
0.2495,0.5233
0.3996,0.0436
0.2509,0.1757
0.1111,0.3101
0.4943,0.1095
0.1575,0.1084
0.1776,0.2073
0.1506,0.0539
0.3041,0.0222
0.2804,0.0831
0.2769,0.0057
0.2359,0.2359
0.1275,0.0535
0.2592,0.0027
0.2129,0.1602
0.4388,0.0578
0.4746,0.0377
0.449,0.0188
0.4695,0.0273
0.4961,0.0092
0.2495,1.2377
0.3549,0.0128
0.316,0.1652
0.2984,0.0581
0.2991,0.218
0.2458,0.1305
0.259,0.0031
0.3672,0.0751
0.2495,0.4047
0.4431,0.0502
0.2399,0.0332
0.2358,0.0266
0.4385,0.0461
0.4456,0.0313
0.4302,0.0627
0.5024,0.8777
0.4716,0.0789
0.4246,0.0354
0.2826,0.0198
0.2795,0.0295
0.2064,0.0711
0.2009,0.035
0.207,0.0643
0.1948,0.0057
0.2391,0.1064
0.2301,0.14
0.2348,0.1224
0.4553,0.0664
0.4611,0.084
0.4493,0.0956
0.455,0.0773
0.3232,1.4356
0.1302,1.2565
0.4558,0.0162
0.5428,0.08
0.2929,0.0878
1.4116,0.2885
1.5728,0.1594
0.4951,0.0533
0.4805,0.0863
0.2429,0.4476
0.4677,0.1152
0.4084,0.048
0.4099,0.0423
0.5035,0.0252
0.4823,0.0404
0.2497,0.4603
0.2447,0.2447
0.1409,0.129
0.1411,0.1172
0.1325,0.0417
0.1373,0.0594
0.2495,0.2495
0.4034,0.0195
0.3936,0.0624
0.3946,0.0254
0.3934,0.0561
0.4016,0.026
0.2345,0.2345
0.019,0.019
0.0181,0.0181
0.2345,42.4259
0.0075,0.0075
0.0275,0.0275
0.0218,0.0218
0.0243,0.0243
0.2429,0.2429
0.2429,0.0778
0.3121,0.0528
0.2903,0.0139
0.1891,0.4864
0.063,0.774
0.1326,1.7683
-5.3382,18.2757
0.3491,0.1035
0.3598,0.0014
0.2081,0.2623
0.2153,0.2861
0.258,0.1653
0.1388,0.4396
0.0537,0.6422
0.036,0.1111
0.0335,0.1321
0.0844,1.7403
0.0476,0.2935
0.0465,0.3596
0.0624,0.95
0.0104,0.3333
0.2087,18.5047
0.2087,8.8443
0.0086,0.5764
-0.0076,1.717
0.0097,0.6441
0.0415,0.0072
0.0323,0.061
0.1054,0.9887
0.1064,0.7973
0.019,0.027
0.1085,0.115
0.0804,0.0552
0.4996,0.0796
0.5917,0.1358
0.2494,0.5539
0.5654,0.1007
-0.0138,7.0
-0.009,4.913
0.0667,0.1694
0.0084,0.5532
0.0471,0.2493
0.2671,0.1176
0.2495,0.4807
0.0214,0.0214
0.0181,0.0181
0.0098,0.0098
0.2502,0.0688
0.234,0.2062
0.0268,0.0268
0.0161,0.0161
0.1934,0.0568
0.2109,0.1935
0.1674,0.0961
0.3036,0.3396
0.1422,0.0954
0.0948,0.0911
0.1236,0.0112
0.4064,0.1327
0.2497,0.1851
0.2977,0.0402
0.2953,0.0356
0.2495,0.3787
0.0318,0.3042
0.012,7.6667
0.2119,23.9294
0.456,0.0269
0.4471,0.0587
0.4329,0.0993
0.4485,0.0384
0.4359,0.0462
0.4379,0.0445
0.2494,0.2494
0.2497,0.2497
0.015,3.6875
0.0216,4.8378
0.0844,0.2197
0.0799,0.2743
0.0557,0.1826
0.0575,0.5052
0.0528,0.1786
0.2233,0.0754
0.2219,0.1226
0.204,0.193
0.1986,0.0222
0.2939,0.7866
0.2437,0.309
