TLOAD17,TLOAD17_RE
0.231,0.0145
0.2289,0.0069
0.0339,0.0339
0.2987,0.0074
0.0264,0.0264
0.2216,7.6902
0.1694,0.0
0.3421,0.056
0.2473,0.0163
0.2948,0.0057
0.2426,0.03
0.2366,0.3915
0.2449,0.2899
0.2948,0.0057
0.3255,0.0592
0.326,0.0667
0.1435,0.0583
0.0658,0.5165
0.4105,0.0288
0.4016,0.0577
0.385,0.0387
0.1508,0.1313
0.0987,0.1267
0.0965,0.3129
0.1328,2.3451
0.0967,0.1115
0.0793,0.3681
0.1293,0.4862
0.1677,1.1864
0.0558,0.3915
0.052,0.2591
0.0562,0.6578
0.0654,0.4664
0.336,0.0323
0.2992,0.0091
0.0706,2.0696
0.1141,6.5066
0.1087,4.5744
0.2885,0.0447
0.2882,0.0059
0.0998,0.0081
0.1876,0.0582
0.2218,0.0018
0.2188,0.0557
0.2345,0.084
0.2948,0.0057
0.1825,0.0593
0.0727,0.4172
0.0742,0.481
0.0548,1.9149
0.1046,0.0534
0.1057,0.0764
0.1179,0.0603
0.2914,0.0172
0.0697,0.0235
0.0311,9.7241
0.0286,14.0526
0.0289,4.1607
0.2914,0.0172
0.0248,0.0248
0.0266,0.0266
0.224,0.082
0.2194,0.1529
0.1811,0.0384
0.1814,0.074
0.1727,0.0105
0.2684,0.0303
0.2591,0.0619
0.2925,0.0135
0.1721,0.1115
0.1885,0.0167
0.2105,0.3696
0.0692,0.4946
0.3059,0.0716
0.2992,0.0091
0.2838,0.0161
0.1597,0.0774
0.1736,0.0329
0.1908,0.1151
0.2948,0.0057
0.1902,0.1486
0.2948,0.0057
0.1866,0.1602
0.2025,0.1024
0.1853,0.1159
0.1789,0.1148
0.1151,0.2193
0.2948,0.0057
0.0968,0.0482
0.0358,0.0358
0.5174,0.0825
0.2112,0.4876
0.3359,0.1446
0.312,0.3554
0.4071,0.5767
0.1245,0.065
0.1083,0.1608
0.2018,0.0427
0.1857,0.1501
0.3023,0.0196
0.2882,0.1787
0.2948,0.0057
0.1336,0.6214
0.2681,0.2701
0.1509,0.098
0.162,0.0144
0.1446,0.1002
0.1068,0.783
0.1267,0.1027
0.183,0.2282
0.4053,0.057
0.3819,0.0337
0.3008,0.0145
0.3174,0.2097
0.3421,0.0138
0.2992,0.1218
0.1619,0.1827
0.1919,0.0313
0.1931,0.0814
0.2937,0.0095
0.134,0.5759
0.3004,4.3643
0.1581,0.0554
0.1781,0.2595
0.2913,0.0175
0.7595,0.1495
0.6022,0.0887
0.6072,0.0855
0.6004,0.0804
0.1395,0.0029
0.2129,0.0452
0.1713,0.078
0.5616,0.006
0.3042,0.026
0.3743,0.007
0.2181,0.4913
0.1743,0.0181
0.2954,0.0037
0.1681,0.0973
0.0507,15.3548
0.0548,16.6774
0.6765,0.0868
0.6645,0.1175
0.6323,0.093
0.6546,0.0437
0.3043,0.0263
0.2805,0.1529
0.2593,0.0372
0.2494,0.1788
0.5622,0.0993
0.5598,0.0741
0.5799,0.0722
0.1246,0.0873
0.085,0.3117
0.0734,0.4563
0.2948,0.0057
0.1059,0.0355
0.1138,0.1589
0.0969,0.0464
0.0997,0.1674
0.0943,0.1997
0.031,0.031
0.2954,0.0037
0.3043,0.0263
0.7422,0.0382
0.686,0.0414
0.7266,0.0549
0.7273,0.0267
0.1484,0.6559
0.5478,0.0445
0.5461,0.0431
0.5338,0.2004
0.403,0.0571
0.4101,0.0205
0.4067,0.0337
0.4258,0.0247
0.1455,0.1548
0.1393,0.204
0.138,0.1265
0.301,0.0152
0.5976,0.142
0.5675,0.1483
0.5844,0.0969
0.4687,0.0535
0.4541,0.0608
0.3042,0.026
0.4,0.3491
0.3046,0.0273
0.108,0.1022
0.519,0.0093
0.1651,0.0919
0.1789,0.1793
0.1636,0.1198
0.315,0.0814
0.3036,0.0422
0.2883,0.07
0.3006,0.0138
0.0842,0.6896
0.272,0.9195
0.1831,0.3191
0.455,0.0481
0.4789,0.0362
0.4663,0.0503
0.4716,0.0718
0.4862,0.1107
