TLOAD19,TLOAD19_RE
0.2744,0.0869
0.2933,0.0054
-0.0034,1.2
-0.0135,0.0135
0.0031,0.8198
0.3187,0.0902
0.4773,0.0728
0.4341,0.1965
0.0407,0.8732
0.3274,1.2182
0.1964,0.02
0.2869,0.1382
0.138,0.2367
0.0929,0.4464
0.2824,1.7311
0.2791,0.0179
0.2246,0.1418
0.2944,0.0768
0.2912,0.1592
0.2773,0.0221
0.4318,0.1129
0.4384,0.1936
0.5004,0.081
0.5471,0.0625
0.587,0.0048
0.5756,0.0299
0.6797,0.0132
0.7556,0.0258
0.2025,0.0931
0.2989,0.0364
0.3683,0.135
0.3905,0.0637
0.4175,0.0321
0.3393,0.0111
0.544,0.0131
0.8308,0.0189
-0.0188,0.0188
0.1317,0.0217
0.2158,0.0165
0.2653,0.0404
0.3229,0.0803
0.4505,0.0479
0.5562,0.0484
0.5946,0.0478
0.5892,0.0555
0.6703,0.0583
0.8271,0.0214
0.1415,0.018
0.1392,0.0197
0.2686,0.0443
0.4883,0.0192
0.4523,0.0436
0.5978,0.0259
0.5293,0.0334
0.5909,0.062
0.6036,0.0474
0.5892,0.1277
0.6308,0.0261
0.596,0.1565
0.756,0.0033
0.831,0.1202
0.2871,0.4377
0.4183,0.0104
0.408,0.0192
0.4918,0.0083
0.5942,0.0254
0.7662,0.0112
0.7108,0.0284
0.4636,0.1645
0.3593,0.1089
0.4933,0.0427
0.5552,0.0583
0.5379,0.0096
-0.6748,3.2183
0.3364,0.0344
-6.0338,20.3205
0.0815,0.0894
0.252,0.0047
0.2335,0.0679
0.2924,0.0747
0.3962,0.0377
0.4804,0.0152
0.424,0.013
0.4189,0.0356
0.4827,0.0288
0.5103,0.019
0.5298,0.0086
0.5282,0.0507
0.4993,0.0344
0.5651,0.0693
0.5972,0.0299
0.2284,0.0218
0.218,0.0246
0.2381,0.0089
0.2777,0.0225
0.3817,0.053
0.4207,0.0186
0.4365,0.0225
0.4101,0.0212
0.5061,0.0038
0.5171,0.0023
0.5655,0.0548
0.5446,0.0084
0.5667,0.0898
0.5978,0.0586
0.6838,0.046
0.6293,0.016
0.612,0.0107
0.7189,0.058
0.2467,0.111
0.2868,0.0017
0.266,0.0696
0.2887,0.0497
0.4422,0.039
0.4117,0.0298
0.4327,0.006
0.52,0.0134
0.5161,0.0212
0.5255,0.0166
0.4909,0.0291
0.5506,0.057
0.6142,0.0177
0.6719,0.0358
0.6568,0.0287
0.6773,0.0159
0.2341,0.0059
0.2484,0.0297
0.2842,0.018
0.2883,0.0576
0.2834,0.0523
0.4508,0.0547
0.4902,0.0181
0.5109,0.0384
0.5148,0.0212
0.5398,0.0233
0.5807,0.0614
0.1406,0.1668
0.2368,0.0055
0.2574,0.0498
0.2861,0.016
0.304,0.016
0.39,0.0041
0.4457,0.0717
0.4976,0.0289
0.526,0.0432
0.5398,0.0599
0.678,0.059
0.7119,0.0384
0.6252,0.0403
0.3489,0.2316
0.3793,3.0E-4
0.4234,0.0056
0.5086,0.0367
0.6209,0.0137
0.6015,0.0266
0.8131,0.0211
0.0853,0.1002
0.3631,0.012
0.4262,0.0026
0.6704,0.0544
0.5754,0.042
0.5219,0.0118
0.6202,0.0441
0.6565,0.0668
0.1016,0.001
0.3593,0.2102
0.3689,0.0022
0.3887,0.0147
0.4677,0.0163
0.4155,5.0E-4
0.4316,0.0312
0.481,0.04
0.4922,0.0053
0.5726,0.0428
0.5784,0.0208
0.6416,0.0286
0.3736,0.0338
0.4377,0.0104
0.4813,0.008
0.4842,0.0346
0.5026,0.0335
0.5987,0.0382
0.6648,0.0218
0.107,0.0388
0.3947,0.009
0.5397,0.0185
0.1641,0.0676
0.1679,0.1064
0.1075,0.128
0.1666,0.7705
0.3327,0.0646
0.3336,0.0733
0.3411,1.4952
0.6113,0.0633
0.9162,0.3759
0.6729,0.1224
0.2781,0.1825
0.2118,0.0342
0.2944,0.0068
0.2099,0.0014
0.3012,0.0422
0.2681,0.0965
0.0722,0.3973
0.1249,0.0473
0.1274,0.0238
0.4146,0.1498
0.5955,0.0602
0.1824,1.7975
0.0977,0.796
0.1904,0.6429
0.3086,0.0623
0.329,0.0229
0.341,0.2781
0.4543,0.0204
0.3931,0.1508
0.3089,0.0622
0.592,0.1637
0.3048,0.0315
0.3095,0.078
0.3604,0.5122
0.2084,0.2524
0.0627,0.8622
0.3771,0.0181
0.5601,0.062
0.1539,25.5345
0.2915,0.4727
0.5594,0.0796
0.346,0.0226
0.4466,0.7377
0.3012,0.3003
0.3042,0.0093
0.4782,0.8273
0.4417,5.7642
0.7746,0.0432
0.3049,0.047
0.5292,1.8605
0.2755,0.1575
0.3731,0.118
0.2986,0.078
0.3319,0.0541
0.399,0.2449
0.579,0.0525
0.6542,0.5794
0.6769,0.7348
0.4078,0.8793
0.5068,0.1997
0.5144,0.3616
0.5493,0.1983
0.6159,0.1618
0.3389,0.032
0.3918,0.619
0.3425,0.5168
0.5339,0.2419
0.7339,0.038
0.7688,0.3545
0.5449,0.2101
0.6623,0.1483
0.9479,0.3008
0.6017,0.0323
0.5393,0.0936
0.7649,0.0728
0.5472,0.1607
0.7605,0.6143
0.384,0.3685
0.3832,0.0817
0.5953,0.0134
0.8116,0.3457
0.5722,0.0589
0.5717,0.1696
0.7397,0.051
-0.0138,0.0138
-0.0149,0.0149
0.2526,0.079
0.2162,0.2743
-0.0138,0.0138
0.0859,0.3095
0.3428,0.2777
0.37,0.1789
-0.0149,0.0149
0.5239,0.0163
1.5626,0.0455
1.7484,0.1089
-0.011,0.011
0.3546,0.1277
0.0768,0.3474
0.1078,0.0802
0.5322,0.0356
1.4653,0.0429
0.1612,0.1069
0.2234,0.3238
0.428,0.6006
0.1037,0.8068
0.0056,0.0056
0.3645,0.125
-0.0165,0.0165
-0.0093,0.0093
0.8732,0.4934
0.8241,0.3655
0.0665,7.3125
0.0883,0.2332
0.0386,0.2867
0.1579,0.1592
0.1332,4.9464
0.3048,0.037
0.2999,0.0536
0.058,0.1618
0.0393,0.3752
0.0468,0.1643
0.0685,0.1616
0.2835,0.1269
0.4938,0.1106
0.2789,0.0584
0.0427,0.2348
0.1788,0.3056
0.2838,0.8996
0.3007,0.3794
0.2785,1.1606
0.4946,0.0292
0.6095,0.0929
0.4959,0.005
0.168,0.08
0.5907,0.0293
0.3798,0.0311
0.1849,0.3674
0.2707,0.0363
0.2039,0.0119
0.2018,0.0354
0.2073,0.0633
0.5697,0.0298
0.2829,0.1303
-0.0125,126.0
0.8081,0.2895
-0.0082,2.5185
0.7393,0.0445
0.8542,0.1195
-0.0083,84.0
0.7563,0.6695
0.3708,0.1216
0.3344,0.0728
0.187,0.1584
0.4077,0.2278
-0.012,121.0
0.6917,0.2586
-0.0132,45.0
0.0564,1.1203
0.0807,37.6818
0.4542,0.1349
0.3319,0.0631
-0.0076,0.0076
0.332,0.1279
0.4668,0.0575
0.4407,0.0399
0.4813,0.1335
0.4266,0.0415
0.442,0.0679
-0.0076,0.0076
0.3187,0.3078
0.3314,0.4868
-0.0111,0.0111
-0.0061,0.0061
-0.0122,0.0122
0.2197,1.3751
-0.0141,0.0141
0.1004,0.2417
0.1451,0.0614
-0.0083,0.0083
0.0934,0.5113
0.1182,0.0787
-0.0069,0.0069
0.0234,0.5923
0.1668,0.1047
0.1387,0.5175
0.0099,98.0
0.3743,0.5622
0.0069,0.0069
0.0128,127.0
0.0142,0.0142
0.225,0.7428
0.3201,0.0028
0.0502,0.3531
0.0796,0.1227
0.0556,0.4709
0.345,0.0632
0.2801,0.0476
0.2963,0.0299
0.2346,0.0164
0.3121,0.135
0.0978,0.1783
0.2454,0.0605
0.2508,0.1379
0.0885,0.0885
0.1733,0.0724
0.2453,0.0806
0.1084,0.0927
0.2552,0.0528
5.2791,0.3081
0.0191,3.0638
0.1018,0.1948
0.5664,0.1176
0.5364,0.1085
0.5321,0.0403
0.3231,0.0804
0.1807,0.018
0.0412,0.4306
0.059,0.1069
0.0398,2.1094
0.0446,0.289
0.0568,0.1159
0.022,0.2903
0.0512,0.0513
0.0434,0.6502
0.09,0.0976
0.0835,0.3191
0.2101,0.1116
0.2003,0.0261
0.0987,0.0281
0.011,0.011
0.0732,1.7939
0.0099,0.0099
0.0378,1.4868
0.0635,1.2281
0.0436,1.2132
0.0835,0.2518
0.2111,0.1774
0.1445,0.0411
0.1717,0.0
0.0445,0.0206
0.0537,0.0394
0.1397,0.192
0.2129,0.0157
0.2452,0.0677
0.0554,0.2176
0.2041,0.0262
0.234,0.0429
0.0771,0.0141
0.2082,0.0545
0.2432,0.0053
0.396,0.0892
0.1274,0.9216
0.1817,0.1753
0.3331,0.048
0.101,0.14
0.1901,0.1956
0.4031,0.0522
0.1511,0.5155
0.1872,0.2014
0.0477,0.4196
0.1923,0.1231
0.1137,0.0356
0.1876,0.0906
0.0608,0.4651
0.1725,0.061
0.1764,0.2007
0.2054,0.1681
0.3531,0.0587
0.1576,0.1894
0.2437,0.1488
0.0324,0.6607
0.1534,0.303
0.1793,0.1167
0.0403,0.0981
0.2221,0.129
0.2262,0.4196
0.1884,0.1844
0.1509,0.0053
0.2251,0.0695
0.1693,0.0516
0.14,0.0744
0.1844,0.1087
0.2152,0.1085
0.181,0.1336
0.0664,0.3201
0.2429,0.0512
0.0636,0.2137
0.2189,0.1331
0.1015,0.0937
0.09,0.1921
0.2185,0.0884
0.2256,0.1177
0.1389,0.5365
0.2959,0.1378
0.1566,0.5116
0.3481,0.0569
0.1445,0.0133
0.2532,0.0177
0.2078,0.2385
0.1889,0.1073
0.2148,0.0214
0.199,0.0515
0.1142,0.3079
0.0525,0.3852
0.2404,0.2097
0.1696,0.2714
0.1029,0.1044
0.0431,0.1841
0.0768,0.2713
0.884,0.0136
-0.0031,0.0031
9.0E-4,9.0E-4
0.0023,0.0023
0.1856,0.3933
0.1941,0.4088
0.5897,0.0508
-0.004,0.004
0.0425,0.6958
0.0819,0.1038
0.0498,0.3003
0.0443,0.1909
0.0919,0.1645
0.052,0.4169
0.0628,0.0363
0.0903,0.2542
0.0196,1.2273
0.0232,0.771
0.0509,0.181
0.0198,1.475
0.0259,1.3545
0.0589,0.1663
0.0185,1.284
0.0234,0.7594
0.0549,0.2948
0.0312,1.3284
0.303,0.0887
0.2125,0.0162
0.2792,0.0141
0.0544,0.0264
0.1581,0.2185
0.2006,0.1069
0.3289,0.1404
0.0631,0.1168
0.2487,0.027
0.3828,0.9834
0.0659,0.0164
0.1723,0.0287
0.1919,0.2115
0.1943,0.1192
0.0716,58.6667
-0.0096,0.0096
0.2782,0.0791
1.2513,77.2063
1.5572,0.058
0.182,0.0271
0.1471,0.3111
0.356,0.0316
0.0178,0.2193
0.0274,0.3429
0.1569,0.1411
0.3667,0.0429
0.1685,0.2468
0.0137,0.0137
0.0308,0.7111
0.0834,0.3225
0.0971,0.2545
0.1316,0.0553
0.1776,0.0429
0.1791,0.0089
0.1012,33.8966
0.1657,12.0472
0.0322,0.8941
0.1823,11.0728
0.0895,0.3418
0.1003,0.1704
0.194,0.1815
0.0827,26.5667
0.1033,6.8258
0.0107,0.0107
0.0287,0.4069
0.0466,0.6408
0.1091,0.4059
0.19,0.1692
0.1082,4.5487
0.0165,0.0165
0.041,1.7891
0.1032,0.2213
0.293,0.0079
0.018,0.018
0.2884,0.2567
0.0149,0.0149
0.3448,0.4722
0.1482,0.0408
0.159,0.065
0.1102,0.1515
0.1268,0.2444
0.1185,0.2421
0.1351,0.1227
0.2,0.4334
0.1788,1.4833
0.2347,2.3529
-0.0228,0.0228
0.2783,0.0803
-0.0026,1.1912
0.2901,0.0299
0.4613,0.0418
0.4607,0.1466
0.2902,0.0296
0.1548,0.4645
0.2903,0.0293
0.2913,11.0871
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
-0.0223,0.0223
0.1361,0.0754
0.1855,0.0477
0.2525,0.1303
0.2438,0.0244
0.395,0.1604
0.4892,0.0253
0.4858,0.1327
0.5262,0.0153
0.5497,0.0292
0.6564,0.0383
0.6435,0.0235
0.6739,0.0184
0.7328,0.0746
0.2555,0.1739
0.2234,0.1334
0.2984,0.0454
0.3039,0.0977
0.431,0.059
0.4675,0.0956
0.5016,0.0251
0.5774,0.0238
0.6021,0.1196
0.6613,0.0685
0.6841,0.01
0.7568,0.0429
0.7909,0.0496
0.3634,0.0772
0.4358,0.0698
0.5278,0.0758
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.0668,0.2224
0.2467,0.0191
0.2275,0.0319
0.2279,0.0219
0.2676,0.0978
0.3028,0.1544
0.396,0.0073
0.3729,0.0676
0.4365,0.0283
0.4544,0.0156
0.4449,0.0059
0.542,0.1233
0.5592,0.0795
0.5489,0.0294
0.6269,0.0069
0.6216,0.0315
0.72,0.0761
0.2175,0.1012
0.2298,0.0373
0.2835,0.0331
0.2806,0.0144
0.3004,0.0441
0.3238,0.1501
0.3763,0.0144
0.3759,0.0032
0.4121,0.0103
0.5598,0.0495
0.6979,0.0539
0.6244,0.0048
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.2906,0.0283
0.0856,0.1753
0.3529,0.1975
0.4121,0.018
0.5133,0.0274
0.5726,0.3121
0.6827,0.3231
0.3468,0.34
0.3816,0.0065
0.3904,0.2285
0.5153,0.0553
0.4958,0.0242
0.5703,0.0298
0.4735,0.1874
0.2907,0.0279
0.1544,0.0259
0.2337,0.0156
0.1439,0.062
0.2907,0.0279
0.1597,0.8148
0.3275,0.0152
0.2919,0.0239
0.6597,0.0124
0.2686,0.068
0.0681,0.3257
0.2635,0.1095
0.2921,0.0233
0.119,0.0916
0.2923,0.0226
0.3891,0.5379
0.2923,0.0226
0.5765,0.0218
0.5795,0.0122
0.3135,0.034
0.3001,0.002
0.3384,0.0692
0.3259,0.0156
0.2925,0.0219
