TLOAD9,TLOAD9_RE
0.2345,0.0422
0.2277,0.0143
0.0766,0.0766
0.2243,0.2243
0.0611,0.0611
0.3243,6.3705
0.1436,3.5587
0.2549,0.0275
0.2108,0.1378
0.2094,0.0767
0.2005,0.1663
0.1973,0.2359
0.2275,0.0294
0.2094,0.1089
0.2764,0.1624
0.2861,0.132
0.1274,1.0126
0.0836,0.5255
0.3757,0.0636
0.3779,0.0541
0.3533,0.1341
0.1623,1.6694
0.1067,0.3421
0.106,0.4115
0.2102,0.1632
0.1961,0.2045
0.1329,0.1215
0.1974,0.1723
0.2231,0.2052
0.0827,1.6677
0.0693,1.6552
0.0759,1.2324
0.0888,1.0274
0.3069,0.0831
0.2421,0.2421
0.1051,0.0821
0.154,0.0817
0.1701,6.0E-4
0.2378,0.1691
0.2258,0.2911
0.1081,0.1788
0.1535,1.6017
0.1801,0.792
0.1813,1.0325
0.1861,1.3118
0.2094,1.5168
0.1519,3.2789
0.0897,0.8306
0.0916,1.1553
0.076,3.2222
0.1008,0.0328
0.1065,0.1059
0.1122,0.0615
0.1966,2.2072
0.0727,0.3076
0.0484,20.0435
0.0502,19.9167
0.0456,18.0
0.1966,7.6991
0.0427,0.0427
0.0488,0.0488
0.1821,2.7937
0.1778,2.6286
0.1691,0.0714
0.1714,0.0409
0.1597,0.0779
0.2245,0.3043
0.2221,0.2777
0.2007,0.3622
0.1461,1.2651
0.1544,1.5733
0.1875,0.0718
0.1187,1.8881
0.2834,0.1191
0.2421,0.1116
0.2646,0.0509
0.1765,0.2334
0.1862,0.1967
0.1973,0.2543
0.2094,2.3504
0.165,1.1154
0.2094,2.3081
0.1517,0.7701
0.168,1.1266
0.1603,6.5258
0.1543,8.891
0.107,1.0
0.2094,2.3612
0.0929,0.4793
0.094,0.094
0.4317,0.2093
0.2234,0.3909
0.2555,1.5372
0.2855,0.2267
0.3093,2.3583
0.1152,0.0278
0.0978,0.0607
0.2235,0.0592
0.222,0.482
0.2542,1.3088
0.1989,32.7119
0.2094,33.9
0.1158,17.9836
0.1884,23.1538
0.1392,0.6
0.1428,0.803
0.123,0.6016
0.1129,0.0208
0.1244,0.2825
0.205,0.0322
0.3679,0.1669
0.3514,0.2017
0.2484,0.4346
0.2451,0.5483
0.2524,1.688
0.2309,1.6479
0.1475,0.1718
0.1787,0.0664
0.1727,0.0828
0.2052,0.6031
0.1754,0.0086
0.275,0.2443
0.1351,0.3397
0.1441,0.4313
0.1962,0.0156
0.6196,0.29
0.5083,0.1771
0.5132,0.1482
0.5073,0.1425
0.1322,0.3699
0.2347,0.0998
0.1981,0.253
0.4781,0.1572
0.2614,0.3826
0.3514,0.1008
0.2499,0.4469
0.1657,0.0333
0.2116,1.8289
0.1507,0.002
0.093,0.7782
0.0913,0.7851
0.548,0.1612
0.5336,0.2406
0.5264,0.1799
0.5489,0.1716
0.2616,0.6058
0.3171,0.0147
0.2991,0.0264
0.2929,0.0915
0.4822,0.1949
0.4896,0.0948
0.496,0.109
0.1608,0.2294
0.0976,0.5691
0.084,1.0048
0.2094,2.5017
0.111,0.0045
0.1234,0.1664
0.1049,0.3015
0.1093,0.3977
0.1032,0.3248
0.0596,0.0596
0.2117,0.2117
0.2616,0.4864
0.6097,0.1798
0.5681,0.2012
0.5931,0.1874
0.5964,0.1699
0.2327,0.6319
0.4665,0.1541
0.4604,0.2092
0.4392,0.3126
0.3643,0.0908
0.3772,0.0807
0.3631,0.0893
0.3841,0.1028
0.1834,0.5742
0.1747,0.5433
0.1787,0.4805
0.2493,0.5365
0.5286,0.1825
0.4762,0.1418
0.4982,0.0161
0.417,0.1052
0.4023,0.1645
0.2614,0.4439
0.3696,0.0255
0.2629,0.1611
0.158,1.2285
0.4532,0.1464
0.1999,0.4058
0.2131,0.2939
0.1925,0.2748
0.307,0.0322
0.298,0.0785
