TLOAD18,TLOAD18_RE
0.2292,0.0409
0.2265,0.0451
0.034,0.034
0.2935,0.0102
0.0315,0.0315
0.2601,9.8375
0.185,0.0838
0.353,0.037
0.258,0.0078
0.2861,0.0352
0.2501,0.0378
0.2378,0.3531
0.2506,0.0442
0.2861,0.0352
0.348,0.0505
0.3423,0.0457
0.1492,0.1134
0.0746,0.4535
0.419,0.0405
0.4028,0.0414
0.3984,0.0626
0.2094,0.3208
0.1045,0.4844
0.092,0.0636
0.1536,1.3814
0.1042,0.0854
0.0858,0.0337
0.1488,0.8146
0.1751,0.1121
0.0527,0.3979
0.0521,0.7082
0.0506,0.6115
0.0621,0.6214
0.3416,0.0625
0.2972,0.0023
0.0085,0.5792
0.0241,0.0243
0.0415,1.3446
0.3037,0.0761
0.3141,0.0586
0.1009,0.307
0.2062,0.0173
0.2415,0.0365
0.2321,0.0429
0.2488,0.0486
0.2861,0.0352
0.2105,0.2303
0.0726,0.3321
0.0769,0.6021
0.0594,3.2128
0.0987,0.2768
0.0936,0.2547
0.1079,0.3851
0.2796,0.0571
0.0602,0.0203
0.0269,7.9667
0.0222,7.88
0.0236,5.3784
0.2796,0.0571
0.0237,0.0237
0.0201,0.0201
0.2528,0.0072
0.241,0.1041
0.1802,0.0594
0.1749,0.0063
0.1659,0.0332
0.2632,0.0273
0.249,0.008
0.2817,0.05
0.186,0.0824
0.2041,0.0272
0.1914,0.2889
0.0803,0.8375
0.3131,0.0166
0.2972,0.0023
0.2878,0.0264
0.172,0.0035
0.1916,0.034
0.202,0.0615
0.2861,0.0352
0.2139,0.0724
0.2861,0.0352
0.2182,0.1467
0.2307,0.1356
0.2033,0.0068
0.1996,0.0273
0.127,0.3895
0.2861,0.0352
0.1044,0.1262
0.0424,0.0424
0.5383,0.0405
0.2562,0.3945
0.3555,2.1656
0.2907,0.3926
0.4216,0.0186
0.116,0.1519
0.1033,0.1314
0.1981,0.8292
0.1683,0.1483
0.3032,0.0225
0.3016,0.1189
0.2861,0.0352
0.1535,0.5626
0.2919,0.1998
0.1636,0.0206
0.1787,0.013
0.1611,0.0612
0.1094,1.0878
0.132,0.7507
0.1848,0.1026
0.4082,0.0597
0.3869,0.0655
0.3004,0.0131
0.3591,0.1263
0.3984,0.0963
0.3329,0.0832
0.1604,0.0559
0.1839,0.1261
0.1897,0.0556
0.2839,0.0426
0.0847,0.7089
0.2508,1.9506
0.1548,0.0128
0.1593,0.0834
0.2795,0.0574
0.6851,0.0545
0.6016,0.0658
0.608,0.0556
0.5975,0.0635
0.1592,0.1395
0.2204,0.0515
0.1711,0.1074
0.56,0.0139
0.3068,0.0346
0.3811,0.0627
0.2308,0.4329
0.169,0.0714
0.2872,0.0314
0.1681,0.1259
0.0764,23.6452
0.0735,26.2222
0.6773,0.0041
0.6692,0.0144
0.6292,0.0579
0.6446,0.0186
0.3069,0.035
0.2763,1.3199
0.27,0.3413
0.2479,1.4162
0.5698,0.0931
0.561,0.0681
0.5892,0.0451
0.1317,0.3892
0.0822,0.5166
0.0749,0.7707
0.2861,0.0352
0.1089,0.2474
0.1128,0.1246
0.0952,0.088
0.0969,0.1675
0.0879,0.1043
0.0304,0.0304
0.2872,0.0314
0.3069,0.035
0.7436,0.1027
0.6829,0.1292
0.7325,0.0932
0.7173,0.0798
0.1329,0.7947
0.5414,0.0074
0.5415,0.0304
0.5377,0.1664
0.4105,0.0182
0.4137,0.0051
0.4073,0.0219
0.43,0.016
0.1529,0.1927
0.1501,0.2303
0.1426,0.1273
0.3008,0.0144
0.5669,0.1897
0.5689,0.204
0.5729,0.0423
0.4706,0.038
0.4589,0.0523
0.3068,0.0346
0.3952,0.3328
0.3076,0.0373
0.1094,0.2962
0.5202,0.0039
0.1756,0.1793
0.1835,0.2315
0.1751,0.2018
0.3231,0.0949
0.3151,0.1404
0.292,0.0198
0.2999,0.0114
0.0764,0.5246
0.2718,0.0018
0.1782,0.3361
0.4589,0.0292
0.4803,0.0107
0.4681,0.0354
0.4766,0.0449
0.4919,0.08
0.3068,0.0346
0.3329,0.1297
0.3017,0.0151
0.3008,0.0609
0.325,0.0814
0.2747,0.0055
0.275,0.0269
0.3873,0.0366
0.3068,0.0346
0.4461,0.0599
0.2552,0.0906
0.2432,0.0349
0.4735,0.0053
0.4585,0.0685
0.4533,0.0888
0.5403,0.0643
0.4946,0.0315
0.3681,0.2796
0.3003,0.0108
0.2928,0.0081
0.223,0.2375
0.2244,0.1414
0.2186,0.0979
0.2166,0.0967
0.2891,0.025
0.2851,0.0385
0.2802,0.0551
0.4723,0.0478
0.4856,0.0523
0.483,0.0291
0.4718,0.0592
0.2627,3.2371
0.1065,0.6864
0.4227,0.2731
0.5295,0.2915
0.0922,0.4509
1.2726,0.0852
1.45,0.0751
0.5062,0.0872
0.3958,0.2276
0.3035,0.0235
0.4515,0.1279
0.4261,0.0031
0.4184,0.0992
0.4976,0.0482
0.4828,0.0159
0.3069,0.035
0.3044,0.0266
0.1558,0.2404
0.16,0.2094
0.1554,0.2314
0.1465,0.1175
0.3068,0.0346
0.4111,0.046
0.4045,0.0059
0.4102,0.0258
0.4004,0.0525
0.4065,0.0193
0.2992,0.009
0.0424,0.0424
0.0397,0.0397
0.2992,0.009
0.0371,0.0371
0.0467,0.0467
0.0476,0.0476
0.045,0.045
0.3035,0.0235
0.3035,0.0235
0.2898,0.0332
0.3115,0.0497
0.094,1.6705
0.1302,0.6376
0.1666,2.3793
1.7621,0.9549
0.3702,0.0199
0.3765,0.0016
0.1369,227.1667
0.058,0.058
0.0329,0.0329
0.0447,0.0447
0.238,0.0769
