TLOAD14,TLOAD14_RE
0.2953,0.0743
0.306,0.0921
0.1481,9.5035
0.1281,0.1281
0.1467,5.9526
0.3218,0.1026
0.4118,0.1044
0.4005,0.1605
0.1858,0.4117
0.3302,0.3331
0.2648,0.2214
0.3149,0.0211
0.2013,0.043
0.1845,0.4167
0.3341,1.3495
0.2963,0.2122
0.2614,0.1571
0.301,0.0111
0.3137,0.2149
0.2899,0.0469
0.381,0.0723
0.3901,0.0277
0.4244,0.1566
0.4478,0.1573
0.4631,0.1989
0.4535,0.1746
0.5288,0.2098
0.5311,0.2637
0.2578,0.1432
0.3112,0.1437
0.3383,0.0264
0.3563,0.1239
0.3777,0.0697
0.4232,0.1602
0.4513,0.161
0.6082,0.2074
0.1321,0.1321
0.2197,0.6013
0.2697,0.1752
0.2918,0.0411
0.3325,0.0394
0.3983,0.0508
0.4618,0.1003
0.4724,0.1289
0.4739,0.1696
0.5192,0.1673
0.6162,0.1897
0.2142,0.4969
0.2112,0.478
0.2893,0.1604
0.4217,0.1293
0.4082,0.0635
0.4587,0.5211
0.4338,0.0972
0.4657,0.1037
0.4729,0.156
0.4679,0.1322
0.4986,0.1735
0.4867,0.285
0.5704,0.1877
0.6151,0.2201
0.3007,0.1216
0.3848,0.0676
0.3974,0.098
0.4214,0.1034
0.4697,0.1532
0.5503,0.0979
0.5534,0.1523
0.4036,0.1079
0.3511,0.0441
0.4161,0.156
0.4498,0.166
0.4511,0.1682
-1.0707,1.0709
0.3228,0.0135
0.6331,0.9881
0.187,0.9705
0.2802,0.0988
0.2676,0.1867
0.3025,0.0735
0.3646,0.072
0.4118,0.2236
0.3758,0.0994
0.3713,0.0035
0.3971,0.152
0.4245,0.1423
0.4382,0.1267
0.4379,0.1492
0.4295,0.1073
0.4575,0.1082
0.486,0.1084
0.2633,0.2677
0.2638,0.3296
0.2687,0.1996
0.2928,0.1573
0.3573,0.0248
0.3691,0.1183
0.3877,0.11
0.3689,0.078
0.4186,0.1676
0.4313,0.1292
0.4499,0.1256
0.4523,0.1051
0.461,0.1709
0.4688,0.1244
0.5226,0.1962
0.4918,0.253
0.4831,0.1581
0.5433,0.2201
0.2818,0.0438
0.3023,0.1081
0.3036,0.1044
0.3081,0.0391
0.3859,0.0894
0.375,0.027
0.3824,0.0129
0.4284,0.1931
0.4364,0.1377
0.4428,0.0995
0.4208,0.0634
0.4552,0.0995
0.4911,0.1032
0.5295,0.1108
0.5156,0.1389
0.5146,0.1756
0.2652,0.1973
0.2723,0.0883
0.2959,0.0744
0.2927,0.0636
0.2907,0.036
0.3878,0.0317
0.4238,0.1226
0.4198,0.1194
0.4253,0.1661
0.4394,0.1283
0.4566,0.196
0.218,1.0279
0.2698,0.2549
0.2792,0.0928
0.2952,0.111
0.3144,0.0035
0.3644,0.037
0.3831,0.0775
0.4192,0.0767
0.4351,0.1038
0.4386,0.1385
0.5219,0.1776
0.5376,0.1713
0.4899,0.021
0.3563,0.0619
0.3472,0.0657
0.3752,0.0944
0.4272,0.1094
0.485,0.1736
0.4781,0.1609
0.6079,0.1634
0.1854,0.6962
0.3335,0.0684
0.3711,0.1088
0.5725,0.1432
0.4542,0.134
0.4367,0.1115
0.4836,0.1629
0.516,0.1644
0.2013,1.5513
0.3522,0.1077
0.3493,0.0065
0.362,0.016
0.4001,0.0713
0.3809,0.0637
0.3839,0.0507
0.4158,0.0357
0.4223,0.1204
0.465,0.0943
0.4741,0.0911
0.5228,0.1951
0.3528,0.0037
0.3754,0.1098
0.3924,0.091
0.4096,0.067
0.419,0.1719
0.4721,0.199
0.5303,0.1749
0.1926,1.0021
0.3588,0.0344
0.4488,0.1299
0.2508,0.0824
0.262,0.0068
0.2952,0.0958
0.3037,0.0604
0.323,0.0702
0.337,0.0874
0.3275,1.593
0.4915,0.079
0.6636,0.2533
0.4911,0.1838
0.3564,0.238
0.2494,0.1692
0.2985,0.0132
0.2462,0.1597
0.3063,0.0429
0.2858,0.0672
0.1694,0.7738
0.2016,0.5425
0.2003,0.5479
0.3915,0.0921
0.4558,0.1999
0.1881,6.494
0.1365,0.8056
0.1906,0.6058
0.3035,0.0869
0.3164,0.047
0.333,0.2315
0.4185,0.1088
0.3739,0.0589
0.3106,0.08
0.4935,0.2569
0.3139,3.0E-4
0.306,0.0877
0.3248,4.4497
0.2368,0.3439
0.1878,0.5238
0.3334,0.1572
0.429,0.3485
0.1751,6.3264
0.2487,0.1665
0.4874,0.2738
0.2948,0.4425
0.4158,0.0421
0.3683,0.26
0.2996,0.0446
0.3069,1.671
0.3935,0.2312
0.583,0.1584
0.3087,0.0881
0.4462,0.04
0.2558,0.2201
0.3239,0.1386
0.3406,0.1733
0.3137,0.0294
0.3335,0.139
0.4327,0.2216
0.4233,0.3632
0.5287,0.1661
0.3306,0.6025
0.3963,0.1695
0.4186,0.084
0.383,0.0301
0.471,0.3299
0.3058,0.0992
0.3208,0.1598
0.2883,0.3273
0.4265,0.2626
0.5418,0.1605
0.5207,0.227
0.4004,0.0263
0.5579,0.0478
0.8448,0.017
0.4089,0.0022
0.3916,0.2037
0.5412,0.0712
0.5439,0.1967
0.5074,0.3263
0.3457,0.343
0.2777,0.4418
0.3822,0.3126
0.5217,0.2938
0.4314,0.1959
0.5549,0.3594
0.5281,0.0724
0.1184,0.1184
0.1171,0.1171
0.322,0.0865
0.3177,0.1265
0.1182,0.1182
0.1736,0.115
0.3363,0.1406
0.1251,0.1251
0.117,0.117
0.4201,0.179
0.9501,0.3387
1.1286,0.0341
0.1184,0.1184
0.2008,0.0167
0.1805,0.2838
0.1332,0.1332
