TLOAD10,TLOAD10_RE
0.2435,0.0509
0.2368,0.0029
0.0923,0.0923
0.2497,0.2497
0.0759,0.0759
0.3356,6.3758
0.1707,0.1495
0.287,0.0185
0.2379,0.151
0.2395,0.0405
0.2291,0.0803
0.2256,0.161
0.2588,0.2948
0.2395,0.1564
0.302,0.1592
0.3125,0.0602
0.1512,1.1913
0.1054,0.6215
0.3818,0.0749
0.3839,0.0455
0.3587,0.1564
0.1711,0.9532
0.1287,0.5695
0.1293,0.3948
0.2111,0.1573
0.1959,0.2133
0.1334,0.0961
0.1994,0.2232
0.2269,1.2465
0.1028,2.4153
0.089,1.764
0.0971,1.3174
0.1097,1.5335
0.3177,0.0416
0.2551,0.2551
0.1135,0.0381
0.1644,0.4358
0.1755,0.5642
0.2685,0.2623
0.2544,0.1987
0.1302,0.3191
0.1811,0.2278
0.2101,0.0199
0.212,0.1137
0.2169,0.1227
0.2395,0.4113
0.181,0.1277
0.1101,1.142
0.1111,1.4048
0.0949,3.5407
0.1271,0.2013
0.1339,0.3127
0.1401,0.2268
0.2305,2.0733
0.0991,0.5364
0.073,32.1818
0.0746,26.6296
0.0694,25.6923
0.2305,4.987
0.0656,0.0656
0.0731,0.0731
0.213,0.2679
0.2105,0.3849
0.1926,0.0116
0.1958,0.1182
0.1844,0.0911
0.2546,0.1221
0.2534,0.1935
0.2334,0.1323
0.1739,0.2272
0.1827,0.3483
0.2138,0.0329
0.1192,1.6607
0.2943,0.1175
0.2551,0.0645
0.2748,0.0207
0.1828,0.1932
0.1926,0.1948
0.2054,0.2388
0.2395,0.585
0.1937,0.0222
0.2395,0.1951
0.1802,0.1919
0.1986,0.0392
0.1904,0.0781
0.1852,0.0109
0.131,0.4853
0.2395,1.9715
0.1169,0.2583
0.0959,0.0959
0.4538,0.1779
0.2484,1.2278
0.2774,0.3251
0.3123,1.1002
0.3336,0.2713
0.1426,0.2034
0.1242,0.3693
0.2334,0.1347
0.2174,0.3096
0.2634,0.7607
0.2335,1.7246
0.2395,0.9892
0.1424,0.7408
0.224,1.3069
0.1656,0.1548
0.1697,0.0335
0.1489,0.0449
0.1355,0.0857
0.1478,1.4072
0.2094,0.1817
0.3811,0.1309
0.3628,0.1291
0.2595,0.4273
0.2806,0.1401
0.2896,0.0082
0.2672,0.07
0.1731,0.098
0.2059,0.063
0.1994,0.005
0.2365,0.8319
0.1653,0.6746
0.276,1.0909
0.1636,0.1435
0.1759,0.208
0.2303,0.4034
0.6352,0.2654
0.5213,0.1649
0.5256,0.1857
0.5215,0.1519
0.1547,0.5271
0.2403,0.1146
0.2033,0.3066
0.4897,0.1308
0.2684,0.4025
0.3569,0.0573
0.2526,0.4258
0.1898,0.0766
0.241,2.074
0.1736,0.1309
0.1191,0.479
0.1174,0.7224
0.567,0.1021
0.5495,0.1618
0.543,0.1695
0.5682,0.1671
0.2686,0.6123
0.3171,0.018
0.2997,0.0913
0.291,0.1046
0.4931,0.1725
0.4994,0.1647
0.5086,0.154
0.165,0.2313
0.1197,0.8472
0.1055,1.3761
0.2395,4.382
0.1342,0.1549
0.147,0.3599
0.1289,0.3455
0.1304,0.6761
0.1254,0.6223
0.0791,0.0791
0.241,0.241
0.2686,0.4825
0.626,0.2386
0.584,0.236
0.6117,0.254
0.6145,0.2085
0.2277,0.5926
0.4843,0.1487
0.4774,0.3033
0.4526,0.3232
0.3703,0.1231
0.3846,0.0649
0.3721,0.1128
0.3914,0.0872
0.1832,0.5499
0.1741,0.4484
0.1796,0.4426
0.2601,0.5331
0.5494,0.1371
0.4885,0.1249
0.5134,0.075
0.4256,0.1006
0.41,0.1314
0.2684,0.4026
0.3786,0.2778
0.2694,0.0717
0.156,0.7607
0.4613,0.1237
0.1994,0.3838
0.2136,0.2647
0.1927,0.2678
0.311,0.0254
0.3018,0.03
0.284,0.0301
0.2589,0.2589
0.1319,0.0552
0.2733,0.0104
0.1955,0.2628
0.4102,0.1263
0.4319,0.1047
0.4315,0.0823
0.4213,0.1402
0.446,0.144
0.2684,1.0952
0.3239,0.096
0.2914,0.1071
0.2804,0.0866
0.3158,0.0465
0.2637,0.003
0.2773,0.0444
0.3628,0.0635
0.2684,0.3668
0.402,0.1155
0.2591,0.1429
0.2543,0.1095
0.4218,0.1082
0.4251,0.0202
0.4138,0.0995
0.4625,0.561
0.4387,0.0949
0.3721,0.1537
0.2962,0.0339
0.2911,0.0045
0.2384,0.26
0.2354,0.1455
0.2419,0.2017
0.2262,0.131
0.2734,0.0772
0.2624,0.1143
0.2691,0.0917
0.4284,0.0887
0.4349,0.0875
0.4241,0.1281
0.4301,0.0798
0.3005,1.3513
0.175,0.3209
0.3873,0.1408
0.4391,0.3302
0.1164,0.1371
1.0225,0.2449
1.1916,0.0757
0.4552,0.0624
0.3903,0.2402
0.2638,0.3642
0.4088,0.1638
0.3835,0.0904
0.3866,0.184
0.459,0.0625
0.4386,0.1049
0.2686,0.4545
0.2651,0.2651
0.1923,0.4804
0.1894,0.4458
0.1787,0.3939
0.1808,0.3343
0.2685,0.2685
0.3789,0.083
0.3712,0.1181
0.3812,0.073
0.365,0.1314
0.3757,0.1051
0.2579,0.2579
0.0959,0.0959
0.1004,0.1004
0.2579,5.8228
0.0841,0.0841
0.1019,0.1019
0.0989,0.0989
0.101,0.101
0.2638,0.2638
0.2638,0.3591
0.2973,0.1061
0.3085,0.0185
0.1546,0.5779
0.1786,0.3993
0.1812,0.4562
0.8638,1.7036
0.3545,0.0934
0.3448,0.1251
0.1232,0.1232
0.1427,0.1427
0.1271,0.1271
0.0951,0.0951
0.205,0.0502
0.194,0.0062
0.1772,0.0442
0.2775,0.0084
0.2456,0.3078
0.1936,0.0314
0.2533,0.4057
0.1864,0.133
0.2395,2.1185
0.2395,8.0377
0.1295,1.4952
0.1288,0.3775
0.1937,2.0992
0.1757,0.2723
0.1458,0.1198
0.1736,0.141
0.2085,0.0911
0.1991,0.5777
0.1511,0.1652
0.1413,0.4492
0.4536,0.1458
0.5293,0.1622
0.2684,0.5503
0.5115,0.1815
0.0688,28.913
0.0754,31.7826
0.1334,0.6408
0.1015,1.4939
0.1393,0.4071
0.2917,0.0078
0.2684,0.1416
0.0975,0.0975
0.0966,0.0966
0.0857,0.0857
0.3197,0.0511
0.2838,0.2008
0.1065,0.1065
0.0901,0.0901
0.2338,0.3735
0.3093,0.0313
0.2466,0.1359
0.3036,0.2431
0.2088,0.0699
0.1414,0.3887
0.1931,0.3483
0.4048,0.1912
0.2686,0.2132
0.2967,0.0828
0.3013,0.0411
0.2684,0.3186
0.083,27.7742
0.0744,44.7647
0.2416,5.5831
0.4294,0.1364
0.4172,0.125
0.4137,0.1074
0.4214,0.0407
0.3999,0.1018
0.395,0.1303
0.2684,0.2684
0.2686,0.2686
0.2658,0.018
0.2617,0.0096
0.1999,0.1199
0.1776,0.1746
0.1577,0.3642
0.1622,0.2458
0.131,2.6188
0.254,0.0063
0.2481,0.5945
0.2512,0.008
0.2337,0.1044
0.2379,0.4502
0.2644,4.1141
0.4259,0.131
0.2024,0.1152
0.1954,0.1989
0.178,0.1922
0.2685,0.398
0.3904,0.3598
0.417,0.1302
0.4626,0.3086
0.4799,0.1753
0.4765,0.1536
0.453,0.0425
0.5398,0.1631
0.5311,0.1745
0.541,0.1761
0.5304,0.1001
0.2686,0.547
0.5507,0.1279
0.4786,0.1611
0.5232,0.1482
0.3142,0.2075
0.329,0.1222
0.3475,0.0495
0.5275,0.1891
0.3868,0.0635
0.2685,0.6667
0.3446,0.0523
0.2686,0.0934
0.566,0.2256
0.2972,0.0388
0.2696,0.0823
0.13,0.1246
0.1468,0.5717
0.1883,0.9214
0.1588,0.7489
0.1632,0.4584
0.1463,0.1324
0.1464,0.1411
0.1351,0.2182
0.2428,0.9347
0.1592,0.3345
0.3208,0.0308
0.3117,0.0915
0.0759,0.0759
0.1825,0.0729
0.2364,0.8157
0.1869,0.148
0.1779,0.0992
0.165,0.1223
0.1674,0.1655
0.1746,0.1682
0.1805,0.092
0.1901,0.0728
0.2395,0.9909
0.1849,0.1614
0.1888,0.1949
0.2395,1.1912
0.2997,0.328
0.2279,0.1539
0.1951,0.134
0.2892,0.2796
0.2364,2.8191
0.4285,0.0729
0.3364,0.107
0.3452,0.0255
0.4297,0.1024
