TLOAD0,TLOAD0_RE
0.2193,0.0219
0.2165,0.0513
7.0E-4,7.0E-4
0.2707,0.2707
-0.0072,0.0072
1.6524,0.0202
0.0344,0.1701
0.1121,0.5856
0.0592,0.0247
0.2673,3.2294
0.067,0.0045
0.085,0.2213
0.0632,0.2476
0.2673,2.3412
0.2359,0.1391
0.2361,0.166
0.0913,4.0442
0.0465,3.0086
0.4066,0.1186
0.3925,0.0103
0.4079,0.1093
0.0955,0.3643
0.0426,0.1839
0.0493,0.0218
-0.0211,1.8903
-0.0121,2.2737
0.0364,0.0785
0.0178,0.5731
0.0021,0.915
0.016,0.0805
0.0084,0.5602
0.0156,0.3473
0.0208,0.028
0.3225,0.0292
0.2624,0.2624
0.4884,36.0
0.4894,0.0566
0.2196,0.4875
0.1737,0.158
0.1713,0.0223
0.0357,0.0654
0.0476,0.1148
0.0393,0.1165
0.0442,0.3116
0.0438,0.2882
0.2673,8.3136
0.0333,0.8814
0.0329,0.2241
0.0281,0.2739
0.0103,0.2016
0.035,0.2662
0.0371,0.1452
0.038,0.243
0.2643,3.645
0.0372,0.186
-0.0075,4.9474
-0.0036,2.8947
-0.0055,3.3913
0.2643,124.8571
-0.0097,0.0097
-0.0057,0.0057
0.0463,0.6536
0.0493,0.7607
0.1516,0.0756
0.1507,0.0131
0.1532,0.0046
0.1412,0.1006
0.1449,0.0448
0.2652,0.3691
0.0462,0.5822
0.0447,0.3545
0.1821,0.103
0.0317,0.3673
0.258,0.038
0.2624,0.0294
0.254,0.0136
0.1088,0.1136
0.1115,0.0295
0.119,0.1475
0.2673,4.9532
0.0659,0.3367
0.2673,4.2722
0.0643,0.2437
0.0705,0.1576
0.0325,1.044
0.039,1.4684
0.0381,0.1221
0.2673,7.5399
0.0282,0.3677
-0.0094,0.0094
0.4994,0.0169
0.4261,0.2205
0.3994,0.1972
0.4078,0.1695
0.4894,0.0468
0.0745,0.0688
0.0689,0.129
0.2963,0.1392
0.2983,0.0939
0.2652,0.632
0.0315,5.4286
0.2673,82.5313
0.0153,1.3906
0.0301,5.8409
0.0427,0.5933
0.0444,0.6029
0.0374,0.3262
0.0718,0.5688
0.0721,0.2819
0.1482,0.0833
0.3424,0.027
0.3549,0.0152
0.2639,0.3278
0.117,0.4321
0.108,0.5652
0.0903,0.6212
0.1358,0.047
0.1442,7.0E-4
0.1356,0.1067
0.2663,0.92
0.2222,3.04
0.3498,1.3796
0.0923,0.3901
0.1004,0.2503
0.2642,1.2523
0.8373,0.3339
0.6371,0.0654
0.6405,0.0432
0.6511,0.0958
0.1547,0.0573
0.1263,0.0914
0.1328,0.0023
0.5949,0.0239
0.2668,0.4434
0.3745,0.0258
0.2327,0.0658
0.1446,0.0126
0.2679,2.8602
0.1429,0.0145
0.155,0.641
0.2001,0.5475
0.7271,0.0154
0.7211,0.0029
0.6722,0.0061
0.699,0.0267
0.2669,0.6158
0.3196,0.0121
0.169,0.5654
0.3281,0.0517
0.64,0.0478
0.6505,0.0936
0.6116,0.0538
0.0348,0.3579
0.0242,0.2168
0.0188,0.4629
0.2673,5.8538
0.055,0.0969
0.05,0.0792
0.0514,0.1347
0.0754,0.0233
0.0728,0.0496
-0.0049,0.0049
0.2679,0.2679
0.2669,0.3531
0.7932,0.0347
0.7568,0.0573
0.7878,0.0314
0.7967,0.0307
0.6393,0.0133
0.5438,0.0367
0.639,0.1951
0.5871,0.0578
0.4109,0.064
0.4209,0.0859
0.4131,0.0862
0.4358,0.0276
0.1206,0.0131
0.1112,0.0733
0.1192,0.0592
0.2641,0.521
0.6125,0.1186
0.6435,0.1637
0.5756,0.0469
0.4934,0.0163
0.4838,0.0197
0.2668,0.4695
0.4202,0.0747
0.2671,0.0924
0.0893,0.4265
0.5293,0.0391
0.1411,0.0112
0.1601,0.0666
0.1362,0.0834
0.3022,0.0195
0.28,0.0162
0.2813,0.0133
0.2637,0.2637
0.142,4.7724
0.2689,0.0455
0.2087,0.1879
0.4691,0.0013
0.5058,0.0138
0.4752,0.0186
0.5067,0.0098
0.5193,0.0025
0.2668,1.5778
0.3739,0.1434
0.3249,0.0503
0.3252,0.0122
0.3062,0.1101
0.248,0.0065
0.2669,0.0907
0.3845,0.0531
0.2668,0.3538
0.4661,0.0552
0.2308,0.0481
0.2341,0.0418
0.4641,0.0657
0.4695,0.0057
0.457,0.0342
0.5393,0.9426
0.502,4.0E-4
0.4385,0.0168
0.2884,0.0041
0.2876,0.0042
0.1923,0.0149
0.1914,0.0098
0.1961,0.0072
0.1867,0.0331
0.2827,0.0032
0.2754,0.0238
0.2801,0.0071
0.4884,0.0089
0.496,0.0096
0.4902,0.0272
0.4923,0.014
0.3191,1.3023
0.1088,0.8567
0.4865,0.192
0.5926,0.1728
0.3264,8.3257
1.5382,0.0132
1.688,0.0593
0.5241,0.0295
0.5225,0.1954
0.2653,0.3467
0.5089,0.0198
0.4278,5.0E-4
0.432,0.0098
0.5236,0.0185
0.5028,0.0075
0.2669,0.4381
0.2657,0.2657
0.1242,0.0096
0.1261,0.0322
0.118,0.0923
0.1266,0.0247
0.2668,0.2668
0.4205,0.039
0.4136,0.0227
0.4167,0.0663
0.4158,0.0354
0.4285,0.0413
0.2633,0.2633
-0.0094,0.0094
-0.0067,0.0067
0.2633,5.4852
-0.0146,0.0146
-0.0075,0.0075
-0.0087,0.0087
-0.0064,0.0064
0.2653,0.2653
0.2653,0.148
0.317,0.0353
0.3032,0.077
0.1478,0.2908
0.0378,0.5878
0.1321,1.6795
-6.6768,22.3726
0.3625,0.0405
0.3804,0.0436
0.2309,0.0128
0.1695,0.2274
0.2494,0.0891
0.1555,0.3073
0.0719,0.4209
0.059,0.219
0.0587,0.174
0.0972,0.8837
0.0693,0.3972
0.0621,0.3269
0.0819,0.7575
0.0297,2.8077
0.2673,19.0977
0.2673,9.9102
0.0227,0.0173
