TLOAD11,TLOAD11_RE
0.2937,0.1462
0.3009,0.1186
0.1133,2.934
0.0901,0.0901
0.1143,2.699
0.3134,0.1456
0.4207,0.087
0.4124,0.1689
0.1602,0.0087
0.3267,0.1622
0.2409,0.0177
0.3007,0.2282
0.1739,0.1013
0.1689,0.4854
0.3134,0.4762
0.2924,0.0112
0.2488,0.0614
0.2901,0.0017
0.3038,0.1638
0.2831,0.0119
0.3815,0.0371
0.3974,0.09
0.4374,0.1002
0.4688,0.0826
0.4867,0.1268
0.4791,0.1324
0.5611,0.1527
0.5635,0.1372
0.2407,0.0857
0.3006,0.0089
0.3355,0.091
0.3592,0.0797
0.3819,0.0699
0.4189,0.1685
0.4691,0.1072
0.6507,0.1924
0.0942,0.0942
0.1977,0.5326
0.2553,0.2151
0.2794,0.0829
0.3252,0.0919
0.4067,0.0458
0.4802,0.1279
0.4978,0.106
0.496,0.1098
0.5543,0.0555
0.6528,0.1939
0.1918,0.3385
0.1889,0.4076
0.2782,0.1
0.4354,0.0677
0.4212,0.0344
0.4768,0.5915
0.4461,0.1191
0.4824,0.1259
0.4953,0.1179
0.4901,0.1247
0.5216,0.1854
0.5094,0.1382
0.6074,0.1938
0.6611,0.1877
0.2949,0.0111
0.3916,0.0219
0.3992,0.0518
0.434,0.0805
0.4963,0.0816
0.5914,0.2087
0.5869,0.109
0.4136,0.0268
0.3508,0.0529
0.4311,0.2068
0.4692,0.1353
0.4693,0.1422
-0.2578,1.8107
0.3212,0.0059
-0.0414,1.134
0.1669,0.4576
0.2691,0.07
0.2545,0.1104
0.2934,0.0656
0.3699,0.069
0.4228,0.1182
0.3849,0.1028
0.379,0.0424
0.4105,0.0906
0.4416,0.1122
0.4586,0.1318
0.4548,0.0985
0.4467,0.0676
0.4793,0.1099
0.5114,0.1297
0.2473,0.1396
0.2506,0.2631
0.2561,0.0921
0.2815,0.0757
0.3592,0.0444
0.3771,0.1017
0.3924,0.1019
0.3728,0.0945
0.4306,0.1273
0.4492,0.1545
0.4685,0.1393
0.4655,0.0887
0.4617,0.1354
0.4928,0.1752
0.5466,0.1467
0.5104,0.1875
0.5051,0.1422
0.5746,0.1854
0.2711,0.0033
0.2951,0.0841
0.2949,0.1141
0.3004,0.0053
0.391,0.1192
0.3803,0.0615
0.3903,0.0866
0.4483,0.1732
0.4525,0.0777
0.4598,0.1245
0.4344,0.0952
0.4741,0.0785
0.5189,0.0985
0.5621,0.1629
0.5479,0.1183
0.5493,0.1038
0.2534,0.1041
0.2578,0.013
0.293,0.0581
0.2842,0.0468
0.2825,0.057
0.3932,0.0258
0.4364,0.3054
0.4354,0.1127
0.4411,0.1183
0.4608,0.1233
0.4731,0.1565
0.1983,1.3978
0.2607,0.2552
0.2733,0.2093
0.2895,0.1543
0.3102,0.0455
0.3741,0.0454
0.394,0.0513
0.4377,0.074
0.4529,0.0847
0.4636,0.1131
0.5593,0.1223
0.575,0.1364
0.522,0.1252
0.3495,0.2916
0.3518,0.0492
0.3813,0.0615
0.443,0.109
0.512,0.1455
0.5039,0.1243
0.659,0.204
0.1561,0.3814
0.3317,0.0979
0.376,0.0913
0.5903,0.0504
0.4783,0.1264
0.45,0.123
0.5091,0.1514
0.5482,0.0872
0.1717,0.3858
0.3484,0.3192
0.3505,0.0473
0.3612,0.0017
0.4082,0.0286
0.3869,0.0648
0.3906,0.0988
0.4276,0.0684
0.4364,0.0799
0.4879,0.0879
0.4939,0.1152
0.5552,0.0421
0.3553,0.01
0.3811,0.0874
0.4024,0.0521
0.4236,0.0884
0.4309,0.1261
0.4944,0.1276
0.5675,0.1055
0.1664,0.278
0.3611,0.0137
0.4669,0.0789
0.2294,0.0116
0.2438,0.0265
0.2787,0.0198
0.2891,0.2581
0.3223,0.0424
0.3362,0.0042
0.3234,1.9214
0.5245,0.1826
0.7224,0.9879
0.5207,0.223
0.3433,0.2212
0.2388,0.1175
0.2968,0.0234
0.233,0.0883
0.3032,0.0137
0.2797,0.0306
0.1461,0.4465
0.1816,0.3353
0.1807,0.4117
0.3955,0.0015
0.4783,0.139
0.2153,2.3536
0.184,2.6948
0.194,0.6266
0.3021,0.0859
0.3133,0.0569
0.3331,0.0818
0.4283,0.0037
0.366,0.0828
0.3097,0.1002
0.5181,0.3058
0.3084,0.1235
0.3061,0.0053
0.3175,0.4851
0.2311,0.3236
0.1799,0.5263
0.3239,0.0735
0.4483,0.3944
0.134,0.5527
0.2277,0.189
0.5102,0.3718
0.2802,0.3606
0.4324,1.1155
0.3609,0.2364
0.3018,0.0057
0.2827,0.3335
0.3903,0.3164
0.5881,0.2018
0.3079,0.0796
0.4819,0.0297
0.2626,0.4304
0.3054,0.1353
0.3177,0.3108
0.3151,0.0097
0.3476,0.4441
0.4507,0.2298
0.4357,0.3373
0.5358,0.1872
0.3333,0.2076
0.3917,0.0809
0.4095,0.1308
0.3936,0.0315
0.5028,0.0835
0.3061,0.0236
0.3081,0.228
0.3023,0.5631
0.4407,0.2295
0.5463,0.2315
0.5691,0.1801
0.4179,0.0933
0.5994,0.2092
0.9103,0.3367
0.433,0.0431
0.4231,0.2262
0.6054,0.1957
0.5597,0.1156
0.5437,0.2767
0.3591,0.3727
0.2901,0.2808
0.4007,0.3033
0.5806,0.2707
0.4498,0.0946
0.5668,0.4526
0.5691,0.2094
0.0866,0.0866
0.083,0.083
0.3022,0.1398
0.3001,0.1617
0.0865,0.0865
0.1491,0.5929
0.3372,0.0787
0.1043,0.1043
0.0829,0.0829
0.4381,0.1662
1.0771,0.2869
1.2632,0.0344
0.0858,0.0858
0.2003,0.0225
0.1473,0.8412
0.1042,0.1042
0.4676,0.0428
1.1831,0.1006
0.1352,0.1352
0.2154,0.1325
0.107,0.107
0.1731,0.5968
0.0767,0.0767
0.3319,0.1993
0.0904,0.0904
0.0927,0.0927
0.7863,0.0623
0.6728,0.3659
0.1113,3.4343
0.1756,2.885
0.0979,1.0103
0.1984,0.2652
0.1363,1.7097
0.313,0.098
0.3201,0.0804
0.1834,0.3307
0.1478,0.1647
0.1467,0.1434
0.1886,0.2942
0.292,0.0098
0.4957,0.2613
0.2909,0.0525
0.2223,0.1515
0.2576,0.2772
0.2656,0.0243
0.2727,0.0921
0.3043,0.2727
0.4261,0.1497
0.5037,0.1514
0.444,0.0926
0.2323,0.1244
0.5031,0.1431
0.3686,0.2039
0.2357,0.2759
0.2855,0.0204
0.2302,0.1329
0.2245,0.1298
0.2359,0.1385
0.4921,0.1496
0.2914,0.1952
0.0845,844.0
0.7265,0.1661
0.0848,14.4182
0.5989,0.1724
0.6378,0.275
0.091,909.0
0.6081,0.1798
0.3437,0.0856
0.3121,0.0773
0.2431,0.0881
0.3777,0.2394
0.0838,837.0
0.5588,0.1183
0.0802,0.0802
0.1021,1.7373
0.0818,38.1818
0.3938,0.1328
0.3135,0.0559
0.0898,0.0898
0.3115,0.1057
0.402,0.0145
0.3877,0.0696
0.3982,0.129
0.2786,0.3225
0.3638,0.1269
0.0897,0.0897
0.2905,0.0303
0.2193,0.6101
0.0821,0.0821
0.0899,111.375
0.0785,0.0785
0.1549,3.3511
0.0863,0.0863
0.1664,0.3206
0.1762,0.1922
0.0814,0.0814
0.1673,3.9062
0.1696,0.3744
0.0886,0.0886
0.1135,0.1305
0.1937,0.0785
0.116,0.046
0.0746,0.0746
0.3265,0.136
0.0788,0.0788
0.0739,0.0739
0.0811,0.0811
0.2323,0.3549
0.2882,0.038
0.0945,2.8889
0.1164,0.6234
0.0971,2.3027
0.3173,0.0443
0.2889,0.069
0.3079,0.0485
0.2482,0.0876
0.3081,0.1442
0.1323,0.6253
0.2351,0.0912
0.2457,0.0033
0.1324,0.6909
0.1984,0.1817
0.246,0.0238
0.1498,0.3339
0.2515,0.0083
3.9599,0.0555
0.0826,16.5745
0.1379,0.6204
0.4643,0.1173
0.4416,0.0811
0.4541,0.12
0.2797,0.0664
0.2019,0.0499
0.0996,1.5025
0.1069,1.1728
0.0902,3.6256
0.1002,1.468
0.1072,1.238
0.0895,3.6859
0.1104,1.1272
0.0985,1.7514
0.131,0.2524
0.126,0.4141
0.1551,0.5604
0.1654,0.6557
0.1393,0.3305
0.073,0.073
0.1937,0.0026
0.0694,0.0694
0.1269,0.2441
0.1819,0.0563
0.1376,0.2452
0.1428,1.0938
0.2052,0.0761
0.141,1.4352
0.1783,0.0966
0.0957,0.4923
0.0931,0.0813
0.1529,0.3471
0.1854,0.0899
0.224,0.1704
0.1025,0.3722
0.1945,0.1727
0.2142,0.1404
0.114,0.0488
0.1914,0.1098
0.2088,0.0653
0.289,0.0427
0.1576,0.4552
0.1831,0.0584
0.2978,0.084
0.1327,0.1058
0.3047,0.2458
0.3092,0.0442
0.1513,0.3134
0.197,0.1397
0.1078,0.5691
0.1871,0.1045
0.1317,0.4473
0.1938,0.2037
0.153,0.1662
0.1652,0.0812
0.1748,0.2039
0.1829,0.006
0.2753,0.0932
0.1659,0.4192
0.2027,0.4037
0.1061,0.5466
0.1666,0.349
0.193,0.0163
0.111,0.8078
0.2158,0.1333
0.1947,0.3895
0.183,0.0266
0.1565,0.0019
0.2463,0.0315
0.2613,0.3106
0.1531,0.3198
0.186,0.0398
0.2095,0.2782
0.2033,0.1751
0.168,0.1398
0.2309,0.0909
0.1171,0.6922
0.2204,0.0708
0.1302,0.4547
0.1362,0.3485
0.1956,0.0383
0.2002,0.0075
0.1518,0.725
0.2709,0.161
0.1736,0.368
0.2806,0.1218
0.1538,1.0982
0.2084,0.4167
0.2057,0.5572
0.2042,0.2098
0.2079,0.2092
0.195,0.0096
0.1399,0.1219
0.1199,0.5101
0.2096,0.0891
0.1655,0.5353
0.1339,0.3377
0.0982,1.4307
0.1164,0.1401
0.3323,0.0901
0.0726,0.0726
0.0755,0.0755
0.0826,0.0826
0.1614,0.3143
0.1633,0.332
0.4817,0.1854
0.0837,0.0837
0.1331,0.3573
0.119,0.5237
0.0933,1.681
0.0977,1.7064
0.2037,0.0716
0.0945,1.589
0.1106,1.0519
0.1328,0.6395
0.0753,5.024
0.0807,2.0338
0.0971,0.3505
0.074,5.1667
0.0819,2.1744
0.1087,0.5055
0.0819,6.5138
0.0901,3.1713
