TLOAD16,TLOAD16_RE
0.2365,0.0283
0.2361,0.054
0.0694,0.0694
0.2804,0.0638
0.0598,0.0598
0.2495,123.75
0.1783,0.0277
0.3204,0.12
0.2474,0.047
0.2697,0.0995
0.2409,0.0601
0.2367,0.4335
0.2598,0.2532
0.2697,0.0995
0.3106,0.1302
0.3161,0.1215
0.1521,1.6731
0.093,0.3142
0.4009,0.0435
0.3947,0.0761
0.378,0.0442
0.1723,2.3917
0.1177,0.2877
0.1182,0.3633
0.1977,0.1022
0.1678,0.1555
0.1181,0.4225
0.1823,0.0465
0.2263,0.2628
0.0825,0.6082
0.0755,0.8642
0.0827,0.8924
0.0907,0.796
0.3266,0.0264
0.2839,0.0521
0.0682,1.5259
0.1127,7.05
0.1276,5.6458
0.2749,0.0259
0.2739,0.0356
0.1185,0.4364
0.1925,0.4751
0.2246,0.0136
0.2219,0.0505
0.2352,0.0873
0.2697,0.0995
0.1971,0.0875
0.0957,1.0021
0.0972,0.9557
0.0806,3.2199
0.1155,0.2261
0.1174,0.1859
0.1306,0.3112
0.2605,0.1303
0.0853,0.4532
0.0552,23.0
0.0512,25.9474
0.0512,2.1605
0.2605,0.1303
0.0463,0.0463
0.0495,0.0495
0.2323,0.0239
0.2299,0.102
0.1884,5.0E-4
0.1871,0.0595
0.1795,0.0096
0.2605,0.0818
0.2525,0.2325
0.2634,0.1206
0.1771,0.0285
0.1938,0.1333
0.2079,0.2215
0.1048,0.9516
0.3043,0.0897
0.2839,0.0521
0.2819,0.006
0.178,0.1352
0.1892,0.1929
0.2047,0.3963
0.2697,0.0995
0.1998,0.0336
0.2697,0.0995
0.1939,0.0187
0.2128,0.053
0.1987,0.0534
0.1981,0.0439
0.1262,0.724
0.2697,0.0995
0.111,0.3074
0.0753,0.0753
0.481,0.0322
0.2478,0.4876
0.3053,0.2436
0.3049,0.2664
0.3606,0.0228
0.1339,0.1633
0.1156,0.2745
0.2173,0.5411
0.2006,0.4674
0.2925,0.0234
0.275,0.2333
0.2697,0.0995
0.1516,0.5805
0.2681,0.2736
0.163,0.1786
0.1745,0.235
0.1538,0.1161
0.1233,1.1518
0.1422,0.3873
0.2064,0.0082
0.3891,0.1035
0.3702,0.0178
0.2884,0.0371
0.3176,0.1906
0.3331,0.0377
0.2953,0.1148
0.1678,0.1902
0.1974,0.009
0.199,0.067
0.2666,0.1099
0.1478,0.5789
0.2757,2.133
0.1544,0.1262
0.1658,0.5395
0.2602,0.1313
0.6885,0.1367
0.5598,0.0996
0.5655,0.0773
0.5584,0.0891
0.1518,0.3189
0.2389,0.0708
0.196,0.2091
0.5201,0.1048
0.2976,0.0064
0.3689,0.0132
0.2453,0.3883
0.1807,0.1259
0.2713,0.0942
0.1711,0.1096
0.0785,22.7879
0.0807,0.0393
0.6118,0.0161
0.6008,0.0489
0.5756,0.1427
0.6038,0.0755
0.2978,0.0057
0.3037,0.0184
0.2978,0.4359
0.2812,0.0429
0.5291,0.1064
0.5272,0.1002
0.5487,0.0938
0.1572,0.4124
0.1086,0.547
0.095,0.8849
0.2697,0.0995
0.1242,0.0534
0.1326,0.2975
0.1176,0.405
0.1187,0.3707
0.1134,0.3966
0.0599,0.0599
0.2714,0.0939
0.2978,0.0057
0.6726,0.1457
0.6269,0.1135
0.6607,0.116
0.6593,0.0991
0.1678,0.6965
0.508,0.1058
0.5015,0.1088
0.4831,0.2826
0.388,0.0099
0.3985,0.0573
0.3918,0.0061
0.4118,0.0769
0.1748,0.4074
0.1662,0.4002
0.1702,0.4008
0.289,0.0351
0.565,0.1818
0.5235,0.0888
0.548,0.1668
0.4457,0.0611
0.4323,0.0747
0.2977,0.0061
0.3879,0.2951
0.2987,0.0027
0.1409,0.3841
0.4879,0.0033
0.1909,0.2812
0.2048,0.3913
0.1881,0.2963
0.319,0.0781
0.3076,0.1037
0.2903,0.0229
0.2878,0.0391
0.0988,0.6315
0.2756,0.7735
0.1919,0.2656
0.433,0.097
0.4541,0.0698
0.4478,0.0814
0.4456,0.1162
0.4651,0.0566
0.2977,0.0061
0.3311,0.0364
0.3036,0.006
0.288,0.0946
0.3201,0.1603
0.2707,0.0802
0.2822,0.0386
0.3726,0.0747
0.2977,0.0061
0.4199,0.0024
0.2596,0.1336
0.2548,0.1677
0.4425,0.0467
0.4448,0.0479
0.4347,0.0509
0.4987,0.665
0.4642,0.0492
0.376,0.202
0.3012,0.0304
0.296,0.0165
0.2348,0.2922
0.2323,0.184
0.2342,0.1894
0.2249,0.1463
0.2815,0.0601
0.2721,0.0915
0.2767,0.0762
0.4461,0.0862
0.4595,0.0876
0.4521,0.0874
0.4519,0.0878
0.2871,1.5982
0.1544,0.5435
0.398,0.215
0.4747,0.1138
0.0948,0.4459
1.1209,0.2401
1.2958,0.165
0.4791,0.1191
0.3931,0.2413
0.2929,0.0221
0.4255,0.1819
0.4015,0.029
0.4033,0.1079
0.4783,0.0618
0.4607,0.0762
0.2978,0.0057
0.2942,0.0177
0.1786,0.3899
0.181,0.3671
0.1715,0.3611
0.1715,0.3052
0.2977,0.0061
0.3933,0.0064
0.3868,0.0192
0.3949,0.0332
0.3818,0.0307
0.3935,0.0369
0.2867,0.0428
0.0753,0.0753
0.0757,0.0757
0.2867,0.0428
0.0661,0.0661
0.0815,0.0815
0.0787,0.0787
0.0816,0.0816
0.2929,0.0221
0.2929,0.0221
0.2962,0.1903
0.3143,0.2162
0.1462,4.4148
0.1691,0.1719
0.1702,2.8247
0.6791,1.1355
0.3615,0.074
0.3611,0.0455
0.1163,0.1163
0.1019,0.1019
0.0888,0.0888
0.0715,0.0715
0.2193,0.1126
0.2075,0.0619
0.1912,0.0363
0.3198,0.0397
0.2802,0.0234
0.2017,0.2737
0.2901,0.1327
0.2026,0.0927
0.2697,0.0995
0.2697,0.0995
0.1283,1.6785
0.1301,0.6023
0.2188,0.2061
0.1879,0.1707
0.1423,0.2549
0.1692,0.2808
0.218,0.0023
0.2143,0.0619
0.1419,0.0799
0.1291,0.5424
0.4811,0.0881
0.5633,0.1444
0.2976,0.0064
0.5482,0.1102
0.0526,21.8696
0.057,23.7826
0.1214,0.4787
0.0878,1.3166
0.1331,0.3923
0.2964,0.179
0.2977,0.0061
0.077,0.077
0.0771,0.0771
0.0678,0.0678
0.3337,0.1539
0.2896,0.1114
0.082,0.082
0.0724,0.0724
0.2281,0.3964
0.3085,0.0237
0.2465,0.268
0.303,0.2779
0.2052,0.0348
0.122,0.3427
0.183,0.183
0.4247,0.1844
0.2978,0.0057
0.2975,0.0674
0.3052,0.0265
0.2977,0.0061
0.0645,29.0435
0.0547,0.1163
0.2726,0.0899
0.4514,0.0475
0.4373,0.1115
0.4344,0.0561
0.4425,0.0066
0.4198,0.0356
0.4108,0.1058
0.2976,0.0064
0.2978,0.0057
0.263,0.0399
0.2585,0.0102
0.2001,0.2201
0.1751,0.1673
0.1447,0.3373
0.1431,0.5521
0.1136,2.0954
0.2535,0.1639
0.2467,0.7132
0.2589,0.2311
0.2312,0.101
0.228,0.4672
0.2935,0.0201
0.4544,0.0966
0.199,0.0904
0.1828,0.2572
0.1713,0.2097
0.2978,0.0057
0.4092,0.4989
0.4387,0.1162
0.4998,0.2624
0.5108,0.122
0.5031,0.0938
0.4813,0.2059
0.5802,0.1322
0.5676,0.16
0.574,0.2351
0.5607,0.2171
0.2978,0.0057
0.5916,0.0268
0.5073,0.059
0.5534,0.0434
