TLOAD13,TLOAD13_RE
0.2964,0.0358
0.3029,0.0818
0.1257,6.0223
0.1078,0.1078
0.1269,6.9313
0.3202,0.1043
0.4004,0.1316
0.4037,0.1524
0.1736,0.2537
0.314,0.3072
0.2478,0.0509
0.2911,7.0E-4
0.1813,0.0104
0.186,0.4116
0.3074,0.9768
0.2882,0.1583
0.2489,0.0874
0.2841,0.0187
0.2966,0.0373
0.2794,0.0249
0.369,0.1468
0.3815,0.1066
0.4171,0.1562
0.4496,0.1809
0.4618,0.1834
0.4514,0.1682
0.5274,0.1535
0.5316,0.2533
0.2437,0.1012
0.2964,0.0165
0.3208,0.1069
0.3422,0.0589
0.3646,0.0964
0.4064,0.2302
0.4455,0.1974
0.6047,0.2274
0.1113,0.1113
0.2048,0.4862
0.2534,0.1143
0.2778,0.0959
0.3161,0.022
0.3899,0.0918
0.4558,0.1604
0.4697,0.1676
0.4716,0.1598
0.517,0.1661
0.611,0.2155
0.1979,0.3601
0.197,0.3982
0.2771,0.094
0.4152,0.1305
0.404,0.0789
0.4512,0.5303
0.422,0.0746
0.4561,0.1594
0.4671,0.142
0.4639,0.1596
0.4947,0.219
0.4817,0.3094
0.5715,0.1985
0.6157,0.1708
0.2896,0.0058
0.3795,0.0766
0.3935,0.1014
0.4187,0.1124
0.4691,0.0655
0.5517,0.2462
0.5512,0.1461
0.3986,0.0637
0.3403,0.0555
0.4038,0.2285
0.4478,0.1594
0.4474,0.1625
-1.0639,4.422
0.3161,0.0236
-0.2502,1.025
0.1652,0.5718
0.2703,0.0337
0.2578,0.2454
0.2912,0.0877
0.3545,0.0989
0.4,0.2076
0.3716,0.1125
0.3675,0.0769
0.3964,0.1394
0.4197,0.1454
0.4371,0.1563
0.4322,0.1207
0.4272,0.1063
0.4566,0.1679
0.4844,0.1362
0.2473,0.1947
0.249,0.1937
0.2546,0.1084
0.2797,0.1029
0.345,0.0462
0.3596,0.1244
0.3753,0.177
0.3598,0.133
0.407,0.1726
0.427,0.1811
0.4459,0.1823
0.4409,0.139
0.4318,0.1883
0.467,0.1998
0.514,0.2294
0.4859,0.2367
0.4746,0.2002
0.5384,0.2121
0.2709,0.0574
0.2904,0.0312
0.2915,0.0348
0.2959,0.0228
0.3757,0.1774
0.3692,0.1024
0.3749,0.0602
0.4226,0.1895
0.429,0.1497
0.4386,0.1515
0.4165,0.1421
0.4516,0.174
0.4875,0.1553
0.5315,0.1863
0.5167,0.1798
0.5104,0.2175
0.2544,0.1051
0.2602,0.0291
0.2875,0.0894
0.282,0.0251
0.2793,0.0527
0.3734,0.0163
0.4164,0.0824
0.4139,0.1425
0.4211,0.1514
0.4413,0.1421
0.4519,0.1976
0.2054,0.9488
0.2625,0.1867
0.2729,0.1049
0.2887,0.107
0.3036,0.0392
0.3623,0.0187
0.3792,0.0475
0.4212,0.0836
0.4327,0.1186
0.4409,0.1537
0.5295,0.1748
0.5439,0.1822
0.4965,0.1195
0.3399,0.0436
0.34,0.0626
0.3698,0.0905
0.4245,0.1292
0.4904,0.2023
0.478,0.1627
0.6092,0.2282
