TLOAD11,TLOAD11_RE
0.2419,0.0704
0.2352,0.0789
0.0845,0.0845
0.258,0.258
0.0675,0.0675
0.3587,6.9711
0.1725,0.0115
0.2973,0.0178
0.24,0.1886
0.2504,0.1566
0.2324,0.051
0.2299,0.1469
0.2613,0.3106
0.2504,0.3376
0.3058,0.11
0.3167,0.0982
0.1538,1.0982
0.1038,0.7329
0.3877,0.0486
0.3888,0.1164
0.3636,0.1368
0.1549,3.3511
0.126,0.4141
0.1272,0.2137
0.1924,0.2365
0.1746,0.4209
0.1204,0.2712
0.1834,0.3307
0.2099,0.0179
0.0981,1.7869
0.0843,1.7019
0.0933,1.2536
0.1055,1.5059
0.3209,0.0267
0.2577,0.2577
0.1149,3.9526
0.1695,8.3132
0.19,0.1525
0.2758,0.153
0.2611,0.2399
0.128,0.2463
0.1829,0.1038
0.2124,0.1157
0.2147,0.1128
0.2204,0.0708
0.2504,0.4931
0.1847,0.1429
0.1069,1.1728
0.1072,1.238
0.0902,3.6256
0.1277,0.1759
0.1347,0.2952
0.1415,0.2219
0.2437,2.0539
0.0993,0.8022
0.0703,23.2414
0.0718,28.9167
0.0673,1.9911
0.2437,77.6129
0.0625,0.0625
0.0703,0.0703
0.2171,0.1385
0.2151,0.1883
0.1956,0.0421
0.1984,0.1817
0.1871,0.1381
0.2607,0.038
0.2591,0.0137
0.2458,0.1553
0.1754,0.1639
0.1858,0.0308
0.2177,0.2905
0.1059,1.2389
0.2961,0.0804
0.2577,0.0724
0.2744,0.021
0.1763,0.1074
0.1862,0.0075
0.2001,0.1318
0.2504,0.6186
0.1953,0.0718
0.2504,0.3865
0.182,0.1547
0.2011,0.1395
0.193,0.0163
0.189,0.0212
0.13,0.1149
0.2504,2.13
0.1154,0.1971
0.0821,0.0821
0.4617,0.1354
0.2478,0.1411
0.2879,1.5232
0.3319,0.1993
0.3448,0.2548
0.145,0.3087
0.1253,0.3907
0.2277,0.2894
0.2149,0.7953
0.2639,1.0682
0.2416,1.0509
0.2504,1.0325
0.1426,0.1864
0.2284,0.897
0.1661,0.087
0.1709,0.1141
0.149,0.0676
0.1356,0.3628
0.1518,0.725
0.202,0.3764
0.3863,0.1054
0.3673,0.1009
0.261,0.437
0.2887,0.1566
0.3006,0.0711
0.2749,0.1423
0.1771,0.0534
0.2096,0.0506
0.2033,0.001
0.2481,0.7571
0.1622,0.6749
0.2918,0.4311
0.1664,0.1423
0.1823,0.0768
0.2436,0.0054
0.6657,0.1517
0.5407,0.1603
0.5448,0.1799
0.5399,0.1689
0.1551,0.5604
0.2323,0.1244
0.1949,0.2772
0.5039,0.1243
0.2676,0.3993
0.3592,0.0444
0.2467,0.4623
0.1923,0.1372
0.2515,2.4032
0.1754,0.136
